APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8316181,8102994,7900897,7900938,7903201","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9519327,9521332,9519481,9521236,9518090","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10359841,10669134,10359121,10378135,10401934","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10087180,10442624,10424563,10264139,10264030","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"8035006,8306300,8279452,8478083,8685247","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"8754186,9101967,9293252,9519544,8912367","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10130852,10130746,10322155,10360627,10441141","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9411341,10241239,9965878,9544151,9743795","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10207822,10234012,9649268,9401783,9401936","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8137255,7681140,7922626,8549881,8549871","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9674675,9925791,9675060,9789168,9788245","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9857598,10114279,9741953,7807595,7808560","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9482282,9733763,9696246,9697194,9697195","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10310684,9609406,9828758,9828759,9828760","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10017652,10242213,9906987,9906360,9901099","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8854119,8081510,8081413,8081955,8081491","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10474459,10627971,10297562,10297060,10294338","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10694159,10491933,10355559,10694161,10491914","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7692303,7692302,7935572,7911689,7911680","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"7845961,7845958,7845758,7845954,8274641","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8644947,8456143,8330544,8720831,8722779","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7893014,8143989,8884733,8325772,8098925","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"8154990,8145493,8339429,8333396,8534049","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"9742438,9750650,9987570,10228567,9362107","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10436133,10604394,8436395,8734406,8926397","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8698265,8514507,8884530,8881086,8880109","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8368840,8370150,8532795,8529444,8518213","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10296363,10670199,10451808,9339683,9183807","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8543511,8032690,8032688,8032683,8032667","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"10336530,10557178,10151850,10483139,10483210","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10165400,10649461,10610092,10610093,10610095","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9321184,9535290,9562053,9769005,9768431","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"9978061,10227178,10159887,10457348,10469691","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9927973,9597601,10413034,9753104,10165449","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"7656591,7845561,7885322,7880871,7668578","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8368503,8529434,8691634,8717552,9066101","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9459829,9683777,9674383,9266296,9274154","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9713886,9979986,10842106,9716798,9787584","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9975693,10458119,10423663,9748426,9609262","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10217221,10226692,8469875,8324126,8133151","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"8369767,8367889,9970999,10433227,10259828","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9554640,9554604,9554615,9554595,9554606","None,None,None,None,None","None,None,None,None,None"
