APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9234330,10071191,9410527,9403239,9968573","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8890180,9123843,8536036,8536037,8336923","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8768514,8768959,9312392,8768204,8767346","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9421916,9856244,9937636,10166753,10174655","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9459535,9459450,10264921,10133436,10296007","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"8912367,9519544,9293252,9101967,8754186","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8467802,8690240,7664619,7919183,8100298","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9411341,9544151,9743795,9965878,10241239","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9536061,9357648,9357649,9357642,9356533","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10430118,10430120,10015282,10015284,10646273","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8053611,7892997,7892342,7892341,7647927","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9723112,9724438,9723113,9723111,9723109","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8499063,8334556,8278847,8688806,8677621","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9830550,9608709,9608707,9608703,9608701","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10215388,9959331,10124290,10642790,10642789","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9072287,9070948,9234570,9244044,9229560","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8338454,8338455,8545885,8221472,8222946","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9645893,10101619,9838705,10468080,10330573","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7932085,8096559,7740475,7740575,7739537","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"10745380,7932151,7740575,8136058,8304914","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10686097,10442765,10479062,10632081,10327920","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7912856,7886480,7892935,7759069,7759706","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9382207,9755386,9536742,9520064,9520154","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"9980310,10225536,9785462,9590470,10477966","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9762089,9355168,9186925,9186887,9330354","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10088401,9870706,10112825,10092103,10088403","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10413034,9927973,10165449,9753104,9597601","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10296363,10670199,10451808,10300842,10660996","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9301607,8733765,9145276,9145282,9344684","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9468430,9851000,9692798,9625166,9287534","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10445226,9581898,9569652,9781721,9761855","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9562053,9987622,9321236,9768431,9769005","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7930530,7930575,8284912,8137215,7807595","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10165449,9927973,10413034,9597601,9753104","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10217030,10091323,10250532,10213689,10684692","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9334045,9320966,9344529,9153169,9152898","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9266296,9674383,9683777,9459829,9462040","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9655522,9713886,10168669,10421288,10468871","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9696768,9744465,9530529,9523271,9543317","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10308247,10458757,10699965,10699964,10474493","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"8758050,9120747,9519723,9462864,9514771","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8730495,8914426,8730481,8730484,8730503","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"10749786,10749787,10749788,10749843,10749845","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8068435,8216662,7989838,7658237,7626749","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9959307,9476774,9146035,9145039,9275351","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"7684003,7686060,7682324,7847346,7935616","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8459117,8528518,9037284,8899350,9114721","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"7901637,7901640,8131132,8131133,8131134","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"10377742,10379613,10378934,10379210,9372637","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"9550916,8934248,9338316,9335243,9114138","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10347760,10569619,10586094,10343347,10557171","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"8662595,8449134,8450813,8450819,8459478","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8703654,9110917,8515985,8431599,8904645","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8469088,8840638,8845246,8840637,8250091","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8475561,8186757,8532645,8532646,8532647","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8653031,8333950,8468762,8518485,8459881","None,None,None,None,None","None,None,None,None,None"
