APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9121688,8961416,9103741,9174325,9172674","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8721480,8793915,8336923,8732790,8925858","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"7677986,7677984,7668684,7662466,7665031","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9566832,9422153,10166753,9565385,10174655","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10059131,9907503,10216255,10693345,10598623","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10759550,10759735,10760002,10132315,9828246","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8100298,7919183,8467802,8690240,7664619","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8508880,8681348,8508854,8508877,8508849","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10267723,10684730,10117747,10465187,10657882","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9044776,9676314,9044774,8912671,8913347","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8847623,9291406,9065464,8605381,9205081","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9741953,10114279,9857598,8728839,8536278","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9403941,9478602,9377768,9276130,9506106","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9843641,8977970,8977966,8978010,8977965","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8880861,8479320,8479319,8475561,8532644","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7613471,8004945,7884581,7809464,7798062","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10450129,10223457,10223460,9784915,9787591","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10186853,9645893,9928349,9970386,9960850","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8487419,8494063,8514952,7741453,7740475","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8605797,9529663,8605628,8605657,8603715","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8729741,8461288,8461691,8656090,8470611","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7624605,7624297,7629068,7624657,7627335","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"7846929,7632118,7754755,8019130,7767720","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,10018841,9856802,7851444","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9185501,9763619,9763624,9763625,9766247","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8954698,8951636,9517695,9518519,9724339","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9589587,9781647,9783718,9589637,10402860","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"8909880,8335390,8233840,8233901,8335387","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"7796669,8044806,7582243,7640704,7912418","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8120620,7755557,7929569,7925750,7925749","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10534773,10307472,10533758,10532212,10532202","None,None,None,None,None","None,None,None,None,None"
