APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9089463,9313927,9335971,9509503,9477768","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8732790,8732625,9338933,8541847,8531341","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10835398,10835464,10835399,10835435,10835460","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9565384,9695908,9421907,9928385,7914129","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10706514,10708816,10519808,10518967,7930530","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10596875,10597790,10598312,10598724,10598873","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8065747,7695547,7692251,10360627,10570305","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9361623,9252101,9454233,9435084,9246424","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"8097981,8018400,7631461,7887285,8125114","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10153794,9986806,10151666,10624212,10623308","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10006150,10003930,10006152,10006153,9205081","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9857598,10114279,9741953,8241180,8241583","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9761577,9564209,9564185,9751965,9403450","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9493327,9617182,9273311,9262132,9277329","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8915479,8150114,8532647,8475566,8475563","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7809464,7794928,8020043,8005491,8004952","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8927031,8679822,8679838,8668393,8915721","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"7639127,8526319,7640196,7640454,8212117","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10491848,10670680,10372447,7842498,7798144","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8324443,8069923,7626724,7673833,7673814","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8078020,8318135,8487260,8472541,8510694","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8928619,8928618,8921203,8923275,8925082","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9870155,10020355,9870339,9870338,9870157","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10130485,10436179,9852303,9512284,9888974","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9186884,9186929,9354450,9353793,9353763","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8152547,8153835,8499174,8513990,8331617","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9094401,9734992,9519755,9537402,9521859","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10670199,10296363,9929918,10020393","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8735212,8846541,8736372,9067249,9067244","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9769902,9613003,9609872,9765427,9751992","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9062192,9062183,9061097,9062052,9062026","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8532895,8728845,8715796,8260907,8261637","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"10601083,10436562,10589556,8045301,8046269","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9597601,9753104,10165449,9927973,10413034","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10662567,10467167,10588504,9869524,9869416","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9753104,9597601,9927973,10413034,10165449","None,None,None,None,None","None,None,None,None,None"
