APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9657194,10083763,9843530,10335171,8959886","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8721480,8531341,8732625,8732790,8536037","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10359121,10582606,10164781,10159909,10159261","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9928385,9421907,9695908,9565384,9264661","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10624752,9627114,10159887,10457348,10469691","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10599396,10599385,10596875,10597790,10598312","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10441141,10130852,10130746,10130683,10570305","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"10321967,10310529,10322168,10187333,10189368","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"8539398,8539391,8537820,8548931,8548927","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10171852,9962092,10210397,10171851,10598566","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9205078,9781467,9390021,9205191,9390020","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9657012,10077851,10075907,10075908,10075909","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8791259,9023346,8795113,8795989,8695480","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10526552,10526827,10526262,10526263,10526264","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9718900,9959330,10124295,10124293,10124292","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8004952,8004945,7806393,7884581,7809464","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10627971,10294338,10474459,10474618,10479037","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10704736,10078842,10574601,10553643,10551296","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7847598,7847463,8310922,8266494,8550177","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8533716,7914248,7696442,8112678,8523445","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8209694,8309932,8534366,8471785,8469583","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"10186749,10569629,10144440,10597055,10330584","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10252839,10004825,10475114,9657404,10704622","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"9660552,9888974,10372955,10436179,9512284","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9353767,9186866,9353768,9354482,9353764","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"7586542,8048626,8082436,8083495,7922872","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9329890,9449418,9648136,9648147,9658502","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9929918,10020393,9553714,8775993,9129654","None,None,None,None,None","None,None,None,None,None"
