APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9172674,9174325,9103741,9121688,8961416","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9701260,10002332,9514218,9729825,9537659","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"7741691,7547058,7847078,7551990,7551992","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9421907,9928385,9565384,9695908,8323234","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10363505,10488757,10645854,10361741,9696976","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9955328,9484766,9329496,9329494,9325588","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7782639,7936995,7784269,7785354,8137238","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8464492,8605174,8462844,8464978,8463759","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"8144939,8150047,8144938,7616961,7943167","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10004913,10136598,10401934,10474273,10004281","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9781466,9390014,10003929,10003930,10006150","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8447675,9221321,8900270,8775653,8917181","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9570705,9697199,9693086,9693087,9693088","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10174613,9882695,10613956,10613948,9882799","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8479320,8880858,8532647,8532646,8915478","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8442921,8448196,8638049,8638048,8654352","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8501665,8525084,8016449,8017652,8017048","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10380776,10609087,10380873,10544770,10544756","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7934566,7932292,8143344,8131789,7684270","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9326321,9340249,9323469,9350371,9327003","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8330544,8456143,8644947,8843569,8302232","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9356843,8572992,8572102,8569995,8572797","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10251990,10485311,10251991,10021640,10251988","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,8333979,8338899,8926581","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8728205,8546359,8546356,8546349,8546370","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9675546,10579867,10579864,10579863,10579861","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9058968,9284365,8726279,8723051,8728726","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10703455,10493566,9385114,10163168,9386542","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10712152,10712148,10712149,10712150,10712151","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8326149,7780850,8326533,7779339,7778023","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10307428,10533765,10306990,10306992,10307277","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8261637,8333429,8261836,8527771,8260907","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7892164,8167969,7959574,7959573,7959572","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10413034,9927973,10165449,9753104,9597601","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"8050352,8050443,8650816,9063400,9259955","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8962105,9172674,9174325,9103741,9121688","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9055318,8516448,8514495,8526368,8133871","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9276820,8798404,8794123,8797263,8796932","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8820238,8895833,8706563,8688737,8705776","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10457740,10459080,7627856,7683482,8069225","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10031380,10037760,10037854,10037968,10665204","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8730495,8915528,8539729,8461802,8914428","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8114159,8114197,7908828,8114196,8134904","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8067957,8851228,8851188,8851233,8851232","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"7942397,7671883,8442351,8436325,8448669","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"10809410,10800562,10800499,10800500,10800506","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8520162,8528514,8722869,8724965,8722870","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10707213,10631646,10740364,10630593,9627382","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9384963,9766828,9546693,9554954,9768496","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"7943167,8545225,8150047,8379002,8330246","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10586094,10557171,10347760,10343347,10569619","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"10003928,9205191,10003929,10003930,10006150","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"9387509,9823878,9388981,9620023,9604799","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"9491874,9492403,9019498,9016165,9020439","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9968018,9542221,9513403,9513402,9542220","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8167594,7959841,7959839,7959838,7959837","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"9110206,8711255,9110799,9105699,8304432","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8045902,8045891,8149877,8150933,8145604","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8725226,8489410,9320021,9128040,8885883","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8279451,8089346,7985068,7984404,7984351","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8364984,8365071,8365074,8092542,8365013","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"10712152,10712149,10712148,10712153,10712150","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"8380898,7930607,7868750,8131018,8144398","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"8330544,8456143,8644947,8508998,8387986","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10433227,9970999,9971086,10259828,10263907","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"7661516,7805577,7900589,7901503,7612039","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"8494647,8308568,8101323,8102005,8127975","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9332274,9535325,9535326,9534630,9118279","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"10136016,9707162,9520144,9693918,9693952","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9977089,9172535,9352728,9325406,9318442","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"8501646,8698446,7768331,7768179,8127848","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"8933610,8530046,8723688,8933600,8723687","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"9116945,8796932,8932846,8929133,8927066","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"7667758,7681689,7658836,7658743,7686303","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"8311650,8504815,8079819,8809724,9221293","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9336090,9560704,9368956,9337097,9339637","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10480949,10480955,10480957,10480959,10480962","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9537710,9318596,9293384,9308003,9318599","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"7759706,7759069,7912856,7886480,7759549","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8545741,8710066,8134460,8144365,8138014","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"10136018,9683913,9683915,9683916,9683917","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"8906908,9087306,9526799,9282289,9281827","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"9944646,9522140,9351172,9725977,9178473","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8523444,8118229,8118220,8118225,8330383","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"10677598,10429878,7918437,8282735,8265871","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"8919190,9332089,8919191,8919187,8919188","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"10310695,10310689,10310696,10310697,9917260","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"8342359,8518212,8525299,8517546,8521043","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"7668885,7808770,8468105,8454525,8477115","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"9194005,9971609,9194006,9196041,9196040","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"10653268,10643909,10506982,10506983,10506984","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"8334547,8686845,8477192,8477193,8481549","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"9530878,9249548,9247940,9250140,9247945","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"8103842,8492023,8471051,8478035,8489257","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"8466375,9055778,8843054,8831722,8588708","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"8284352,8149911,8149961,8147710,8143485","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"9323489,9757795,9563295,8990689,9105753","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"9548115,9355677,9748876,9748874,9748873","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"10749786,10749787,10749788,10749843,10749845","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"8390913,8387986,8389405,8534229,8508998","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"9329857,10105321,9440415,9449418,9449428","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"9056630,9058544,9775236,9745607,9701993","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"10235566,10375585,10584495,10227320,10472519","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"9260968,9135690,9266776,9213339,8794412","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"10653904,10612041,10493281,10493290,10612024","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"9514219,10198994,9961649,9961650,9180422","None,None,None,None,None","None,None,None,None,None"
9222148,f,w,"9980397,9024533,9440573,9655324,9774047","None,None,None,None,None","None,None,None,None,None"
9674467,m,w,"10570880,10335873,10335260,10335261,10335262","None,None,None,None,None","None,None,None,None,None"
9273611,m,w,"9549134,8920167,8754868,9095920,8116584","None,None,None,None,None","None,None,None,None,None"
10480740,m,w,"9113413,9525613,9742995,9742998,9745313","None,None,None,None,None","None,None,None,None,None"
10361543,f,h,"10374706,10659022,10649732,10649720,10649711","None,None,None,None,None","None,None,None,None,None"
10241405,m,w,"7692225,7690402,9940253,10475575,10678643","None,None,None,None,None","None,None,None,None,None"
8300031,f,w,"9128580,8919080,8918417,8653228,8653370","None,None,None,None,None","None,None,None,None,None"
9339325,f,h,"9344536,9274534,10613274,9117807,9543234","None,None,None,None,None","None,None,None,None,None"
8814164,m,w,"9240583,9441702,8810223,9238643,9223131","None,None,None,None,None","None,None,None,None,None"
7924122,f,w,"8501270,7940474,8303318,8279166,8306275","None,None,None,None,None","None,None,None,None,None"
9672444,f,h,"8482240,8482127,8482276,8482279,8482232","None,None,None,None,None","None,None,None,None,None"
8672569,m,w,"9053422,9697258,9706095,9706094,9706092","None,None,None,None,None","None,None,None,None,None"
9688831,f,w,"8366436,9117291,9142991,9134024,9142992","None,None,None,None,None","None,None,None,None,None"
10374944,m,w,"10625574,10625174,10625692,10625691,10625690","None,None,None,None,None","None,None,None,None,None"
10208856,m,h,"9573392,9762081,9573423,9938321,9573420","None,None,None,None,None","None,None,None,None,None"
10197904,m,a,"7899346,7912360,8813276,9336385,9352415","None,None,None,None,None","None,None,None,None,None"
8520046,m,w,"10226567,10398974,10631899,10662202,10662204","None,None,None,None,None","None,None,None,None,None"
9332366,f,w,"9828435,10463994,10002145,10921909,10690514","None,None,None,None,None","None,None,None,None,None"
8920545,m,w,"8627413,9325495,8920547,8627692,8920543","None,None,None,None,None","None,None,None,None,None"
10013563,m,w,"10018234,9899542,10020476,10019013,10018973","None,None,None,None,None","None,None,None,None,None"
7778742,m,w,"7688339,8448759,8565017,8565018,8565019","None,None,None,None,None","None,None,None,None,None"
8849042,m,w,"9706105,9263867,9280779,9293209,9280777","None,None,None,None,None","None,None,None,None,None"
8879187,f,b,"7691793,7691781,7921179,7842150,8119711","None,None,None,None,None","None,None,None,None,None"
9612492,m,w,"10705685,10705855,10705741,10541710,10541708","None,None,None,None,None","None,None,None,None,None"
7903428,f,w,"10557100,10629793,10629795,10112670,10627104","None,None,None,None,None","None,None,None,None,None"
8920695,m,h,"8548286,8305809,8378210,8378010,8294991","None,None,None,None,None","None,None,None,None,None"
10245896,m,a,"7904052,8034796,7694283,7694357,7694286","None,None,None,None,None","None,None,None,None,None"
7573426,m,w,"8606518,8416435,8628883,8232069,8228069","None,None,None,None,None","None,None,None,None,None"
7656696,m,h,"10630618,10701083,9732842,10197959,10134373","None,None,None,None,None","None,None,None,None,None"
8376563,m,w,"8382164,8381458,8526374,8499257,8526375","None,None,None,None,None","None,None,None,None,None"
9100656,m,h,"10625576,10625574,10625692,10625172,10625173","None,None,None,None,None","None,None,None,None,None"
9067860,m,w,"8633360,7938074,7785354,7937794,7860347","None,None,None,None,None","None,None,None,None,None"
10439933,f,w,"10248332,9491356,10001973,9767750,9706812","None,None,None,None,None","None,None,None,None,None"
9893850,f,w,"10684278,10491098,10318902,10318876,10318757","None,None,None,None,None","None,None,None,None,None"
9852507,f,w,"9883639,9658129,9657864,9658384,9783884","None,None,None,None,None","None,None,None,None,None"
7750586,m,w,"8131131,7760473,8130803,8127758,8133851","None,None,None,None,None","None,None,None,None,None"
9752514,m,w,"9592089,10460960,10460957,10460956,10460955","None,None,None,None,None","None,None,None,None,None"
9547256,m,w,"10596883,9476923,10596885,9988357,9988356","None,None,None,None,None","None,None,None,None,None"
10691911,m,w,"10477000,10477015,9413807,9413678,9413619","None,None,None,None,None","None,None,None,None,None"
9989552,m,w,"8833266,8725330,8724033,8725328,9317801","None,None,None,None,None","None,None,None,None,None"
8365163,m,w,"8173789,8173785,8365069,8088117,8065523","None,None,None,None,None","None,None,None,None,None"
7905197,m,w,"7930610,7932235,7930612,7930611,7693824","None,None,None,None,None","None,None,None,None,None"
9533996,f,w,"10653268,10643909,10506982,10506983,10506984","None,None,None,None,None","None,None,None,None,None"
8056801,f,w,"7905559,7905561,7905553,7905549,7905545","None,None,None,None,None","None,None,None,None,None"
9475082,f,w,"10525590,10729385,10705800,10708901,10708920","None,None,None,None,None","None,None,None,None,None"
7797602,f,b,"8205038,7670680,8402796,8403168,8392984","None,None,None,None,None","None,None,None,None,None"
8691551,m,w,"9252387,9174603,9407285,9637288,9100661","None,None,None,None,None","None,None,None,None,None"
7658237,m,w,"8414142,8537347,8413560,8414065,8413642","None,None,None,None,None","None,None,None,None,None"
8375469,f,w,"8609337,8442382,8547122,8442375,8442357","None,None,None,None,None","None,None,None,None,None"
9900325,f,h,"9900325,10015572,10017414,10018234,10018973","None,None,None,None,None","None,None,None,None,None"
8659423,m,w,"8451495,8097851,9308252,9308248,9301103","None,None,None,None,None","None,None,None,None,None"
9978601,m,w,"10220839,10458123,10470725,10035016,10035018","None,None,None,None,None","None,None,None,None,None"
8399839,m,w,"8018400,7633217,7631461,7887285,7887654","None,None,None,None,None","None,None,None,None,None"
9565766,m,w,"10381526,10381525,10617828,10617829,10617830","None,None,None,None,None","None,None,None,None,None"
9317706,f,w,"8277302,7960568,7960565,7960566,8168462","None,None,None,None,None","None,None,None,None,None"
9514768,f,w,"9779201,9547749,9539935,9539929,9528433","None,None,None,None,None","None,None,None,None,None"
9550778,m,b,"10678621,10684454,10678597,10678476,10677506","None,None,None,None,None","None,None,None,None,None"
8066691,m,h,"8796585,9276820,8796932,8797263,8794123","None,None,None,None,None","None,None,None,None,None"
9414391,m,w,"9891933,9738384,9738635,9738418,9738277","None,None,None,None,None","None,None,None,None,None"
9608711,m,w,"8381973,8326851,7555175,7555174,7555172","None,None,None,None,None","None,None,None,None,None"
10404437,m,w,"8499261,8526375,8382164,8382162,8381457","None,None,None,None,None","None,None,None,None,None"
9522003,m,w,"10837481,10837461,7877174,7876210,8326286","None,None,None,None,None","None,None,None,None,None"
9263859,f,w,"10450036,10038021,10037798,10037796,10035018","None,None,None,None,None","None,None,None,None,None"
10525192,f,w,"10492021,10272360,10271736,10271737,10272357","None,None,None,None,None","None,None,None,None,None"
8790574,m,h,"8233429,8111149,8233428,8471436,8233452","None,None,None,None,None","None,None,None,None,None"
9644048,f,a,"9771460,9755239,9147608,9147580,9147579","None,None,None,None,None","None,None,None,None,None"
8461242,f,w,"8464073,8295307,8341156,8334773,8334772","None,None,None,None,None","None,None,None,None,None"
9085450,m,w,"9284540,9091650,9085401,9104245,9084641","None,None,None,None,None","None,None,None,None,None"
7941872,m,w,"7817854,7821787,7937956,7932287,7932315","None,None,None,None,None","None,None,None,None,None"
8894056,m,w,"7900773,7668069,7665566,8235263,8606864","None,None,None,None,None","None,None,None,None,None"
9052094,f,w,"9782700,9390021,9562020,9562023,9548539","None,None,None,None,None","None,None,None,None,None"
9985190,m,b,"9985187,9386344,9386895,9386867,9386899","None,None,None,None,None","None,None,None,None,None"
9352740,m,w,"10220839,10458123,10470725,10035016,10035018","None,None,None,None,None","None,None,None,None,None"
