APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9843530,10335171,9657194,10083763,9986881","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9613939,9934219,10405099,10418618,9930463","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10580910,8607541,7789337,8050090,8436322","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10650877,10641819,10430544,10430514,8701169","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9173674,9972902,9972894,9172968,9173320","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"8754186,9101967,9293252,9519544,8912367","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8722465,7982953,7983248,7983249,7983252","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8787871,9087275,9320782,8916813,10637036","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9352687,9734119,9352237,9352239,9352693","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9441650,9199110,9390795,9838753,9841407","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10250342,9548544,9781466,9390020,9205193","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9741953,10114279,9857598,9627114,9978061","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9115018,9114846,8723688,8334479,8933610","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"7882867,7812141,7878744,7631377,7614372","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9786533,9401926,9401128,9401936,9401783","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8004945,7638663,8018052,8009486,8004982","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7650576,7649063,7649211,7637076,7895048","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"7645172,7881468,7907198,7911837,7880120","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10196932,9577408,10393529,9918850,9922858","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9918850,10196932,10393529,9922858,10630048","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9692355,9127926,9119619,9131807,9332137","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8248016,8038123,7677420,7629068,7624657","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10272392,10493338,10492022,10492024,10492026","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,8305064,7691751,8107508","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10436133,10604394,9186362,9186889,9186866","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"7701173,7860303,7860355,7898725,7897725","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9716564,9540512,9607786,9970196,9607901","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10670199,10296363,10451808,10731254,10731013","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10288585,10288582,10684021,10684010,10459584","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"10177830,9491912,9869047,9905327,9961457","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9963224,10440390,10817292,9966999,9996553","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9702795,9105743,9509442,9468370,9509440","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8975867,9999273,9946863,9506944,10088137","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8339892,8339880,8735667,8728040,8255223","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"7845561,7885322,7667951,7668578,7656591","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8725571,8565628,8566312,8565991,8724343","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8885651,8882257,8768731,8768636,8766909","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"8882383,9128454,9129767,9097820,9100731","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8768731,8874104,8885651,8882257,8766909","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10699964,10309091,10309092,10474471,10474473","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9414391,9558600,9413012,9558641,9654946","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8914418,8539729,8730490,8536640,8540353","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8073856,8307239,8074191,8706704,8706706","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8550801,8693975,8711423,9108891,8868954","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9975095,9822061,9936155,9939445,9948568","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9431063,9617156,9188572,9257685,10630593","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9114406,8899350,8897162,8897165,9107982","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10242118,9764897,10017876,9787411,9787408","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"8619329,9469492,9259978,9469491,9469504","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8150047,7938718,8144938,8144939,7616961","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"9707647,9707646,9707463,9707462,9707461","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9750579,9552670,9514748,9514726,9514736","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8828159,8845185,8722152,8722068,8719655","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8569995,8572305,8572995,8572102,8572797","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8071012,7797609,7643555,7798954,7778835","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"9882011,8340045,8525420,8551670,8534816","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"10625578,10625576,10625692,10625691,10625690","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"9882868,10669218,10173765,10189583,10200808","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8604915,8825531,9245732,9022512,8016853","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"10459872,10599358,10599360,10599365,10602737","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8366090,8097983,8366076,8366077,8366078","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"7994452,7994441,7917330,7640704,7582243","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"10368712,10200307,9246760,9394797,9246899","None,None,None,None,None","None,None,None,None,None"
