APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"10083763,9657194,10335171,9843530,8996081","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9786807,9613911,9787181,10178062,10152373","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"7677984,7908145,7880349,7665031,7662466","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10650877,10430514,10430544,10641819,9928385","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9724451,9173318,10411887,10411885,10411883","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"8754186,8912367,9519544,9293252,9101967","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10130746,10322155,10360627,10441141,10544320","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8787871,9087275,9320782,8916813,10637036","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10518290,10698151,9352683,9178005,9176538","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9379856,9591339,8991919,9267742,8991314","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8605381,9065464,9291406,8847623,8375450","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9741953,9857598,10114279,10622628,10626040","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9114846,9115018,8499062,8278847,8278811","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10551872,9947834,10006492,9996334,9996333","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9554769,9768325,9340121,9135265,9769626","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8838838,8451571,8448208,8448212,8447534","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7941946,7941952,7713519,7701362,7713461","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"8449927,8450446,8449876,8450379,8554372","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10196932,9575666,10138971,10630048,9922858","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"7910449,7906822,7910450,8115056,8284535","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9751349,9729459,8991370,8990345,8991395","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8432962,8433122,8433149,8433134,8433150","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10691927,10691908,10022113,10022114,10022115","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,8352005,8539587,8689977","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10436133,10604394,9353759,9782907,9774040","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10238907,9380827,10240687,10240688,10395064","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10673879,10490413,10394622,9927973,10413034","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10296363,10670199,10451808,10731254,10731013","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8736366,9067246,9320706,9320704,8736371","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9565687,9471784,9491912,9707692,9687652","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8526391,8525399,8539620,8507814,8389240","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"10661792,10480934,10476568,10476573,10476576","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8975867,9999273,10088137,9946863,9506944","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10413034,9927973,10165449,9753104,9597601","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"7885322,7845561,7880871,7656591,7668578","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8724343,8725571,8565628,8566312,8565991","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9223662,8892604,9433601,9673609,9022397","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9655522,10468871,9787584,9716798,9713886","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8768636,8766909,8885651,8874104,8768731","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"9787403,10005920,9783763,9783761,9783760","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9414391,9558600,9413012,9558641,10665204","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8914428,8540353,8539738,8539728,8536638","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"7888569,8291644,7661424,8113081,8935888","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8867004,8867550,9476791,9478201,9124887","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"10625687,10625576,10625692,10625691,10625690","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"8994511,8994651,8994370,8994598,8994640","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8722867,9114409,9114403,9320105,9312938","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10706321,10263344,10263342,10263341,10244967","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"8619190,8899531,8847715,8619367,8619155","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10241412,10437794,10242881,10242880,10242132","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"9707377,9707379,9707647,9707646,9707462","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9318388,9686528,9692533,9692504,9686556","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"7851185,8264227,7691350,7688521,7687909","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8572995,9291538,8570145,8568949,8572871","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8915477,8186757,8532645,8532646,8532647","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"10523326,10378061,10590411,10590796,10621405","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"9212086,9257270,9317412,9257274,9212088","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"10653893,10646213,10189583,10173765,10021661","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"10618316,10426961,8604915,8825531,9245732","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8135080,8302429,8288353,8279451,8291228","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"7961844,7887407,7943337,7961847,7943331","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"7684829,8126357,7684808,7938906,7938904","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"9394797,10316999,9832193,10129530,10070100","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"8090463,7862518,8529834,8097114,7810562","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"8367889,8369767,9433593,8851500,8709733","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"8811913,9268701,9317410,9233895,9223658","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"10616930,10399721,10515459,10598626,10615485","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"8876694,8663263,8238772,8238931,8240158","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"10349761,10354268,10353539,10353538,10353537","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"10677987,10266124,10700147,10092367,10704748","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"8501646,8298979,8698446,8432355,8712537","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"10166939,10166934,9723210,9313018,9313065","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"9826629,9824222,9823404,10016163,9985200","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"7911680,7911689,7935572,7692303,7692302","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"10237905,9997666,9774024,9589484,9968201","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9870155,10477059,10021637,10021633,10020357","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"9185504,10016272,9782896,9782894,9774040","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9785714,9921513,9890032,9549091,9788662","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"8213578,7742160,8015211,7514974,8417684","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"9391161,9391482,9732473,9753179,9546697","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9998950,9769736,9995494,9996697,9188322","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"7933501,7930014,8118229,8118220,8118225","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"10217304,10217542,10216726,10216693,10216549","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"9198246,9195127,9022494,8990494,9195132","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"7687347,7759104,7903215,7902077,7900503","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"8716606,8600148,9000086,8327744,8600374","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"8274910,8318742,7695554,8073547,8135626","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"10273747,10277070,10274937,10840200,10697357","None,None,None,None,None","None,None,None,None,None"
