APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"10335171,9843530,10083763,9657194,9121688","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9930463,10152373,10405099,10418618,9786807","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8301579,7743509,8320713,8307332,8487420","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10430514,10650877,10641819,10430544,8116004","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9723112,9972926,9173674,9172971,9972940","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"8912367,9519544,9293252,9101967,8754186","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10570305,10441141,10130852,10130746,10130683","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8787871,9087275,9320782,8916813,10637036","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10518290,10698151,9352237,9524829,9517980","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9229026,9695977,9873964,9022630,9024048","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8065948,8377721,8051837,8051836,8375450","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9857598,10114279,9741953,8988564,8913136","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9114846,9115018,9932813,9733762,9696245","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9228300,9404936,9617184,9617185,9617186","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8955131,9768325,8954103,9135265,9135268","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8898859,8081510,8251938,8251942,8251931","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10197184,10048673,10048472,10048325,10047717","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"7943322,8545979,7943338,7943339,7728810","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10393529,9918850,10630048,10138971,9727895","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9918850,9922858,9577408,9575666,9727895","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8991370,9751349,8991395,8991043,9478668","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7780406,7911174,7919963,7845606,7934479","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10472053,9870338,9870340,10695963,10695960","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,10130130,10694022,10263369","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10436133,10604394,9783793,9186930,9186362","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9999446,9767653,9767651,9767650,9767649","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8367812,8518215,8529444,8532795,8370230","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10670199,10296363,10731013,10731254","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10712148,10712153,10712152,10712151,10712150","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9961457,9491912,9471784,9707692,9687652","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9783829,9982966,9774474,9149286,9338254","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"10476577,10290456,10476508,10476504,10290786","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"10088137,9506944,9946863,9999273,9787450","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8529444,8370230,8518213,8518215,8532795","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"7880871,7845561,7668578,7656591,7885322","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8532795,8518215,8370150,8367812,8370230","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8885651,8766909,8874104,8882257,8768731","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10653699,10247044,10421288,10468871,9944689","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8768731,8768636,8766909,8882257,8885651","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10217221,10226692,8133151,7979494,8469875","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10180829,9932295,9654290,9654633,9654389","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9129526,8461393,8452332,8459817,8462092","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8598812,8687991,8521365,8440309,8529009","None,None,None,None,None","None,None,None,None,None"
