APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9174325,8962105,9172674,9103741,8961416","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9786807,9787181,9613939,9613911,10405099","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8769006,8768959,9312392,8767346,8768514","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9421907,9695908,9565384,9928385,10609087","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10133276,10264075,10483133,10132015,10133379","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"8609905,9188418,9321301,9321925,9188423","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8136467,7851520,7782639,7689616,7784269","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9544151,9965878,9411341,9743795,10241239","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10465116,10684941,10017034,10017036,10017040","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10208884,10359121,10378135,10401934,10474273","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9981586,9526967,9526371,9528421,9525227","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8458594,7925270,7925430,7925427,7925426","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8895787,9110030,8933610,8933600,8723687","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10079839,9830553,9830559,10079833,10079834","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8186756,8532644,8479319,8479321,8479320","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8251947,8638044,8638048,8638049,8638037","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7708527,7713460,7941957,7924675,7923947","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9771636,9356354,9353347,9355147,9353346","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10130308,10356122,10130323,10308509,10312824","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8091953,8697003,8685877,7985828,7989059","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9912346,10360448,10087002,8471785,8469583","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7911174,7934479,7623049,7624605,7628423","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9185890,9753164,9982474,9347018,9983640","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,10470179,10265512,10264876","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9355168,9763624,9766246,9766247,9774037","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8770595,8898078,8769839,8768943,8770165","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8166312,8718964,8702064,8526339,8509566","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10296363,10670199,10451808,10675681,10247521","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8621140,8621139,9076634,9145283,9076627","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9471784,9491912,9905327,9961457,10098064","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8664383,9052183,9253399,9253401,9257401","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"7798326,7797933,7798339,10450885,9966987","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8097291,8360471,8360464,8360465,8360466","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9334045,9344529,9320966,9153169,9152898","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"8332323,7805475,8310240,8277968,8268550","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9344529,9320966,9334045,9153169,9152898","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"7582286,8051577,8247800,8233357,8260290","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"8797263,8932846,8927066,8935925,9321144","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9250815,9129908,9135641,8331082,8690813","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10217221,10226692,8469875,7979494,8133151","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10665204,10666871,10667123,10666025,9912697","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9336710,9748858,9137622,9137623,9137625","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9515949,8899195,9102782,9102773,9102767","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8603252,8525502,9135580,8813612,8824547","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9893796,9691848,9312530,9312410,9312411","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9745324,9733763,9696246,9697194,9697195","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9476681,9476389,9479644,9476554,9476618","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10551646,10372530,10708885,10701777,10701074","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"8913347,9246536,9459899,9457435,9460502","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8150047,8330246,7938718,8144938,8144939","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10343347,10347760,10348223,10557171,10569619","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"7898765,8100405,8097321,8097322,8097323","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8432009,8244145,10107085,10104062,10105438","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"10601679,10747623,10722847,10685290,10448536","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8326736,8479320,8479319,8475561,8532644","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8360255,8360507,7898071,7898069,7848438","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"9878236,9241943,8876094,8876347,9416072","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8382383,8509017,8501016,8501014,8501015","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8604915,9022512,9245732,8825531,10397516","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8493984,8291408,7984238,7985068,7984404","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"7961516,8364986,8257126,8531414,8259133","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"8079051,8432110,7917330,8136500,8044806","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"7912360,7899346,7681554,7932428,7928795","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"10264950,10264956,10264953,10264952,10264951","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10259700,10043941,10236355,10222564,10222561","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"8499228,8144570,8274822,8303360,8477122","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"10731795,10731789,10731255,10669767,10616930","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9320541,8964989,8963950,8964641,8965396","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"9250144,8884311,8649392,9926425,9926426","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"10304093,10692748,10692743,10687210,10687208","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"9533890,9747330,9324029,9114642,8951512","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"9929040,10166939,9313065,9313018,10166938","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"9787108,10450087,9654389,9654628,9791149","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"7658832,7683100,7681689,7921151,7880319","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"8912438,9057010,8737000,9115080,8848052","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9625958,10017368,10701483,10701482,10701481","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10480947,10289786,10289784,10285670,10285669","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9537708,9318596,9308004,9313947,9308002","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"8526322,8521081,7715096,7721066,7727309","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8537860,8547014,8540376,8545561,8547021","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"8884307,9033911,9249555,9542426,9247942","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"9557534,9734121,9386094,9969453,10207716","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"10341095,9821172,10341087,9397506,9623311","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8291433,8118202,7931855,8523445,8526322","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"9130492,9130493,9304463,9303517,8523181","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"8790931,8516401,8529401,8424260,8423705","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"9206567,10003116,9544774,9778694,9770533","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"8529444,8368840,8532795,8518213,8518215","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"8681355,8492031,8374068,8373378,8372762","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"8936252,9085433,9085430,9085429,8936251","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"10650888,10641974,10641979,10641982,10641984","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"8799363,9980397,9024533,9440573,9756578","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"10413850,10006880,10626760,10194494,9812381","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"8662692,8681345,8501362,8478040,8330535","None,None,None,None,None","None,None,None,None,None"
