APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"10083763,9657194,10335171,9843530,9323560","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9934219,9786807,10418618,9930463,10178062","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"7908879,7902093,8105554,8105515,8119635","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9928385,9421907,9695908,9565384,10277070","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"8534761,8193694,8707069,8332952,8722126","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10709636,10592780,8703021,8496732,8703018","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10130683,10441141,10130746,10570305,10544320","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9411341,9965878,9743795,10241239,9544151","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10288585,10288582,10684021,10684010,10459584","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8913347,9457435,9460502,8913586,8912671","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10006150,9781464,9205193,9390020,9205191","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9691304,9043034,9174083,9174087,9174084","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8993964,8994651,8994511,8994370,8994598","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10712618,10711001,10711018,10711811,10712556","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10704274,10704365,10704390,10704389,10704388","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7612658,8011175,8005491,8004952,8033151","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10178138,10599925,9770051,9770050,9770049","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10125837,10186853,10101619,10092088,10086379","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10577806,10168131,10357968,10357969,10357970","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"10168132,10162825,10583502,10583505,10583508","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10360448,9912346,10087002,8604913,8733202","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9697816,9567637,9277472,9098205,9481714","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9625339,9983640,9347018,9185890,9316562","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10064949,10523132,10065210,10065244,10065245","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10604394,10436133,9563255,9186926,9542774","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10435215,10435212,10599210,10599207,10599204","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8321997,8173390,8509566,8702064,8718964","None,None,None,None,None","None,None,None,None,None"
