APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8996081,9146268,9291402,10645719,10645964","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8996081,9291402,9146268,9812311,9177874","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9146268,9291402,8996081,9205914,9519819","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10491848,10670680,10372447,9928881,9654628","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"8758050,10689928,10528845,8369767,8367889","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9177874,9319816,9706654,9494700,9812311","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"9477768,9090775,9089463,9313927,9335971","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8509163,8617223,9213339,8794412,9000120","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9517023,9697814,9173599,9316605,9951035","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10225542,10219250,10179392,10172905,10874947","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10166845,10166844,10116143,10114823,10461771","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8881515,9124602,9124604,8925805,8919250","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9926797,9156542,9346002,9691088,9546463","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9376394,9529618,8883055,9124602,8881515","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9926797,9156542,9346002,9691088,9546463","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9454567,10701922,10533583,9459899,9246531","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8582263,8829218,8743206,8691778,8721417","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"8833707,8367889,8369767,8758050,9056078","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"9928385,9421907,9695908,9565384,9264661","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9237257,9624358,9627971,9849598,9849270","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9130634,8698651,8519139,8258577,8339363","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9789137,9654633,10188376,9963133,9934086","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9546463,9691088,9346002,9156542,9926797","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8758050,8996081,9146268,9291402,9654628","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9346002,9156542,9926797,9546463,9691088","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8794412,9213339,8509163,9000120,8617223","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8996081,9291402,9146268,9134613,9318394","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10645719,10645964,10645746,10645467,10570917","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8996081,9146268,9291402,8711845,9433593","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9291402,9146268,8996081,9278724,9893855","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9555305,9654628,9791149,9928881,9932295","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9987622,10015256,9188204,9321184,9321236","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"9955301,10178077,9454132,9736785,9564694","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8339892,8339880,8735667,8728040,8339365","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"8083495,7922872,7586542,8082436,8048626","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8996081,9291402,9146268,9177874,9319816","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9117095,9624358,9324725,9237256,9248352","None,None,None,None,None","None,None,None,None,None"
