APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9174325,9172674,8962105,8959886,8961416","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"7646502,7881422,7879920,7884302,7816331","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10508735,10508738,10571461,10673954,10690728","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10650877,10641819,10430544,10430514,7645025","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10488757,10645854,10361741,10363505,10746147","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9188418,9686784,9931291,9931288,9931275","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8338848,8326059,8078440,8155178,8035156","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8462844,8463063,8838751,8793174,8857379","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10472040,10472038,10108752,10108753,10108754","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7922626,8137255,7681140,10582606,10359121","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10475134,10017153,10250429,10250428,10692636","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10129368,10633134,10694224,10694221,10694216","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9451957,9972763,9146201,9146207,9146144","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10056070,10544315,10056072,10056071,10056069","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10215388,9941050,10626813,10626809,10626807","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8638039,8442911,8081370,8081289,8081465","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8719021,9116838,8549276,8545670,8543644","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10624283,9654886,9878744,9882207,9923517","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8214696,7921642,7920833,8119772,8098843","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9313905,9695988,9695992,9696385,9696386","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8456143,8330544,8644947,8329146,8486383","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8358286,8352997,8335509,8355435,8353361","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10733396,10733193,10733397,10732948,10732949","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,8899919,8547574,8680213","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8382565,8379093,8380024,8382567,8380026","None,None,None,None,None","None,None,None,None,None"
