APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9657194,10083763,9843530,10335171,9144844","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8732625,8531341,9123843,8890180,8925858","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10667381,10670756,9879494,10475270,10460169","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"8720662,8572720,9077610,9264452,9075536","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10747107,9898962,9899079,10226341,10064156","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10491953,10665746,10378786,10536567,10537743","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10708066,10526305,10515451,10515452,10515453","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8927687,8922763,9099900,9043947,9069954","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10559603,9270571,10281384,10485232,10280201","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8197873,7847078,7845330,7742612,7741691","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8605381,9065464,9291406,8847623,8849787","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9857843,9691325,9272883,9282431,9272881","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8900335,8719172,8925140,8473018,8472725","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"8323527,8508767,8201884,8200205,8702054","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8894408,8725468,8725470,8681153,8681149","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9901562,9240653,9234570,9244044,9229560","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8381473,8534152,7905601,7905602,7905606","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9655073,10228544,10704736,10887735,10086379","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"9547758,9380898,9767010,9767009,9767006","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8325515,8325528,8325516,8236738,8235304","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8644947,8456143,8330544,8486383,8329146","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8382376,8382374,8130759,8130761,8534157","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9751229,9520154,9382042,9381725,9382154","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,8446031,8443710,8539592","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10016261,9186636,9354484,9186889,9186866","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9718083,9094442,9099778,9093707,9093709","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9737794,9588942,9588952,9588953,9781955","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9901517,9778199,10373005,10375519,10380632","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9067246,8846544,8846546,8846545,8846543","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8525420,8522230,8340090,8340858,8340889","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8826120,8791901,8605677,8606033,8606066","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"10015256,9188204,9321236,9768431,9769005","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8141235,8320216,7789192,8536794,7932712","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9597601,10165449,9927973,10413034,9753104","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10678256,10684535,8975120,8920538,8827590","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"10413034,9927973,10165449,9753104,9597601","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8705846,9038249,9263887,8843779,8685120","None,None,None,None,None","None,None,None,None,None"
