APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9565173,8997390,8997188,9323560,9145766","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8723288,8576089,9061807,9061808,8577315","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9041010,8451833,8281251,8877436,8644874","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10641819,10430544,10430514,10650877,7876773","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10746147,9907503,10555519,10017961,10059105","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9325588,9698418,9325587,9325589,9329494","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8264290,7638021,7940064,7692869,7649476","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"10009332,9753568,9496938,10468020,10229378","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9146696,8890310,8765079,8929492,8894260","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10479044,10532594,10309098,10746327,10745889","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9172098,9170763,9753084,9526366,9172095","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10407861,10407843,10408485,10408484,10408481","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9484516,10153468,10161615,10161614,10159134","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"8978010,9228310,9617183,9617182,9617181","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8380066,8158771,8725470,8725468,8725469","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9229560,9078445,9251863,9234570,9244044","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7666929,7667260,7666932,7666892,7664511","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"7916426,7730603,7727520,7727133,7727142","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8599512,8318269,8134250,8128675,8147526","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8603715,8808770,8823639,9529663,9198246","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8813609,9211357,8431983,9010966,8607976","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9775448,10159887,10469691,9978061,9979867","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9902838,9902839,9902788,9902085,9627377","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10018841,9856802,8876643,8722121,8390609","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10290747,10704634,10289784,10285670,10285669","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9380810,9380901,9380807,9380827,9380902","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8565628,8566312,8724343,8725571,8565991","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10460959,10460961,10460931,10460934,10460955","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8846545,9067246,8736363,8736366,8736371","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9487321,9319995,9869047,9471784,9559620","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10306992,10540310,10533765,10533771,10534773","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8260907,8715796,8911299,8911300,8926974","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7798069,8056024,8359581,8359582,8129510","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8593645,8728726,8897939,8867116,8853234","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"7650409,7846879,8010072,7924510,7922582","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9122273,9123487,8958574,9120741,9123506","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9320748,8508853,9089824,9296226,9088316","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"8739332,9104056,8914058,8899717,8875086","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"10092091,10078590,10673469,9844060,9872117","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"7880010,7759769,8062134,8065991,8067008","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9430880,9429358,9569726,9568823,8758050","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9554600,9477238,9554610,9557462,9554639","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"10749846,10749845,10749786,10749787,10749788","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"9485283,9093030,9266287,9266293,9266294","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"10704325,10704819,8375152,8036019,8036031","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9482284,10164622,10159133,10159134,10161614","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"10613274,9478405,9478480,9476618,9478515","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"8600630,8390436,8587441,8588253,8150834","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9338254,9044624,9149286,9353805,9150566","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8379002,7943167,7938718,8144938,8144939","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10335121,9880395,10584503,10091395,9654293","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9266785,9514737,9514739,9514748,9514726","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8087592,8087578,8104246,8106367,7690912","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"7690929,8307476,7691241,7691247,7691281","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9523138,9080334,9323319,9313207,9281684","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8360209,8359798,8359796,8359795,8359793","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"9637234,8820055,8819821,8819819,8820058","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8382386,8323001,8501014,8501015,8150933","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8319431,8653603,8146167,8016853,7896848","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8268444,7858212,8080356,7849075,7689126","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8173706,8173671,7876992,8173720,8173721","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"10712149,10712148,10712153,10712152,10712151","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"7681554,7932428,7928795,8382511,7906672","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"9694731,9763656,9549142,9542390,9403567","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10542429,10669197,10192033,10194855,10195946","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"10625579,10625577,10625174,10625175,10625176","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"7862326,7555583,7692271,10321656,10594566","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9752549,9753243,9755429,9755427,9754828","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"9355304,8840247,8840241,8840249,8828185","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9266788,9088208,9088201,9088203,9054067","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"8298979,8698446,7936083,7936081,8712537","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"8876086,8875343,8876120,8072688,7632223","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"8554372,8539640,8449927,8450446,8449876","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"10655644,10490327,10680567,10326762,10326565","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"8737541,8903770,8664235,9098656,9117955","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9565524,9336634,9336575,9355575,9339637","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10476578,10704644,10289786,10289785,10289784","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9780602,9723226,10005511,9778907,9723232","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"8210135,7668001,7900055,7886881,8100577","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"10708920,10729385,10705782,10705788,10705796","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9520143,9543290,9520087,9554901,9553762","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"9557534,9734121,9969453,10207716,9386094","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"9944529,10176782,9178478,9548075,9351177","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8091253,7742104,8323482,8090908,7918932","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"10518420,10518435,9925753,10174713,9330358","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"8919187,9332087,8793019,8793022,8793023","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"9206654,10003117,9923509,10380064,9206212","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"9989007,9811224,9989008,9812039,9812006","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"8840539,9262831,9056966,9056986,9047222","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"9620334,9744826,9551092,9551087,9551090","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"10459875,10599356,10614015,10614011,10614009","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"9070730,9274328,8925885,8910705,8910704","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"10600145,10602516,10600122,10600117,10600026","None,None,None,None,None","None,None,None,None,None"
