APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8975055,9126612,9203174,9203497,9203398","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8334396,8705695,8327084,7780924,7783230","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10220134,10368699,10037769,10493359,9838250","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10083763,9657194,10335171,9843530,10901041","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9832007,9831921,10228685,10465020,10018031","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9321925,9931288,9682510,9321304,9321305","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"9035747,9458148,9260763,9277432,9094237","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8060370,8060298,8060185,8053191,8053213","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10684449,10659046,10684431,10474553,10445064","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7631377,7614372,7878744,7812141,8231792","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9205081,9205193,9205191,9390021,9390014","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9857843,9458730,9468370,9509440,9509437","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9450135,9977704,9570673,9570676,9568382","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9544769,9332089,8919191,8919187,8919188","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9773067,9393650,9565398,9565399,9565400","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8448209,8447534,8081515,8451571,8442389","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8831438,8831107,8831971,8832093,8831876","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9657194,10083763,9843530,10335171,9389012","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7942255,8137656,7693798,8729645,8332823","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"10426603,10663172,10320998,10321014,10264274","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9755115,9923712,10145058,10127682,10049485","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"10470762,10233981,10440390,9582637,9584340","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10793921,10793907,10791949,10793920,10791947","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"9703434,9703435,10447513,10632021,10630956","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"7902308,8060624,7807977,7620363,7908052","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10134231,9927964,9675546,9675547,10142922","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8367812,8529444,8370150,8368840,8370230","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10205031,10252039,10252036,10252035,10206116","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10288585,10288582,10684021,10684010,10459584","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9692798,10152382,9515968,9625166,9287534","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9526492,9318535,9331637,9562555,9318534","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8715797,8911299,8715796,8260907,8261637","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8167974,8360687,8167979,8167978,8167977","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8962551,8966527,9118842,9127069,9134020","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10831792,10831698,10831321,9115429,9115446","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"10629324,10624857,10426470,10434342,10434464","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8135242,8722091,8184143,8132428,8132427","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10665059,10665009,10661884,10641392,10641270","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8662692,8681345,8501362,8478040,8330535","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"7869400,7652351,8462781,8462018,8534446","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10491914,10355559,10491933,10694159,10694161","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9476681,9478515,9478480,9476389,9476640","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8083231,8082090,8289434,8289429,8289433","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"10694176,10488201,10306305,10306303,10306302","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8667709,9024425,9245828,9024439,9024443","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9675127,9451949,9972755,9972758,9691059","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9478405,9478515,9476618,9476640,9478513","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10416105,9999293,9756828,9904897,9829629","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9482420,9696381,9313495,9035943,9144438","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10700075,10485231,10491885,10700072,10700141","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10633173,10196938,9968942,9969005,10626824","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"8448161,7650820,7650816,7624034,7620491","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"10815147,10815392,10018175,10019836,9900560","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"9950854,9951029,9460833,9461877,9697181","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9765155,9352780,9324139,9324131,9352777","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8364953,8126199,8364948,8364946,8364944","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"8527696,7764289,7764317,7764316,7764314","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8150485,8501019,8382385,8377494,8377482","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"7814834,8106424,7935462,8319431,8146167","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"7940837,7737637,7936261,7914339,7927151","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"7961431,7896942,7986725,8173892,7997795","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"8377946,8675960,8032688,8032683,8032667","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"7789838,8707085,8538317,8538318,8538307","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"9757832,9315172,9142348,9313440,8990661","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10514064,10701771,10180829,9787307,10404992","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"7696461,8320322,8378486,8282922,8376115","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"10016175,9883358,9883118,9881069,10462121","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9763354,9755434,9534647,9534630,9535326","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"9322735,8828195,8829853,9085920,8829851","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9528413,9753823,9753821,9753815,9753813","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"8279210,7802276,8262528,8063858,7618407","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"10437396,10676239,10437177,10437096,10437095","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"9617513,9789281,9789299,9837229,9837381","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"9978950,10246881,10004189,10222805,10471886","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"9280585,9284345,9350257,9353295,9277217","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9557534,9734121,9386094,9969453,10207716","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10669032,10407843,10408484,10408481,10408480","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"7925715,7925694,7925707,7925706,7925705","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"9529679,9116910,8792750,8792751,9535440","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8379233,8379782,8382482,8379333,8381594","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"10000415,9532170,9553748,9544227,9537569","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"8913705,8576656,8911854,9145291,9143830","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"9081525,8892811,8892808,8892813,8878186","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8471959,8723135,8923170,8906816,8916648","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"7918437,8260815,8282735,8265871,8590939","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"8327768,8526287,9329760,8515878,8515873","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"10441633,9917266,10075852,10534685,10534684","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"10727587,10723352,10723510,10724784,10725252","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"8842928,9298558,8843776,8680584,8680575","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"10242057,9615113,10242058,9788111,9788112","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"10459874,10460077,10469110,10469111,10469112","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"10573170,10570917,10350448,10350001,10612407","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"8664393,9059075,8670751,8670750,8670747","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"9011505,8892766,8891700,9437665,9437652","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"8723627,8423514,9109527,8929114,8921326","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"9118942,8984583,9300880,8984798,9109642","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"8782592,9391174,9604763,9186941,8975583","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"9318599,9313943,9506826,9537708,9506823","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"7908837,7688024,7921646,8135542,7905826","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"8469583,8534366,8209694,8309932,8209569","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"7610903,8051793,7595905,7595897,7610891","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"8927806,9527124,8927819,9059090,9068923","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"10301833,10425426,10614581,10360448,9912346","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"9656182,9673229,9681500,9557799,9560404","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"7805577,7612039,7640777,7670344,7676699","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"8326603,8052077,8724339,8719941,8690772","None,None,None,None,None","None,None,None,None,None"
9222148,f,w,"10493359,10037769,10368699,10220134,10730324","None,None,None,None,None","None,None,None,None,None"
9674467,m,w,"10558769,9840754,9840756,9840757,9840758","None,None,None,None,None","None,None,None,None,None"
9273611,m,w,"8821670,8495481,8726491,8641435,8867285","None,None,None,None,None","None,None,None,None,None"
10480740,m,w,"10055976,9610661,10055179,10054276,8854802","None,None,None,None,None","None,None,None,None,None"
10361543,f,h,"9985813,10452743,10456257,10456256,10452747","None,None,None,None,None","None,None,None,None,None"
10241405,m,w,"9517140,10316999,9832193,10129530,10070100","None,None,None,None,None","None,None,None,None,None"
8300031,f,w,"8813382,8775993,9129654,9333344,9553714","None,None,None,None,None","None,None,None,None,None"
9339325,f,h,"9339324,9303769,9126423,9240043,9239960","None,None,None,None,None","None,None,None,None,None"
8814164,m,w,"9276564,8694582,8692502,8694876,8694755","None,None,None,None,None","None,None,None,None,None"
7924122,f,w,"7919077,7846463,8083295,8074490,8462895","None,None,None,None,None","None,None,None,None,None"
9672444,f,h,"10306992,10540315,10533765,10533771,10534773","None,None,None,None,None","None,None,None,None,None"
8672569,m,w,"7892343,8100408,7893086,8092636,8092637","None,None,None,None,None","None,None,None,None,None"
9688831,f,w,"10645099,10163241,10155569,10155570,10155571","None,None,None,None,None","None,None,None,None,None"
10374944,m,w,"10541228,10363478,10689691,10891793,10689668","None,None,None,None,None","None,None,None,None,None"
10208856,m,h,"9962706,9301755,10532469,9375911,9981228","None,None,None,None,None","None,None,None,None,None"
10197904,m,a,"10411887,9517857,9518825,9542303,9517850","None,None,None,None,None","None,None,None,None,None"
8520046,m,w,"8727536,8379091,8336868,8382414,8380023","None,None,None,None,None","None,None,None,None,None"
9332366,f,w,"8732924,8843354,9477414,9497761,9474052","None,None,None,None,None","None,None,None,None,None"
8920545,m,w,"8717635,8627315,8920547,8920543,8920548","None,None,None,None,None","None,None,None,None,None"
10013563,m,w,"9900395,10021744,9898607,9899486,9899542","None,None,None,None,None","None,None,None,None,None"
7778742,m,w,"7906017,8143294,8137226,7905971,8143290","None,None,None,None,None","None,None,None,None,None"
8849042,m,w,"8848724,9267086,9267083,9267082,9267084","None,None,None,None,None","None,None,None,None,None"
8879187,f,b,"8458957,8473274,8466410,8705005,8705004","None,None,None,None,None","None,None,None,None,None"
9612492,m,w,"8989454,9318371,9747177,9747176,9747175","None,None,None,None,None","None,None,None,None,None"
7903428,f,w,"8325286,8150919,8066105,8054038,8054040","None,None,None,None,None","None,None,None,None,None"
8920695,m,h,"7900613,7922742,8134407,8134408,8134409","None,None,None,None,None","None,None,None,None,None"
10245896,m,a,"9971486,10167649,10411438,9813586,10671574","None,None,None,None,None","None,None,None,None,None"
7573426,m,w,"7727101,8126253,8102924,8234997,8131685","None,None,None,None,None","None,None,None,None,None"
7656696,m,h,"7692904,7690696,7690900,7695014,7691685","None,None,None,None,None","None,None,None,None,None"
8376563,m,w,"8524198,8492038,7677162,7677167,7677176","None,None,None,None,None","None,None,None,None,None"
9100656,m,h,"10103760,10144821,10144818,10116966,10103769","None,None,None,None,None","None,None,None,None,None"
9067860,m,w,"9277432,9094237,9301498,9036696,9094206","None,None,None,None,None","None,None,None,None,None"
10439933,f,w,"9988638,9988789,9989528,9989419,9989396","None,None,None,None,None","None,None,None,None,None"
9893850,f,w,"10610447,10655726,10620361,10619595,10576534","None,None,None,None,None","None,None,None,None,None"
9852507,f,w,"10181073,9925657,9929454,10038590,10128219","None,None,None,None,None","None,None,None,None,None"
7750586,m,w,"7587349,7778302,8075256,7777816,7803676","None,None,None,None,None","None,None,None,None,None"
9752514,m,w,"9752517,9750297,9753227,9752536,9752534","None,None,None,None,None","None,None,None,None,None"
9547256,m,w,"9522256,10162324,10162322,10147152,10147151","None,None,None,None,None","None,None,None,None,None"
10691911,m,w,"9413733,10236398,10236396,10236395,10236317","None,None,None,None,None","None,None,None,None,None"
9989552,m,w,"10642813,10448106,10632021,10447513,10446751","None,None,None,None,None","None,None,None,None,None"
8365163,m,w,"7961839,7942366,7892130,7758859,7961838","None,None,None,None,None","None,None,None,None,None"
7905197,m,w,"8144397,8337256,7930611,7693824,7694311","None,None,None,None,None","None,None,None,None,None"
9533996,f,w,"10459874,10460077,10469110,10469111,10469112","None,None,None,None,None","None,None,None,None,None"
8056801,f,w,"7795821,7922317,8058792,8058793,7790548","None,None,None,None,None","None,None,None,None,None"
