APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"10644738,10713291,10727192,10728925,8625332","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8732625,8531341,8793915,8721480,8247968","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8892229,8532043,8514718,8531822,8514717","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"7672236,7644994,7906847,7914129,7897658","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10746147,10363505,10361741,10645854,10488757","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"7754922,7758622,7906022,8072575,8072576","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"9855396,9663870,10359217,10359761,10359772","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9978087,9978910,10162653,10169501,9705804","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"8934248,9321931,8916161,8934169,8934178","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9257400,9059079,9253397,9257398,8664392","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10250429,9860326,10250440,9859555,9859559","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10626043,10626039,10622641,10622638,10622635","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9451958,9675129,9675127,9675126,9675125","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"7878744,7614372,7631377,7615108,7812141","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10183170,9920683,10612118,10612117,10612116","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"10252369,10379419,10251456,10379323,10379324","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"9116910,9307934,9072264,9052201,9320330","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9655073,10551296,9872123,9858268,9928349","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"9304204,9164853,9303345,9365686,9376661","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9223715,8990015,8808770,8788949,8823639","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8551682,8607976,9010966,8431983,9211357","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9930311,10144440,9930703,10330584,10569629","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10708920,10526105,10729465,10729466,10729467","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"9660552,9684606,9512284,10372955,10436179","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9186195,9774039,9782908,9782907,9782904","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9104107,9305830,9275355,9691140,9697755","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9069689,9298512,9277345,9277346,9298510","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10296363,10670199,10451808,10218145,9393649","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8846545,8736371,8736372,9067244,9067246","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9468430,9692798,9625166,9287534,9287024","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8512941,9295020,9288182,9292160,9297105","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"10015256,9535290,9562053,9769005,9768431","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7939859,7848625,7854582,7853940,7854985","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9597601,9753104,10165449,9927973,10413034","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"9981830,10224900,9773226,9577581,9607866","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8962105,8961416,8959886,9174325,9103741","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8301704,8478035,8513900,8248824,8130799","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"7931241,7682983,7643794,10598626,10731905","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"10459932,10459930,10469111,10469110,10469109","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10226692,10457740,10459080,8128700,7991894","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10037854,10037968,10037760,10031380,10374361","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8656058,8536639,9129625,9129526,9129624","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8909157,8849935,8728993,8728992,8728986","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8450929,8894597,8664917,8469083,8306428","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9952311,10380759,9918856,9926819,10144931","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"10631646,10707213,10740364,10630593,8035155","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9114396,9108541,8898568,9113735,8901734","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"7847346,7682324,7686060,7684003,7935616","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9455450,7787766,7575295,7790073,7790082","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8115532,8327161,8730126,8114367,8928142","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10569619,10557171,10343347,10347760,10348223","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"8876520,8502592,8501184,8501215,8502596","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"7688638,8087592,8087578,8104246,7690912","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8138172,8321540,8138112,8138267,8330276","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8681149,8479321,8532645,8532646,8532647","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"7847842,7847776,7847999,7849244,7849439","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"10562309,10563243,10564073,10565802,10440593","None,None,None,None,None","None,None,None,None,None"
