APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8962105,8959886,8961416,9121688,9103741","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"10426961,10618316,8732625,8732790,8721480","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8522230,8525420,8536362,8340090,8340858","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10201986,10380776,10195469,10380875,10394326","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10693345,10216255,9907503,10059131,10059105","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9187751,9325589,9329496,9329493,9484766","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8146034,8145689,8149935,8528583,8535544","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8462845,8793177,8655845,8685953,8655156","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10011878,10017042,10670167,10670165,10670163","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7994756,7558266,7551992,7551990,7847079","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8014552,7837508,8014463,8014464,8014465","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10669032,10407842,10408481,10408480,10407868","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"10215245,9484589,9484500,9484495,9484896","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9843624,8978021,9198861,9262124,9198862","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9080337,9323318,9281681,9313208,9281685","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8638049,8081491,8451571,8442389,8442899","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8710281,8337690,8508325,8541855,8541057","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"8163849,8688866,8871505,8897214,8336955","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7680230,7920822,7920814,7680243,7880878","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9538770,10229452,10229469,10231192,10234007","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10301833,10425426,10614581,8644944,8486383","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9774239,10249151,10241993,10242123,10242813","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9627726,9627278,9627276,9627275,9627724","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,10063228,10212366,10646456","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8728216,8379093,8380024,8382567,8380026","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10580756,9927976,10579867,10579866,10579864","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8368259,8371203,8371284,8371247,8372270","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10471822,10206116,10252036,10252037,10252038","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10288585,10288582,10684021,10684010,10459584","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8898223,8748717,8729399,8706977,8753547","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10540315,10306992,10542343,10307481,10307474","None,None,None,None,None","None,None,None,None,None"
