APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9172674,9174325,9103741,9121688,8961416","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8536036,9338933,9123843,8890180,8925858","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9853019,10330419,10549792,10086984,9667871","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10085915,10442624,10424563,10264139,10264030","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10746147,10488757,10363505,10361741,10645854","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9187752,9188183,9329493,9329496,9329494","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7940064,7638021,8264290,7630038,8637449","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9071963,9274940,8744447,8744586,8744535","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"8379002,7943167,8150047,7938718,8144939","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7992460,8197474,7991378,7992458,7991865","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9251138,8829084,9105635,9054051,9052098","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9043032,9174084,9509442,9468370,9509440","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9750527,9450150,9449959,9447472,9728736","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"8977739,9404936,9617184,9617185,9617186","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9313208,9729519,9087467,9080334,9080336","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8451571,8251933,8898857,8903981,8838833","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"9382414,10229453,10231192,10234007,10234085","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10195469,10191895,10380873,10208164,10207946","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7686368,8098843,7880878,7921642,7883672","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9773107,9751087,9750112,9750099,9750080","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10817423,10818740,9549142,9763656,9694731","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9774196,9690132,9690163,9690160,9690140","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10505612,10692839,10505611,10694941,10694936","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,8446031,8537894,8539592","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8546366,8928162,8928164,8382567,8380026","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10656186,10469995,9897490,9897491,9897492","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8146182,8146949,8724318,8723019,8014657","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9750265,10205030,10203940,10203938,10203937","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9320707,8736371,8736372,9067249,9067246","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9515968,10152382,10093134,9287024,9287534","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9323407,9537514,9526492,9526491,9518900","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9831543,10205060,10655524,9966987,10450885","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7932757,8360598,8360226,8360227,8360228","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9927973,10165449,10413034,9597601,9753104","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"9559429,8829529,8828966,9133937,9133935","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"10027657,10237366,10263308,10263222,10263217","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8516453,8514503,8516452,8526362,8516451","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10592377,10104263,10523350,10568039,10590796","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9064227,8837714,9474210,9412921,9302543","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"8070896,7854127,8099743,8102063,8098170","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10665204,10667123,10666025,10666871,10514064","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9478515,9476681,9476678,9478480,9476389","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9193112,9309081,8337966,7828069,7828104","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"9927583,9691120,10150750,10150751,10150752","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8378800,8378787,8376725,8376947,8376768","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"10203758,9750250,9747110,9747112,9750119","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8726766,9242799,9320105,9114403,9114405","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"9734369,9894773,9732833,10016225,9994966","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9036603,9144438,9313495,9696381,9482420","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"7938718,8150047,8144938,8144939,7616961","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"8412142,8412134,8472621,8477358,8658196","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9526969,9337327,9318442,9325406,9352728","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"10748106,10744343,10677948,10677429,10676578","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"10424547,10622510,10521304,10536688,10544056","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9542218,9542221,9323319,9281685,9313208","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8258699,7960540,7960551,7960550,7960548","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"10149231,9679463,9913452,9913457,9913459","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8463613,8133733,7680797,7681430,7896340","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"7654129,7901634,7896848,7631353,8082107","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8268444,8447113,7858212,8080356,7849075","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8173698,8173708,7961343,7961342,8173794","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"9769880,10008980,9933940,9933943,9933944","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"7681554,7932428,7928795,7932733,7906670","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"8601687,8602768,8991061,8990810,8432715","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10670998,10412111,10222561,10681318,10414099","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"8376425,7670792,7669764,7669763,7669761","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"10435204,10200349,10435840,10550215,10569661","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9163030,9280951,9280956,9280948,9493482","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"8263072,9043089,8659444,8659427,8659422","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9265749,9706108,9706094,9706095,9706097","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"8712537,8698446,8127852,7936083,7936081","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"8103233,7632064,8081102,7858524,8099595","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"9990862,9750114,9741770,9345109,9354029","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"10245930,10242478,10242561,10243575,10244206","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"9646332,9750318,9782854,9781660,9771302","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9565524,9560705,9567510,9567935,9336575","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10626077,10626064,10622624,10622628,10622630","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"7924097,8132845,8132847,7918863,8134002","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"8948433,9163516,9987311,9987597,9988351","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"7983887,8545739,8545717,8540376,8545561","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9520147,9257895,9255144,9260368,9260363","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"10207716,9557534,9734121,9386094,9969453","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"8323460,7932964,8144757,7690240,9450384","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8543117,7691402,8330391,7897887,7906024","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"7918437,8260815,8282735,8265871,8590939","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"9459282,9302634,9538553,9497742,9497746","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"10534669,10075864,9917260,10310697,10310696","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"9526972,9519844,9364332,9364868,9366722","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"8841662,8840539,9056965,8840541,8843355","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"9744824,9552275,9744826,9744825,9744823","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"9321528,9744452,9730352,9731405,9731406","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"8229227,8335406,8335408,8514609,8514610","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"8376863,8451539,8459601,8451552,8451532","None,None,None,None,None","None,None,None,None,None"
