APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8857249,9322282,8722618,9069941,9069944","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8536037,8541847,9123843,8890180,8925858","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8892229,8531822,8731270,8712452,8733120","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9085186,8580280,8580451,8853239,8878151","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9778524,8995457,9547613,9146932,9148193","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10784019,10491953,10665746,10378786,10783393","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7884497,8100298,7919183,7664619,8467802","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8776024,10000630,9081920,9048049,9129193","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9743642,9548717,10559603,8150047,7938718","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8991314,9378106,9181407,9267742,8991919","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9205081,9205191,10003928,10003929,10003930","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9857598,10114279,9741953,10155473,10454984","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9406051,9127572,9266822,9251320,9276130","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10526263,10526900,10526898,10526897,10526836","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9718539,10215388,10642789,10642790,10124290","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8081413,8838838,8838839,8903983,8840282","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8294690,7742104,7741997,8091224,8091253","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10320983,10732857,10847801,10271147,10613911","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8511751,8114182,8136058,8304914,8305556","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8107627,7857983,8107626,7918869,7918868","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8729741,8657325,8657324,8896067,9278082","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7926326,7892255,7938333,7934822,8786468","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"7583976,7941580,10178968,10410374,10304516","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,10770832,10770711,10519081","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8734406,9136088,8545842,8436395,8926397","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9099726,9298562,9271151,9275355,9691140","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8958749,8958574,9132665,9122274,9123487","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10670199,10296363,9114123,9340109","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9145280,9145281,8621141,8621140,8621139","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9053720,9531467,9146709,9972970,9921573","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8898804,9061041,8769839,8768943,8768673","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8261836,8527771,8728845,8715797,8715796","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7932712,8141235,8320216,8536794,7789192","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9927973,9753104,9597601,10413034,10165449","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"7692164,8055489,7922584,7922585,7922586","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9927973,10413034,9753104,9597601,10165449","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9229518,8895833,8820238,9433510,9420513","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10704607,10610577,10610655,10610660,10610011","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"10534936,10652615,8656447,8541680,10381475","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10217221,10457740,10459080,10226692,8546440","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9738177,10001417,9737274,9739064,9738982","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8459703,9108552,8459117,8460376,8520168","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9309081,9193112,10597886,10163701,10322700","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"9534091,9749151,9310007,9310006,9322199","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9068793,9294977,9319107,9437638,9246419","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"8609592,8077573,8077727,8077799,9107513","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9114402,8897168,8897167,8899343,8907771","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10371944,10372530,10551646,10551936,10552185","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"10376779,9930311,10330584,10569629,10597055","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10480840,10242081,10242886,10242885,10242883","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10569619,10557171,10348223,10347760,10343347","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9251144,9475169,9248859,9248864,9251146","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8073974,7640190,8470154,8277997,7792370","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"9491874,9276774,9142352,9143168,9142354","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9908055,9941050,10626807,10612118,10612117","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"9567561,9463977,9567554,9856278,9567563","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"7658504,8133489,7656093,7654260,8484495","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"9696381,9313495,9482420,9144438,9036603","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8604915,8825531,9245732,9022512,9867738","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"9263887,9038249,8843779,8705846,9437652","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"7942372,8365119,7858405,7896788,7880199","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"8381149,8126356,7938904,7938903,7938902","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"7684826,7675389,7684828,7861203,7991555","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"9105753,9323489,9757795,9563295,8990689","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10404992,9934086,9789137,9791149,9654628","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"7670344,7901503,7676699,7900589,7661516","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"8287202,7713685,8451517,8425082,7656817","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"8727814,8378875,8378873,8376370,8376368","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"8229848,8229227,8514610,8514609,8335408","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9938867,10689726,10689710,9939870,10451785","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"9533890,8951512,9747330,9324029,9114642","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"9982432,9812531,9980494,9980995,10336442","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"7996282,7848683,7665302,7657347,7661504","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"7918932,8323482,8294690,7742104,7741997","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"8702454,8856283,9102130,8867550,8867004","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9193746,9336575,9347271,9337386,9336090","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10626050,10407842,10408481,10408480,10407868","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9630160,9628229,10460520,10465255,10471285","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"7677989,7677986,7908145,7880349,7665031","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"7692251,7695547,8065747,7937794,7691929","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"10377742,10378934,10379613,10379210,8433122","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"8530163,8784175,9119535,8391950,8919722","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"10339955,10707894,8824530,9241389,8897472","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8605657,9195127,8605628,9529663,8788949","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"8111877,8712343,8712342,8712344,8690747","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"7694378,7881980,8127697,7919509,7936516","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"10678994,10486104,10678990,10678985,10492543","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"8309030,8184232,8324518,8317550,8311634","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"8732967,9059013,9067808,9056966,9056986","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"9161133,10533360,10531270,10530701,10530700","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"8727251,9513619,8729082,8728687,9057601","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"10379210,10378934,10379613,10377742,8433150","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"9455720,9440573,9980397,9024533,8799363","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"8736095,8878360,8994099,8736402,8736399","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"9041666,8318381,8660719,8651530,9042419","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"9321169,9984412,9142516,9142944,9142757","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"9563295,9757795,9323489,9105753,8990689","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"10005937,9544718,9548122,9858880,9548127","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"7759365,8518444,7938880,7938930,8139121","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"8517782,8121834,8334550,8338845,8334488","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"8624691,8822291,8465082,9015436,8509686","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"9020156,9019006,9130927,9149273,9020144","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"10680594,10250532,10213689,10684692,10092384","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"8385487,8665891,8775130,8197146,8269132","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"8052291,8548633,8322168,8528702,8145569","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"9782061,9719585,10188673,10187996,10187779","None,None,None,None,None","None,None,None,None,None"
9222148,f,w,"9265851,8757425,9261266,8910703,8930156","None,None,None,None,None","None,None,None,None,None"
9674467,m,w,"8649941,8988846,9926420,9926422,9926423","None,None,None,None,None","None,None,None,None,None"
9273611,m,w,"10526299,10677008,10374385,10570855,10570228","None,None,None,None,None","None,None,None,None,None"
10480740,m,w,"9113060,9745313,9742995,9742989,9739377","None,None,None,None,None","None,None,None,None,None"
10361543,f,h,"8441489,9071409,9070603,9132231,9132236","None,None,None,None,None","None,None,None,None,None"
10241405,m,w,"7935238,7911706,8135619,8135618,8135617","None,None,None,None,None","None,None,None,None,None"
