APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9323560,9145766,8997188,8997390,9319794","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8301579,7743509,8320713,8307332,8487420","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8756251,8752056,8754322,8926440,8916722","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9421907,9928385,9695908,9565384,9264681","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10693345,9907503,10555519,10017961,10059105","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9955328,9329493,9329495,9333444,9333443","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7637904,8079819,8504815,8311650,8155178","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8848351,9071963,8843374,8868937,8919863","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9803931,10017034,10019406,10019407,10019408","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7991865,7551991,8197867,8197870,8197878","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9548545,9390021,9562020,9562023,9548539","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10476577,10683191,10480957,10480959,10480962","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9696253,9900596,9146147,9146205,9145863","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9940997,9478869,9617183,9617184,9617185","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10612118,9941052,10124292,10124290,10612117","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8081482,8638044,8081413,8081493,8081510","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10441363,9791025,10251895,10414840,9768320","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9264682,9264661,9264681,9264670,9784752","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7906756,7714327,7707528,7707850,7707582","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9142551,9138522,9141056,9141785,9143006","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9211357,8607976,8551682,8813609,9010966","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8551820,8545670,8850369,8906943,8893098","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10708931,10704617,10705775,10705782,10705788","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,8899919,8680213,8547574","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10476576,10289786,10290674,10290456,10290454","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10134213,9927971,10579869,10579867,10579866","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9154487,9334045,9320966,9344529,9153169","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10456260,9987628,10252036,10252035,10206116","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10288585,10459584,10684010,10684021,10459581","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9468430,9515968,9851000,9982445,10093134","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10532212,10306992,10307482,10307481,10307474","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8715797,8527771,8728845,8911299,8911300","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8359710,7960543,7960573,7960551,7960550","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10518677,10689127,10516667,10516846,10517212","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"9854274,9854277,10066310,10543848,10075982","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8723735,8554286,8719905,8552312,8554953","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8508868,8897982,9088303,9089824,9296226","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10320714,10689241,10320527,10319313,10696152","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9525284,9564864,9762886,9743693,9393866","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"8541616,8541622,8382088,8382091,8381471","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"8758050,8464456,8459290,8791171,8464497","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9274534,9344536,9336162,9137626,9546415","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9309081,9193112,8368677,8659985,8599334","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8142229,8121494,8121501,8121500,8121499","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8036022,7671889,7671886,7671884,7671883","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"10215263,9571058,9570705,9571036,9572429","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9478405,9476678,9479644,9477813,9476552","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10740364,10707213,10631646,10630593,9431063","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9482420,9696381,9313495,9035943,9044149","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8150047,8330246,8144938,8144939,7616961","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10586094,10569619,10557171,10348223,10347760","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9088201,9706079,8849116,9055268,8849109","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"9278828,9674237,9430398,9453669,9475207","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"10448536,10685290,10722847,10369394,10557164","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"10136445,10183172,9720189,9720190,9720733","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"7960484,7960540,7960551,7960550,7960548","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"7901753,8518223,8510559,8505363,8391271","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8520392,7680797,8322733,8300202,8463613","None,None,None,None,None","None,None,None,None,None"
