APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"10335171,9843530,9657194,10083763,10207226","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8925858,8531341,9123843,8890180,8536036","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9307857,9960555,9097289,10450248,9730475","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"7674704,7685277,7668382,7678962,7683013","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10296007,10264080,10458081,10296257,10483133","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9860426,9942319,9828246,10132315,9976825","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8135623,8135624,8135621,8135620,8135619","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9668025,9435084,9435087,9454231,9668029","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9178002,9178337,9351174,9351172,9725977","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10641509,10248371,9734094,9372637,9377237","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8849787,8849693,8605381,9065464,9291406","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9857598,10114279,9741953,8215186,8215133","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8073856,8074269,8780399,8717236,8306593","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"7631377,7878744,7812141,8231792,7882867","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8695291,8479319,8532644,8380612,8380605","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8903983,8081515,8081289,8081465,8081510","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"9491864,9306895,9330894,9307934,9529679","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10441514,10263239,10045725,7683013,7678962","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8921196,9530854,9733443,9333357,9529788","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"10168134,10583460,10583463,10583468,10583470","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10744578,10744678,10743669,8929385,8664432","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"10186749,10144440,10597055,10569629,9930703","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9703434,9703435,7649476,7847547,7614367","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,10705098,10706501,10706497","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10016264,9547385,9562076,9564871,9868106","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9960555,9517894,9097289,9307857,9730475","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10413034,9927973,10165449,9753104,9597601","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9995019,9774045,9774041,10004030,9776511","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8128555,7932344,7917473,7917472,7917471","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8113934,8516568,8516569,8485648,8470221","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9914831,10151613,9735301,10392985,9527943","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8435054,9189072,9188204,9535290,9562053","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"9689710,10227063,10456284,10462502,10471187","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8261827,8728671,8527853,8521390,8338911","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"8332323,8134453,8268550,8298651,8269924","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9597601,9753104,10165449,9927973,10413034","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9117861,9462040,9116592,9117672,9274154","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"8826908,8935952,8827925,8828404,9107924","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"7904379,7737500,8317625,8306916,8311679","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"8149926,8014602,8707400,8699693,8307505","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9914200,10145316,9737274,9737247,9737038","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9336710,9137622,9748854,9546414,9546410","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"10630618,10701083,8079784,7916508,7650362","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8382376,8382374,8856283,8702454,8118225","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"10363481,10363478,10541228,10540815,10540802","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"7834884,8069361,7806251,7938966,7938944","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8542778,8542789,8507361,8509958,8509909","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10274206,10269806,10684249,10630334,10463711","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"10558509,10560333,9455450,10598566,9948263","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10855076,10573677,10571074,10573727,10701030","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10557171,10343347,10569619,10348223,10347760","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9562023,9390014,10003928,10003929,10003930","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"10829018,10827737,10827292,7588443,7849076","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8118856,7663159,7882577,10449395,9978112","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8894410,8479320,8479319,8475561,8532644","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"9751992,10405484,10445002,9919008,9922141","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"9011086,8620607,8511042,8510985,8511238","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"10669218,10487583,10019547,10020411,10021662","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8825531,9245732,9022512,8604915,10650337","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"7988553,8075656,8248824,8513900,8489257","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8365223,8092807,8365090,8365091,8365092","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"9811165,9812865,9813191,9813589,9813714","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"7673567,7877864,7624174,7686727,7687923","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"7620440,7810562,8529834,8291165,8282632","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"9057934,8709733,8712256,8712022,9022388","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"8725044,8511008,8510985,8511238,8511124","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"10447770,10092863,10256746,10643965,9844775","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9332271,9325331,9325314,9320921,9320543","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"8432962,8433149,8433134,8433150,8433122","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"10515569,10673857,10698166,10509428,10515457","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"8951512,9533890,9747330,9324029,9114642","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"7777011,7777466,8698872,8402948,8368814","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"9191208,9537708,9494704,9505998,9506825","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"7667944,7688086,7659589,7663873,7648074","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"9747840,9966931,9590338,9391482,9532809","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9337385,9560704,9337096,9368956,9337097","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10626064,10626077,10407759,10407758,10407757","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"7676017,7686168,7906058,7906765,7907542","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"7677989,7908145,7880349,7665031,7662466","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8379786,8710067,8722468,8710063,8734339","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9440248,9439849,9646356,9626424,10304211","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"8743231,9136225,8576339,8908033,9139742","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"10216549,10217542,10216693,10217304,10216469","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8523444,8118229,7930014,7933501,8330383","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"8009669,8690747,8134128,8111877,8130719","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"7919509,8127697,7881980,7694378,10475285","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"10075864,9917266,10534684,10534683,10534679","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"10273747,10697357,10480007,10489744,10489769","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"8678837,9081476,8495265,8505374,8492031","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"8601748,8782643,8459827,8459770,8601749","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"10245275,10728439,10064192,8874104,8882257","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"10079898,10359139,10341323,10363049,10079772","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"10176494,9814467,9814465,10200816,9814468","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"8768731,8768636,8766909,8882257,8885651","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"8463610,8816127,8456893,8625332,8617296","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"8382376,8382374,8693975,8711423,8550801","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"8433794,8646447,8554916,8554919,8551400","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"8787121,8262225,8383453,8386561,8511129","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"9648134,9329857,9440415,9449418,9449428","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"7862518,8529834,8291165,8282632,7940147","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"10556972,10556510,10556508,10556507,10556254","None,None,None,None,None","None,None,None,None,None"
