APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9103741,9172674,8962105,8959886,8961416","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"7664378,7672283,7664365,7867439,8307782","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9024795,9229026,9207000,9617252,9552386","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9357402,9355147,9204120,9199272,9207569","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10488757,10645854,10361741,10363505,10746147","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9188418,9321248,9924655,9926927,9931275","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7638021,8264290,7940064,7935029,7586521","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9252387,9637288,9407285,9174603,9279075","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10682536,10478136,10472608,10473833,10473834","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7992457,7551996,7555392,7551992,8197869","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9782697,9781467,9781464,9205190,10250342","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8636429,8469476,9049477,8469493,8469482","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9146142,9665272,9675124,9675125,9675126","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9617178,9277329,9617184,9617183,9617182","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8479321,8479319,8479320,8532645,8532646","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7608737,7621056,7798062,7806452,7798157","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8551820,8703138,9123679,9119154,9117594","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10722664,10721489,10901047,9264681,9264661","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"9971432,9701015,9485315,9518530,9491692","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9381935,10250499,10242123,10242813,10242868","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8329146,8486383,8644944,8644947,8330544","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9552232,9981826,9986777,9985969,9985939","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10692845,10505679,10694941,10694936,10694929","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,10018841,9856802,8539592","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10290852,10661790,10480947,10480949,10480955","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9767010,9767652,9767650,9767649,9966863","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9122272,9118828,9122274,9123487,9122269","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9560787,9772794,9385118,9385114,9386543","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8735212,9067248,8736363,8736366,8736371","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8339413,8334416,8210246,8210341,8209937","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9060558,9518900,9341298,9331639,9331637","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9535290,9562053,9769005,9768431,9321236","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8360173,8359657,8359582,8129510,8360546","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9812715,10584472,10356909,10361518,10400919","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10375377,10533805,10334476,10312015,9852174","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9657194,10083763,9843530,10335171,8339951","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8868916,9525279,9306760,9320749,9320748","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10101989,10523350,10502363,10503064,10505229","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"10076786,10064126,10531132,10523539,9893507","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"7915188,7903427,8119428,8119429,8132417","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10057082,10684900,10684865,10552842,10551944","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8730489,8730479,8461470,8459795,8461029","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"7845679,7828105,7842566,7842565,7644037","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"9485284,9691126,9691121,10150750,10150749","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8378741,8119511,7696438,7696435,7663546","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9570705,9484512,9482284,9484496,9485172","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9308687,9531889,9552617,9527636,9527643","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10686348,10263229,10086915,10479994,10472643","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9035943,9036603,9144438,9554954,9698354","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10020811,9802530,10478155,10478156,10478158","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10347760,10569619,10586094,10343347,10557171","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9054069,9514739,9514726,9514736,9514752","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"10701905,10132101,10130233,10595421,10739859","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8294535,8111203,8534320,8304319,8298229","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9323317,9523138,9281681,9313204,9323318","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8360725,8463005,8322154,8299591,8306748","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"10619631,10434979,10435287,10444448,10598580","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8709275,8045719,8509015,8509017,8509016","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"10214697,10456832,9763657,9763658,9763659","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"7737691,7936261,7927151,7930512,7940837","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8365072,7961531,7961511,7961512,7961513","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"8675962,8377174,8675964,8473899,8473895","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"8382516,8121491,8121499,8121498,8121496","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"10600094,9983262,10370410,10138992,10696263","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10581539,10583467,10390333,10390425,10392421","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"7661516,7676699,7805577,7918923,7900589","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"10098063,10136115,10559553,10576384,10577777","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"8130845,8130851,8130835,8130848,8130826","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"9735922,9260366,9257895,9257610,9256998","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9548544,10250342,10402548,10402550,9390014","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"7768179,8698446,7768331,8502314,8501646","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"8876120,8875343,8876086,7648226,8078093","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"10708819,10485672,10707371,10704741,10695095","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"10141251,9690134,9690772,9690762,9690761","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"9921121,10076809,10650136,10322715,10228875","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9347271,9193833,9567935,9567510,9567936","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10476567,10289787,10289785,10289784,10285670","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9568050,9723226,9433161,9432736,9432851","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"8307817,8109216,7842432,7839761,7841512","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8379356,7983111,7982610,7982613,7982614","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9904675,9707162,9520118,9257604,9257881","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"9119535,8914169,8391950,8919722,8784175","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"9113610,8776577,9312799,9534597,8926984","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"7897769,7691839,7906024,7691402,7692188","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"8119804,8039980,7895699,7906698,7779416","None,None,None,None,None","None,None,None,None,None"
