APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9843530,10083763,9657194,10335171,9103741","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8247968,8536037,9338933,8541847,8531341","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10350448,10350001,10573170,10570917,10004300","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9565384,9695908,9928385,9421907,9724320","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9109753,8693334,8535244,8336912,8334506","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10536567,10537743,10759550,10759735,10760002","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7884497,8100298,7919183,7664619,8690240","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9544151,9965878,9743795,10241239,9411341","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10696751,10696373,10695612,9781791,9781789","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10355532,10578704,10210397,10171852,10598566","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9065464,8847623,9291406,8605381,10003929","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10062757,10643941,10434857,10435518,10453756","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9115018,9114846,8498701,8500777,8499492","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10055946,10056008,10583477,10583476,10549799","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8380609,8479319,8381418,8381420,8380605","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8081510,8251929,8257068,8251932,8251938","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8752109,8901267,7938406,7826643,8210135","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10171750,10199917,10403934,9789077,9906152","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10449317,10208683,10656300,10008512,7860303","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8599512,8145524,7644815,7646647,7646064","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9127926,9734012,8991395,8991043,9478668","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"10256617,10194496,9930352,9930759,9930827","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10472053,10695955,10695963,10247724,10472052","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8352005,9123576,8930080,8911793,8883420","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9562042,9185504,9562052,9542777,9547386","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8055215,8067537,8055202,8055615,10687105","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10410360,10645011,10145749,9965073,8339352","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9995019,9774045,10003224,10004030,9774041","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8736366,9320707,8736363,8736371,8735212","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9769902,9609872,9613003,9612683,10404042","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10307279,10532212,10307483,10307482,10307481","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9562053,9987622,10015256,9189072,9188204","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8289977,8598768,8921689,8975867,9689710","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10165449,9597601,9753104,9927973,10413034","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"8868564,9221368,8954197,8889343,9021688","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8962105,9103741,9174325,9172674,9121688","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8843779,9263887,9038249,8705846,8890101","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10479040,10479093,10479136,10689241,10694859","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"10750083,10750627,10750700,10756808,8706563","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10260437,10379352,10379350,10379349,10379348","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10666871,10666025,10667123,10665204,8758050","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8461393,8462037,8539729,8536638,8539728","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9193112,9309081,8876120,8875343,8876086","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8380704,8534170,8534169,8534177,8534148","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"10206685,10821572,10359831,8301620,8069599","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"8774927,9188028,9188824,9271818,9174040","None,None,None,None,None","None,None,None,None,None"
