APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"7753567,8322627,8102984,8120246,8316181","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8336923,8531341,8732625,8721480,8793915","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10588560,10532594,10479044,10685294,10693955","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9928385,9421907,9695908,9565384,7645172","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10518967,10519808,10706514,10708816,9979867","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10491953,10665746,10378786,10156594,10483174","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8381396,8136686,8136684,8136682,8326210","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"10637036,9320782,9087275,8787871,8916813","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10214185,10213385,10626911,10453615,10380040","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7847078,7742612,7555392,7558266,7551996","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9562023,9781467,9390014,9390021,9205191","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9857598,10114279,9741953,8046269,8043877","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9506106,9966061,9254607,9604712,9615840","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9940998,9198860,9941000,8977734,8977966","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9720190,9920683,10612118,10612117,10612116","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9077034,9244048,9240652,9234569,9240651","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8849060,8335509,8355743,8355114,8642878","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"8292223,8676643,8706767,7992670,7992673","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8516980,8725573,7989182,7989006,7989090","None,None,None,None,None","None,None,None,None,None"
