APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9405804,9406614,9984892,9979941,10455084","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9786807,10152373,10178062,10405099,10418618","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"7922355,8058788,8066756,7797454,7797453","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10488592,10676777,10667517,10667514,10544989","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9102381,8333056,8537710,8537711,8326068","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10709636,10592780,8496729,8496736,8496734","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8690240,7664619,7919183,8100298,7884497","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9965878,10241239,9411341,9743795,9544151","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10698151,10518290,10294846,10700064,10108166","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9246531,9676314,9044774,9044776,9044778","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10621281,10369212,10505269,10505271,10053692","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9282431,9272874,9267974,9274292,9267971","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8820080,8564760,8564059,8566254,8564872","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10711001,10712618,10711018,10711811,10712556","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10704388,10704387,10704389,10704390,10704367","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7638663,7798062,7794928,7798552,7798554","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"9770050,10380050,10380052,10414788,10414790","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10400905,10369731,10216086,10215763,10214949","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10583458,10583498,10583505,10583508,10699952","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"10357967,10703357,10583463,10583468,10583470","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8733202,8604913,10304132,10076786,10064126","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9098205,9277472,9567637,9697816,9481714","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9625339,9785838,9753164,9983640,9347018","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10085116,10083992,10085516,10085913,10612714","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10436133,10604394,9784799,9354436,9354477","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9736616,10003939,9380810,9380902,9380897","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8321997,8509566,8702064,8718964,8166312","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10296363,10670199,9590381,9774045","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8063540,7759467,7937006,7938708,7759483","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9320071,10098064,9320128,9547030,9320174","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10700037,10458758,10699964,10474493,10474473","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9831543,10205060,10655524,9966987,10450885","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"9213365,9283520,9265075,9244790,9233089","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8257480,8255223,8339892,8339365,8538264","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"9623982,9935976,9747383,10744678,10743669","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"10426961,10618316,8604915,9022512,9245732","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8874104,8885651,8768636,8766909,8882257","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9340202,9205998,9547441,10421288,9787584","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8885651,8882257,8766909,8768636,8768731","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10433822,10577873,10083992,10085116,10368045","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10037968,10031380,10037854,10037760,10256809","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9546410,9336163,9336710,9336711,9336164","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8876120,8875343,8876086,9002863,8281927","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8787481,8416328,8525502,8237596,8237072","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9823598,9986687,9824342,9824335,9823754","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"7635897,7645523,8289754,7647301,7633371","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9478513,9476618,9478480,9476389,9476640","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"8379870,8068508,8068512,8068513,8068518","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9063986,8279705,8554441,8464721,8554438","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8379002,8330246,8150047,7938718,8144938","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"8477358,8658196,8412142,8472812,8412134","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9105617,9267086,9267083,9267082,9267084","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"7688116,7687907,7847368,7686943,7687908","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8892292,9507884,9513573,9970587,9305100","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"10271683,10617650,10381612,8322733,7796875","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8051051,8051045,7617842,7620407,7619517","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"8797303,8796823,8798574,8807923,8802858","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"10021661,9882084,10262927,10256654,10251237","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"9130171,9564665,9129193,9048049,9081920","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8882257,8768731,8768636,8766909,8885651","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8541701,8145328,8322702,8325968,8326603","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"10657882,10662975,10449317,10208683,10656300","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"10368712,10200307,9339712,9532906,9166727","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"9892558,10304132,10076786,10064126,10531132","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"9414391,9558600,9413012,9558641,10173611","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"9145039,9959307,9146035,9275351,9312738","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"10349317,10634729,10660220,10101989,10104263","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"8965636,9119004,9118207,9120369,9119003","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"8335406,8335408,8514609,8514610,8229227","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9429358,9430880,9568823,9569726,10094836","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"9324029,9114642,9747330,9533890,8951512","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"10592590,10166934,9513056,9940875,9929041","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"8554393,8554931,8472329,8473040,8800580","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"9173319,9174711,9174424,9172967,9174877","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"10688715,10688981,8665279,9966934,9814544","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9829629,10323696,9972876,9999293,9031383","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"9564869,9784798,9763624,9763625,9766247","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9390168,9390391,9192834,9723234,9724563","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"10579071,10588960,10588794,10579074,10579072","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8336846,8189006,8332244,10065148,10592371","None,None,None,None,None","None,None,None,None,None"
