APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9172674,8962105,9174325,9103741,9121688","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"7675389,7685279,7991555,7861203,7684826","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9022512,8604915,8825531,9245732,9719585","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9421907,9565384,9695908,9928385,9276547","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"7896801,7681576,7907898,7907809,7907807","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10595896,10595133,10536567,10537743,10759550","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10229448,9626046,10477986,10005189,10007768","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9896763,9246424,9252096,9361622,9658412","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"7936099,7660318,7666045,7681302,7885092","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8913586,9669041,8913347,9044776,9044778","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8758050,9915838,10390460,9672786,9788258","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9831921,9832007,10465020,10018031,10017180","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9257685,9188572,9617156,9431063,9001115","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"8536992,7849341,7677333,7666251,7939058","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9524992,9526088,9658441,10197344,10488591","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9078413,9251863,9240651,9234569,9240652","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"9095374,8904688,8748503,8754755,8755421","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10580155,10581160,10685659,10249327,9987210","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10080387,10082372,10239237,10239244,10452292","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8650784,8849343,8269155,8268951,8849344","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8534366,8471785,8469583,8209569,8209694","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9781797,10213223,9593281,9968476,9968483","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10646670,9868844,9378133,9548633,9452910","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10770832,10770711,8876643,8722121,10479177","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"7677825,7676034,7678500,8054108,7676082","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8422981,8129711,8212117,8232157,8233491","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9960399,9960400,9978678,9978672,9978665","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"8233772,8233840,8335387,8335390,8233901","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8477319,8032690,8032688,8032683,8032667","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"10221776,10410498,10424549,10025551,10033596","None,None,None,None,None","None,None,None,None,None"
