APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"10335171,9843530,10083763,9657194,9998015","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9338933,8536037,8890180,9123843,8721480","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8413786,8391430,8311964,8311941,8312849","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9565384,9695908,9421907,9928385,9895594","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9459535,9459450,10518967,10708816,10706514","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10537743,10536567,10709636,10592780,10760002","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7884497,8100298,7919183,7664619,8690240","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"10598379,10598939,10598374,10598376,10598770","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"7657333,7849039,7862568,7897916,7849041","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10015284,10430120,10015282,10646273,10646279","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10415065,10204491,10624969,8014487,8014491","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9741953,10114279,9857598,7798339,7798326","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8657478,8936178,8500716,8500579,8500760","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"7555189,8374929,8081705,7555191,8374921","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8681149,8186756,8532646,8532647,8475566","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8638050,8898857,8251931,8251935,8448209","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8663854,8470607,8142158,8139012,8147842","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9778776,9356354,9746780,9775215,9783744","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8298230,7741453,8487419,8511751,8494063","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9195132,8988580,8603715,8605291,8605301","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8644947,8456143,8330544,8720831,8848144","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8758248,8749196,9783372,9783397,9188443","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10691927,10474550,10691915,10691912,10691908","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10005595,10186722,10004385,10465033,10458506","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8535734,8144289,8326165,8325919,8326110","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8007413,7686900,8214696,7674585,7530830","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8532795,8529444,8518215,8370230,8367812","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10296363,10670199,10451808,10731013,10731254","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"7989616,8381352,8543513,8473898,8473891","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"10557178,10151850,10336530,9150311,9321023","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9222148,9432540,8525399,8390349,8391285","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9562053,9769005,9535290,9321236,9321184","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"9459450,9459535,10746147,10062757,10226352","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10840200,10655614,10275726,10273747,10697357","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"7880871,7845561,7885322,7656591,7668578","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9320966,9334045,9154487,9152898,9153169","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9462040,9459829,9683777,9674383,9266296","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10673590,10168669,10468871,9944689,9979986","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9266296,9462040,9683777,9674383,9274154","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10217221,10459080,10457740,10226692,9464378","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9674261,9784662,9928383,9734842,9738727","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9137623,9748859,9336710,9336711,9137622","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8660774,8660805,9959375,8660389,8660407","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"10119123,10118771,10261386,10256724,10687330","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8810650,9223658,9257270,9242600,9317412","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"10150479,9733765,9697195,9697196,9697197","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8528516,9114393,8528512,8528515,8525115","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"9265711,8890215,9477371,9054673,8776074","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"10208884,10164781,10359121,10359841,10378135","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10364965,10364966,10356729,10356730,10356731","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10347760,10343347,10348223,10557171,10569619","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"10415065,10624969,10204491,8014439,8441092","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8828160,8845185,8828159,8792844,8719655","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8656791,9061777,8532979,8464242,8532972","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8475561,8380605,8475563,8475566,8532647","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8757958,9131804,8755681,8912518,8912516","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"8304429,9114017,8711204,8708485,8719003","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8971761,9540701,9987199,9750688,9342869","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"9022512,8604915,9245732,8825531,10256798","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"9038249,9263887,8843779,8705846,7761157","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"7625205,8365065,8365169,8365170,8365171","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"10459581,10459584,10684010,10684021,10288582","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"7921151,7683100,7880319,7681689,7658832","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"8929385,8849505,8472537,8320113,8664432","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10434552,10636910,10619006,10434599,10434464","None,None,None,None,None","None,None,None,None,None"
