APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"7756236,7756325,7900938,7903201,8102973","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8732790,8536037,8531341,8732625,8721480","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10488766,10488764,9766774,9766776,9774335","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9264661,9264681,9264670,9264682,8720662","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10264080,10264076,10483133,10458081,10421477","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10537743,10536567,10595133,10595896,10471577","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8637449,7587878,8066804,7826611,7692671","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8787871,9087275,9320782,8916813,8070092","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9989540,10248355,10023206,10019473,10019516","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9257396,8482279,9257398,9257400,9253400","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10003929,10402550,9390021,9205191,9782699","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9857598,10114279,9741953,8378801,7925268","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9114846,9115018,8310568,8895786,8895787","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"8381388,8069347,7826882,8069345,8069346","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8187074,8306120,8479319,8532644,8380612","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8251932,8251933,8903981,8838833,8281686","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7892255,7938333,7926326,7934822,7853512","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"7640454,7643067,8013807,8049195,7640196","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7989838,8114133,7658237,7626749,7624252","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"7691326,7689759,7921125,7913492,7932824","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9010966,8813609,9211357,8431983,8551682","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8331617,8876689,8689016,8499174,8153835","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"8669436,9249204,9232901,8669419,8668589","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8856183,8850409,8686993,8685482,8685444","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9562054,9186640,9186886,9186195,9186361","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10238907,10207350,10238908,10238910,10238911","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8519205,8528447,8534015,8521043,8517546","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9590381,9995019,9590189,9590264,9776511","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10712153,10712152,10712151,10712150,10712149","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9287024,9851000,9515968,9468430,9692798","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10307429,10306992,10307482,10307398,10307397","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"10586201,10583245,10588838,10588840,10588841","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8433122,8432962,8433134,8433150,8433149","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10663385,10275726,10480007,10489744,10489769","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"8050443,8050352,7918936,7676166,7623192","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"10725252,10726880,10722669,10723352,10723510","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8881094,8681356,8409958,8410185,8516458","None,None,None,None,None","None,None,None,None,None"
