APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9962486,10321397,10107125,10106662,10106342","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8531341,9123843,8541847,8732625,8721480","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9242790,9280944,9281749,9318340,9281744","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9421907,9928385,9565384,9695908,10430544","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9774044,9939013,9978061,10469691,9989832","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10592780,10709636,8754186,9101967,9293252","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8122622,8294476,8128554,7692693,7692671","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"10241239,9965878,9544151,9743795,9411341","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"7658184,7657333,7849039,7862568,7897916","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10582554,10171852,9948263,10381734,10355532","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8051776,7817070,8051715,8051716,8051717","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9961761,10633119,10633110,10618220,10618215","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8876120,8875343,8876086,7628360,7911472","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10646281,10646271,10055952,10055950,10055949","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10193445,10310529,10193969,10192247,10191573","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9903408,9078445,9234570,9244044,9229560","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10533648,9397506,9623311,9607558,9607557","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10125837,10574601,10383653,10468080,9838705","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7919077,7846463,8114182,7739524,8688286","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"7886632,7934089,7915850,7936481,7918558","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9211357,8431983,9010966,8607976,8551682","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7666812,7672502,7678038,7673749,7900269","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"8685205,8495704,9063479,9060905,8675808","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,9888974,9684606,9660552","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9783800,9564876,9547391,9868107,9547412","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9753672,9753662,9753619,9752938,9929586","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9069722,9555037,8768977,8769774,8769634","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10670199,10296363,10730758,10731254","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10288585,10684021,10288582,10459581,10459584","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"7692271,7555583,7862326,8442735,8442525","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8702176,9070567,9070574,9070679,9069859","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9769005,9535290,9987622,10015256,9189072","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7798339,7798326,7797933,10064481,10434857","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10413034,9927973,10165449,9753104,9597601","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"9822752,9598167,9821966,9821365,10056153","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8962105,9172674,9103741,9121688,8961416","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9038249,8705846,8843779,9263887,9011505","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"7931241,7643794,7682983,9116945,8797263","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"7737691,8317625,7914339,7927151,7929510","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"7931490,7931618,7931155,7931147,8707400","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10666025,10666871,10667123,10665204,9738384","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9748859,9748854,9748857,9748858,9546415","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9193112,9309081,9144438,9036603,10375078","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8149989,8149991,8020738,8021062,8928619","None,None,None,None,None","None,None,None,None,None"
