APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9674261,9784662,8689156,8550129,8876775","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8723285,9061803,9061804,9066226,8723291","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9205914,9353269,9707686,9519819,9967926","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9421907,9695908,9565384,9928385,10510294","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9674261,9784662,9741953,10114279,9857598","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10598873,10599385,10599396,10596875,10597790","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10359051,10112825,10088403,10088401,10574613","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"10326825,10078590,10673469,9844060,9872117","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"8856231,8875678,8875676,8709742,8709709","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10641509,8994397,9702658,9702822,9702821","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9705957,9770847,10461825,10356642,10454243","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9349629,9353278,9248089,9550778,9551754","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"10419022,10492007,9546463,9346002,9156542","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9990702,9670449,9994219,9994836,10018668","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9156542,9346002,9691088,9546463,9926797","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8878311,8371836,8703731,9096672,8503616","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"9052201,8792751,9116910,9320330,9071599","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10137988,10007190,10200875,10148796,10051557","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"9421907,9928385,9565384,9695908,9264681","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8821571,8715947,8449564,8666913,9034537","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10087002,9912346,10360448,9990853,10159980","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8636843,8636552,8636647,8636661,8635404","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9537709,9293384,9318599,9308002,9313947","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10022097,10019329,10617940,10684552,10017652","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8337274,8544021,8786575,8786578,8481564","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9404231,9965016,9477753,9475256,9452743","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10599976,10447898,8739904,10629324,10426470","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9145766,9144844,9323560,9565173,9319794","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9293407,8536398,9293398,9293375,8339418","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9487321,9319995,10098064,9961457,9905327","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8636552,8636843,8635404,8636661,8636647","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9768431,9987622,9535290,9562053,9769005","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"9564694,9736785,9454132,10178077,9955301","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8531723,8735667,8728040,8255223,8257480","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10605763,10606115,10708152,10749018,9892887","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9918029,10709865,10021041,10475828,10475830","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9248352,9237258,9624757,9627971,9648028","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9205998,9340202,9547441,9287024,10152382","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9213339,8794412,8617223,9000120,8509163","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10569668,10548819,10358379,10358069,10730758","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10645964,10645467,10645719,10645746,9916559","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9930709,9932631,9929063,9929365,9930378","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8004280,8081313,8130131,8081356,7916508","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8236219,9064911,9270754,8416328,8416344","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8354615,8892565,8839870,8875583,8867128","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9066527,8774029,8772925,8773743,8773551","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9539149,9561895,9759658,9478480,9476389","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"9001756,9932272,9512632,9001462,9001630","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"10377742,10379613,10378934,10379210,10529887","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"9975609,9975573,9526215,9524950,9554218","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"9024417,9024434,9040872,9001895,9040874","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9022388,8851500,8709733,8711845,8712256","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"9583993,9390663,9389941,9546722,9393157","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"9565384,9695908,9421907,9928385,9768539","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9785838,9527049,9982474,9753164,9316562","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"9529618,9376394,10455604,9678234,9789925","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"8828065,9036318,8460462,8449564,8666913","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"9747840,9966931,9590338,9973063,9814544","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"10256798,10254418,10636807,10221177,10213963","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"9213339,8794412,9000120,8617223,8509163","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8257293,7961510,8071638,8065523,8088117","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"9011926,9011718,10171751,10173611,9788245","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"9264682,9264661,9264681,9264670,9277052","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"9283606,8848098,8901254,9492681,9513619","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"9555305,9925791,10405083,9988327,10171751","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"9655157,8811406,9532727,9644442,9444345","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"9278828,9278724,9475207,9674422,9277914","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"10331384,10086194,10331457,10087300,10246768","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"9256474,8927936,8650448,8650445,8927931","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9654946,9787107,9936112,8712256,9433593","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"9784662,9674261,10171751,9988327,9925791","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"10678256,10684535,9705211,10356795,9702434","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"9784662,9674261,9001587,9512632,9699998","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"9565384,9695908,9421907,9928385,8636552","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"9131455,8670377,8668569,8904327,9143363","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9567510,9355575,9355571,9194192,9194191","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"8966084,9116742,9250041,9293939,9138966","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9785714,9921513,9890032,10706493,10706495","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"8876775,8411660,8550129,8689156,8453239","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"9576667,9936066,10208941,10435711,9767857","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"8433122,8433150,8433134,8433149,8432962","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"10579969,9879439,10548228,10540404,9879567","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"8635404,8636661,8636647,8636552,8636843","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"10450686,10180829,10450087,9654628,9928881","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"10051557,10148796,10050801,10200875,10007190","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"8267131,8266870,8468969,8534028,8653558","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"8666443,8667620,8866339,8879092,9474479","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"10274937,10480007,10489744,10489769,10493321","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"9695908,9421907,9928385,9565384,10217304","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"8443710,8539592,8537894,8446031,8636552","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"10326825,10078590,9667824,9667823,10092091","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"9068923,9745607,9063076,9058544,9056630","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"8312590,8519429,8666103,8680949,8520030","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"9393866,9525284,9564864,9762886,9743693","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"8829321,8466372,8843054,8651533,8660719","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"10144440,10597055,10569629,9930703,9930311","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"9931248,8644944,8329146,8486383,9553847","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"10647838,10458161,10458399,10458400,10458402","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"9674261,9784662,8758050,8996081,9291402","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"9087275,9320782,8916813,8787871,8991395","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"10630618,10701083,9926797,9546463,9156542","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"9702001,9577443,9577979,9749167,8857464","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"8990345,8991370,9127926,9120400,9119619","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"9266776,9135690,9260968,9213339,8794412","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"8867128,8841447,9066565,8875583,9108233","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"8634875,7674794,10519810,10294846,10700064","None,None,None,None,None","None,None,None,None,None"
9222148,f,w,"10426961,10618316,10835395,10835681,10835247","None,None,None,None,None","None,None,None,None,None"
9674467,m,w,"10145678,9553764,9532181,9520145,9553747","None,None,None,None,None","None,None,None,None,None"
9273611,m,w,"9353269,9707686,9205914,9519819,9967926","None,None,None,None,None","None,None,None,None,None"
10480740,m,w,"9113412,9733025,8991817,8990653,8991546","None,None,None,None,None","None,None,None,None,None"
10361543,f,h,"9454567,10404359,10403253,10695879,10695878","None,None,None,None,None","None,None,None,None,None"
10241405,m,w,"10173765,9882671,10670059,10669218,10241423","None,None,None,None,None","None,None,None,None,None"
8300031,f,w,"10645746,10645964,10645467,10645719,10219354","None,None,None,None,None","None,None,None,None,None"
9339325,f,h,"9344541,9307178,10213065,10091112,9274534","None,None,None,None,None","None,None,None,None,None"
8814164,m,w,"9065482,9108233,8839531,8892565,8839523","None,None,None,None,None","None,None,None,None,None"
7924122,f,w,"9012753,9233915,9233914,9317408,9242593","None,None,None,None,None","None,None,None,None,None"
9672444,f,h,"10406359,9377378,9754149,9752562,9734094","None,None,None,None,None","None,None,None,None,None"
8672569,m,w,"8231093,8325516,8325515,8325528,8235304","None,None,None,None,None","None,None,None,None,None"
9688831,f,w,"10382408,10662102,9974269,10610343,10142367","None,None,None,None,None","None,None,None,None,None"
10374944,m,w,"10518318,10693360,8537894,8446031,8539592","None,None,None,None,None","None,None,None,None,None"
10208856,m,h,"8537894,8539592,8443710,8446031,8390219","None,None,None,None,None","None,None,None,None,None"
10197904,m,a,"9086004,9150320,9321208,9744849,9771778","None,None,None,None,None","None,None,None,None,None"
8520046,m,w,"9452944,9648120,9319420,9922256,8368677","None,None,None,None,None","None,None,None,None,None"
9332366,f,w,"7670071,8437259,7907149,7921807,7908303","None,None,None,None,None","None,None,None,None,None"
