APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9657194,10083763,9843530,10335171,8959886","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8732790,8721480,8247968,8732625,8536037","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"7677986,7668684,7662466,7677989,7665031","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9145624,9001684,9143829,9001539,9506629","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9627114,9636928,9775448,9774044,10242772","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9474684,9321248,9475566,9475565,9477788","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10916639,10517808,10704708,10676882,10676875","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9361623,9098150,9900736,9900737,9900738","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9325601,9114659,9127283,9114670,9146694","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9459899,9044774,8912671,9457435,9460502","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10037854,10037760,10031380,10037968,7817072","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10114279,9741953,9857598,8473855,8458590","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"10823828,9001115,8933610,8933600,9110030","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"8693889,9127888,8544963,8428627,8428142","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9658441,9524992,9526088,10197344,9087507","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8447534,8451571,8442909,8448196,8443823","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7742703,7742333,7942950,7942955,8141867","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10101619,9654409,9654886,10086379,9655000","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"9277052,9346576,9119326,9994218,10001107","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"7846585,7915850,7849855,8309524,7918756","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8534366,8209694,8309932,8471785,8469583","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8749196,8758248,7647336,8889398,7885526","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9476215,9217469,10220891,10019478,9933546","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,9031743,8829800,8839220","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10708941,10581922,10583215,10583291,10583296","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8233491,7643067,7787067,7898717,7770832","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9925783,9580260,9737783,10163762,10449365","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10296363,10670199,10451808,9593872,9987330","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10288582,10459584,10288585,10684021,10684010","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9707692,9565687,9471784,9559620,9491912","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8898627,8898456,9066148,8759484,8854085","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9188204,9562053,9987622,10015256,9535290","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7678500,7677825,7676034,7674783,7676082","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9132665,8958749,8956917,8959541,8959582","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10091568,10092384,10475677,10250532,10213689","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9525771,9730306,8960195,8959758,8960246","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9263887,9038249,8705846,8843779,9081623","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10443383,7931241,7643794,7682983,10457238","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"10601073,10450651,9891592,9891591,9891590","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"9358335,9194247,10699969,10308251,10308249","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9462729,9462721,9462749,9462741,9472250","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9114409,8724967,8724968,8722354,8724963","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8051216,8051124,8052170,8051242,8051270","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"10468294,10129504,10695965,10264159,10498020","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8102954,8695281,8303318,8302453,8301481","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"10586136,9812609,9812018,9811666,10144018","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9307178,9344541,8282018,8326513,8326509","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"9150651,9729464,9504463,9503633,9049946","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"10617802,10623308,9729486,9728586,9724615","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"9671127,9976502,10011801,10200800,10242706","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"8472812,8412121,8658198,8472824,8473995","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"10687248,10493382,10340783,10224092,10692586","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"10202544,10045652,10376790,10827737,10827292","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"7960645,8167599,8168304,8168306,8168307","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9761853,9087505,9984285,9984283,9968025","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"9536687,9990862,9751141,9750114,9747839","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"8517509,8304535,8304443,8304508,8304429","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"10501505,10468327,10674548,10669710,10667651","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8825531,9245732,9022512,8604915,10618316","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8468988,7984351,7986666,7989356,8465819","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8490537,8092542,8365075,8365076,8365077","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"7640704,7796669,7582243,7673872,7912418","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"7671310,8100577,7677949,7624252,7643343","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"10242929,10669021,10065417,10064253,10458685","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"8548223,8367997,8851475,8534016,8901888","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"7579128,7809636,7637402,7578235,7629572","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"7922550,7822826,7902300,7905663,7894683","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9166293,9280951,9493482,9772155,9492758","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"9016112,9016471,9019375,8854085,8582263","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9787107,9936112,9654946,10450051,10045230","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"9533890,9747330,9324029,9114642,8951512","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"10356795,9705211,9702434,10087427,10057267","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"8679838,8668393,8679822,8927031,8915721","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"7626749,8114133,7658237,7989838,8068435","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"8272684,8056125,8080192,8119561,8061973","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"10494242,10703229,10362384,10362243,10361943","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"9547391,9354457,9782907,9782908,9783792","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9995024,10183351,10468871,9944689,9979986","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"8290541,8310258,8020799,8020664,8150462","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8014602,8149926,8707400,8699693,8307505","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"10685138,10684418,8898627,9066148,8898456","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"8319371,8525498,9552255,9882445,9283257","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"9317574,9256463,8897472,8670647,8670526","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8913107,8414034,8413975,8517895,8868954","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"8523178,8492009,9130493,9130492,8317544","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"7924910,7901642,7936516,7629810,7651392","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"10020295,10015550,9407949,9405712,9407343","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"8340905,8519205,8340606,8821025,8518212","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"8070549,7688953,7688801,7688799,7688798","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"8806614,8800580,8473040,8472329,8554931","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"10459659,10599358,10599360,10599365,10602737","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"10405579,10363049,10341323,10086753,10080010","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"9813860,10173772,10173777,10173778,10178021","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"10450884,10458685,10064253,10065417,10663830","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"8466375,9041666,8318508,8588708,8831722","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"9986920,10677057,10305191,10376602,9811315","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"8974679,9306785,8974664,9120792,9315721","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"8883212,8381885,8505518,8505519,8505520","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"8054108,7676082,7674783,7676034,7677825","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"8433688,8554311,8433290,8434398,8433768","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"7935371,7935378,7884853,7883974,7883988","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"8617527,8620435,8620470,8620564,8618291","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"8995282,8770611,9116620,9301512,9505854","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"9892558,10523539,10531132,10308059,10304132","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"10064608,9444587,10297846,10308053,10316230","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"8704199,9081240,8441279,8862525,8862526","None,None,None,None,None","None,None,None,None,None"
9222148,f,w,"9222148,9432540,10231234,10225619,10626886","None,None,None,None,None","None,None,None,None,None"
9674467,m,w,"9769736,9188443,9554612,9552161,9552163","None,None,None,None,None","None,None,None,None,None"
9273611,m,w,"8720557,8159923,8590313,8311623,8316157","None,None,None,None,None","None,None,None,None,None"
10480740,m,w,"9517978,9537265,9297347,9307886,9305111","None,None,None,None,None","None,None,None,None,None"
10361543,f,h,"10527333,9888514,10630250,10617225,10617220","None,None,None,None,None","None,None,None,None,None"
10241405,m,w,"10262927,10421415,10640249,10559669,10023935","None,None,None,None,None","None,None,None,None,None"
8300031,f,w,"8381458,8499257,8499258,8526379,8526378","None,None,None,None,None","None,None,None,None,None"
9339325,f,h,"10091112,10213065,9933570,10229332,10690438","None,None,None,None,None","None,None,None,None,None"
8814164,m,w,"8632988,9033819,8283753,8452056,8459979","None,None,None,None,None","None,None,None,None,None"
7924122,f,w,"10427219,10633173,9969005,9968942,9968924","None,None,None,None,None","None,None,None,None,None"
9672444,f,h,"7681140,8137255,7922626,9688697,8533666","None,None,None,None,None","None,None,None,None,None"
8672569,m,w,"10402550,10402548,9205080,9782700,9782699","None,None,None,None,None","None,None,None,None,None"
9688831,f,w,"10200875,10137988,10051557,10050801,10007190","None,None,None,None,None","None,None,None,None,None"
10374944,m,w,"9513314,8936215,9707719,9707724,9718083","None,None,None,None,None","None,None,None,None,None"
10208856,m,h,"10352461,10211467,9970211,10215473,10668981","None,None,None,None,None","None,None,None,None,None"
10197904,m,a,"10729390,9081590,9352415,9336385,8813276","None,None,None,None,None","None,None,None,None,None"
8520046,m,w,"9345587,9039891,9341011,9348407,9348410","None,None,None,None,None","None,None,None,None,None"
9332366,f,w,"8774773,8921196,9548199,9135720,8917929","None,None,None,None,None","None,None,None,None,None"
8920545,m,w,"8717634,8627315,8717635,8729479,8729480","None,None,None,None,None","None,None,None,None,None"
10013563,m,w,"9900325,9900516,9898607,9899486,9899542","None,None,None,None,None","None,None,None,None,None"
7778742,m,w,"10649829,8063853,7638483,7825482,7825483","None,None,None,None,None","None,None,None,None,None"
8849042,m,w,"10493382,10687248,10340783,10436131,10650397","None,None,None,None,None","None,None,None,None,None"
8879187,f,b,"8686464,9066790,9268672,9486994,8870425","None,None,None,None,None","None,None,None,None,None"
9612492,m,w,"10540963,10540962,10541708,10541710,10705685","None,None,None,None,None","None,None,None,None,None"
7903428,f,w,"7915188,7903427,7678455,7915183,7915184","None,None,None,None,None","None,None,None,None,None"
8920695,m,h,"9787411,10005255,9783763,9783761,9783760","None,None,None,None,None","None,None,None,None,None"
10245896,m,a,"9677816,9789390,10490394,9997665,10001044","None,None,None,None,None","None,None,None,None,None"
7573426,m,w,"8181198,8179855,8677869,8667522,8895762","None,None,None,None,None","None,None,None,None,None"
7656696,m,h,"8130131,7650362,7678022,7650309,7650316","None,None,None,None,None","None,None,None,None,None"
8376563,m,w,"7678125,8492038,7678119,7678124,7666407","None,None,None,None,None","None,None,None,None,None"
