APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9509503,9335971,9313927,9089463,9090775","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8925858,8336923,8531341,8541847,9338933","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8499174,8689016,8153835,8513990,8331617","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9264661,9264682,9264670,9264681,9698245","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"8436052,8436004,8686992,8141235,7932712","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10759550,10760002,10759735,10784019,10592780","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10704716,10526304,10708066,10704715,10704714","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8890332,9001897,9208091,9206455,9610626","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"8907088,9781390,9536929,9557576,9550915","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9247181,9670111,9044774,9044776,9044778","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8440519,8662614,8014448,8014433,8014434","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9857598,10114279,9741953,9468368,9272886","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8729008,8719172,8473018,8472725,8900335","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9843619,8977968,8977967,8977737,8978019","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8695291,8158771,8532644,8475561,8479319","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8033151,7608737,7613471,7608714,7612084","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7780278,10334632,10592259,10332199,10456523","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9085186,8720663,8878151,9282395,9272297","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10692678,10512719,7643343,8099486,7989838","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9246760,9516960,10316999,9394797,9246899","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8551682,8813609,9211357,8431983,9010966","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8921201,8814714,8815597,8815574,8814095","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10686278,10006889,10686120,10250326,9824374","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,9839929,10217466,9839927","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9994921,9354483,9353767,9352820,9353792","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8111777,8111776,7898851,7673366,7913907","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10274937,10277070,10663385,10697357,10840200","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9771449,9143744,9771457,9563976,9553831","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8133364,8032667,8032767,8032774,8032800","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8536362,8340090,8340858,8340889,8340598","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10552007,10159288,10294955,10320948,10394335","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9562053,9188204,9987622,9189072,9535290","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8269016,8360173,8359576,8359578,8359581","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10413034,9597601,9753104,10165449,9927973","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"8823045,8823040,8650816,9062417,9060917","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9753104,10413034,9927973,10165449,9597601","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9020204,9011505,9214310,9222699,9437652","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"7643794,7682983,7931241,9119111,9137753","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9213339,8509163,9000120,8617223,8794412","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10063744,10684625,10667635,10667608,10667409","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10031380,10037760,10037854,10037968,9787108","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9129526,8461747,8914415,8914418,8914423","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9193112,9309081,10424447,10601101,10212773","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8310258,8290541,8020799,8020664,8150462","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8298736,8026868,7680023,7664978,7651178","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9969097,9768054,9571042,9571044,9570696","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9114721,9108017,8897165,8897162,8907770","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"7684003,7686060,7682324,7847346,7935616","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9960555,9097289,10450248,9307857,9730475","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10485231,10310901,10310739,10700141,10700075","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10586094,10569619,10557171,10348223,10347760","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9785781,9753823,9753821,9753815,9753813","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8845185,8722068,8828160,8722290,8722152","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8752153,8722021,8617863,8748760,9103194","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8187076,8894408,8475566,8532647,8532646","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"7959745,8360272,7959955,7959952,7663142","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"8528823,9110807,9105696,9110210,9110894","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8268769,8473975,8473932,8490522,8473969","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8825531,9245732,9022512,8604915,10618316","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"9437652,9020204,9011505,9214310,9222699","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"7903510,7625209,7961375,7625236,7625194","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"7848533,7796669,8079051,7582243,7673872","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"8137977,7791268,7939800,7938945,7941928","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"10465271,9952554,9751599,9889884,9717214","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10514064,10701771,10581838,10581946,10583428","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"10238916,10207350,10238907,10238908,10238910","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"10618984,10617354,10623213,10648773,10650032","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"8239673,8376366,8663263,8213830,8238772","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"10693800,10361888,10693080,10693084,10693095","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"10250341,10003928,9548539,10006150,10006152","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"8432355,7936081,8298979,8289467,8501646","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"8073856,8517478,8706704,8706706,8587445","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"10851086,10636910,10629324,10624857,10620321","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"9119041,9108388,9347029,9305100,9970587","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"8433072,8548317,8723137,8860156,8903770","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"10479177,10005899,10240520,9789242,9626529","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10407844,10407756,10622622,10622624,10407836","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9723226,10005492,9723229,9568048,9566910","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"9293135,8743311,8867051,8862198,9293133","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"7692251,8065747,7695547,8716704,8471943","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"8910704,9068109,8758156,8756564,8913969","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"9770707,9386846,10234034,10005508,9555076","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"9735220,9178002,9736305,9534657,9725978","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"7931855,8523445,8291433,8118202,8118225","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"8143810,7687500,7687483,7687496,7687445","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"8919187,9124626,9124623,9124625,8919188","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"10534683,10534684,9917263,9917265,9917266","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"9320966,9152898,9154487,9334045,9153169","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"10008512,10208683,10656300,10449317,8954698","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"9568053,9568046,9569732,9568843,9450090","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"9316526,9316525,8889592,8875608,8910624","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"8582263,8584670,8691778,8743206,8723828","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"10453436,10675524,10453434,10453435,10009355","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"8617223,8794412,9213339,8509163,9000120","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"8651533,9042419,8318508,8318381,8464820","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"8913107,8414034,8413975,8517895,8544456","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"10064192,10728439,10245275,8333346,8317561","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"9355673,9355657,9544718,9748878,9748880","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"10614049,10471624,10478536,10479606,10698024","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"8501615,8508998,8534229,8389405,8387986","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"10707131,10556830,10556716,10556717,10556721","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"9783397,9783372,8116121,7879363,9068459","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"10217030,10091323,10250532,10684692,10475677","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"8705776,8688737,8895833,8819101,8820238","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"9815958,10064608,10316230,10336440,9820712","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"10701721,10425505,10474081,10474109,10553878","None,None,None,None,None","None,None,None,None,None"
9222148,f,w,"10654005,10669673,10198318,10198235,10198224","None,None,None,None,None","None,None,None,None,None"
9674467,m,w,"10690436,10693055,10687986,10687992,10688002","None,None,None,None,None","None,None,None,None,None"
9273611,m,w,"8337696,8906517,8333365,8336903,8210165","None,None,None,None,None","None,None,None,None,None"
10480740,m,w,"9123449,8991747,9521395,9525613,9522828","None,None,None,None,None","None,None,None,None,None"
10361543,f,h,"9710668,9534654,9535294,9536006,9536013","None,None,None,None,None","None,None,None,None,None"
10241405,m,w,"7674494,7882568,7686102,7912988,7916837","None,None,None,None,None","None,None,None,None,None"
8300031,f,w,"8705391,8526375,8382164,8382162,8381457","None,None,None,None,None","None,None,None,None,None"
9339325,f,h,"10827786,10828175,10829008,10828681,10828588","None,None,None,None,None","None,None,None,None,None"
8814164,m,w,"9607063,9021315,9186979,9185942,9020493","None,None,None,None,None","None,None,None,None,None"
7924122,f,w,"9813820,9221080,9222222,9222102,9221467","None,None,None,None,None","None,None,None,None,None"
9672444,f,h,"9672421,9672424,9270974,9270381,9270971","None,None,None,None,None","None,None,None,None,None"
8672569,m,w,"10247594,10450033,10450035,10450036,10458120","None,None,None,None,None","None,None,None,None,None"
9688831,f,w,"8991654,9349357,9330198,9329447,9325030","None,None,None,None,None","None,None,None,None,None"
10374944,m,w,"10378747,9893850,10596565,10131155,9765880","None,None,None,None,None","None,None,None,None,None"
10208856,m,h,"10211467,10352461,9762081,9573392,10599976","None,None,None,None,None","None,None,None,None,None"
10197904,m,a,"9336385,9334851,8927633,9552803,8813276","None,None,None,None,None","None,None,None,None,None"
8520046,m,w,"9953826,9963299,9206810,9206382,9206379","None,None,None,None,None","None,None,None,None,None"
9332366,f,w,"9329517,8774782,9529788,9530728,9529867","None,None,None,None,None","None,None,None,None,None"
8920545,m,w,"8330952,8132960,8132962,8132865,8132943","None,None,None,None,None","None,None,None,None,None"
10013563,m,w,"10744469,10744468,10744467,7900929,7900931","None,None,None,None,None","None,None,None,None,None"
7778742,m,w,"10456128,10127119,10704049,10264960,8717636","None,None,None,None,None","None,None,None,None,None"
8849042,m,w,"10493382,10687248,10340783,10087183,10264881","None,None,None,None,None","None,None,None,None,None"
8879187,f,b,"9509503,9335971,9313927,9089463,9090775","None,None,None,None,None","None,None,None,None,None"
9612492,m,w,"8989456,9318375,9139407,9139405,9318370","None,None,None,None,None","None,None,None,None,None"
7903428,f,w,"7915187,7757815,8119428,8119429,7915188","None,None,None,None,None","None,None,None,None,None"
8920695,m,h,"9627677,9630121,9630125,9627384,9994735","None,None,None,None,None","None,None,None,None,None"
10245896,m,a,"9329340,8758187,9149314,9116934,9317535","None,None,None,None,None","None,None,None,None,None"
7573426,m,w,"8277997,7792370,7640190,8470154,8073974","None,None,None,None,None","None,None,None,None,None"
7656696,m,h,"10701083,10630618,9132271,8829370,8935844","None,None,None,None,None","None,None,None,None,None"
8376563,m,w,"9985371,10249327,9987210,10128522,8068693","None,None,None,None,None","None,None,None,None,None"
9100656,m,h,"10070075,10533275,10142234,10070077,10492078","None,None,None,None,None","None,None,None,None,None"
9067860,m,w,"10248080,10590657,10250764,10250264,10393060","None,None,None,None,None","None,None,None,None,None"
10439933,f,w,"7897686,8314113,8309338,7693834,7691805","None,None,None,None,None","None,None,None,None,None"
9893850,f,w,"10684229,10684278,10686217,10690756,10737872","None,None,None,None,None","None,None,None,None,None"
9852507,f,w,"9654469,9783891,10141077,10180770,9901363","None,None,None,None,None","None,None,None,None,None"
7750586,m,w,"9564864,9762886,10205411,10223169,9394525","None,None,None,None,None","None,None,None,None,None"
9752514,m,w,"8899511,8625457,8733665,8734393,8733669","None,None,None,None,None","None,None,None,None,None"
9547256,m,w,"8120322,7899299,8100582,7911742,7895018","None,None,None,None,None","None,None,None,None,None"
10691911,m,w,"8735068,8472893,8501983,8501984,8475794","None,None,None,None,None","None,None,None,None,None"
9989552,m,w,"9658483,9050643,8890125,8828634,8827308","None,None,None,None,None","None,None,None,None,None"
8365163,m,w,"8089758,7858405,7847417,7938809,7835871","None,None,None,None,None","None,None,None,None,None"
7905197,m,w,"7930610,8144398,7930609,7930608,7930607","None,None,None,None,None","None,None,None,None,None"
9533996,f,w,"9316526,9316525,8889592,8875608,8910624","None,None,None,None,None","None,None,None,None,None"
8056801,f,w,"10062837,9384981,9222665,9222517,9231219","None,None,None,None,None","None,None,None,None,None"
9475082,f,w,"10743626,10743501,10740079,10633383,9382207","None,None,None,None,None","None,None,None,None,None"
7797602,f,b,"10555416,10556823,10556513,10556514,10556580","None,None,None,None,None","None,None,None,None,None"
8691551,m,w,"8308497,8473230,7741943,8074433,7896634","None,None,None,None,None","None,None,None,None,None"
7658237,m,w,"8831085,9123591,8832139,8831966,8934125","None,None,None,None,None","None,None,None,None,None"
8375469,f,w,"8839873,8475557,8471053,8475556,8466282","None,None,None,None,None","None,None,None,None,None"
9900325,f,h,"10744469,10744468,10744467,7645742,7900931","None,None,None,None,None","None,None,None,None,None"
8659423,m,w,"8910705,9277468,8758156,8756564,8758202","None,None,None,None,None","None,None,None,None,None"
9978601,m,w,"10493382,10340783,10687248,10458695,10087183","None,None,None,None,None","None,None,None,None,None"
8399839,m,w,"10707894,10339955,10053258,10455017,10248537","None,None,None,None,None","None,None,None,None,None"
9565766,m,w,"10450248,9517894,9960555,9097289,9730475","None,None,None,None,None","None,None,None,None,None"
9317706,f,w,"9129759,8547084,8912500,8914639,8416746","None,None,None,None,None","None,None,None,None,None"
9514768,f,w,"10621613,8898692,8901869,8901867,8901877","None,None,None,None,None","None,None,None,None,None"
9550778,m,b,"8145432,8472444,8850986,8850954,8854224","None,None,None,None,None","None,None,None,None,None"
8066691,m,h,"8742026,8640692,9128454,9120848,8639766","None,None,None,None,None","None,None,None,None,None"
9414391,m,w,"10037854,10037968,10031380,10037760,10205959","None,None,None,None,None","None,None,None,None,None"
9608711,m,w,"7652440,7919244,7926024,8099721,8137945","None,None,None,None,None","None,None,None,None,None"
10404437,m,w,"10249327,10128522,9987210,9985371,8381453","None,None,None,None,None","None,None,None,None,None"
9522003,m,w,"10295716,10295867,10520457,10108885,10294431","None,None,None,None,None","None,None,None,None,None"
9263859,f,w,"9246411,9066556,9686554,9686556,9692504","None,None,None,None,None","None,None,None,None,None"
10525192,f,w,"7923478,7760679,7596197,7670247,7673858","None,None,None,None,None","None,None,None,None,None"
8790574,m,h,"8308465,7936895,8308466,8521355,8521356","None,None,None,None,None","None,None,None,None,None"
9644048,f,a,"9767599,9911989,10001556,9333488,9333907","None,None,None,None,None","None,None,None,None,None"
8461242,f,w,"7932719,8121481,8121489,8121488,8121487","None,None,None,None,None","None,None,None,None,None"
