APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9657194,10083763,9843530,10335171,8875795","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9338933,8721480,9123843,8890180,8925858","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8320713,8129470,8487420,8538928,8496518","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10263239,10441514,10045725,10231303,10646433","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"7930256,7937512,7894551,8146745,8133630","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10156594,10483174,10471577,10683326,10129286","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10130746,10130683,10570305,10544320,10441141","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8680110,8495858,8473777,8445240,8519230","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9532314,10208992,9549130,10207822,10105377","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8204945,7741712,7991864,7992459,7991865","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8758050,9988327,9925791,10405083,10404609","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9459535,9459450,9857598,10114279,9741953","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"10823828,10599746,9127572,9478602,9435001","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"7666251,7939058,7900507,8536992,7849341","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8376342,7668798,7680842,7668109,7685837","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9077988,9665514,9445480,9240653,9251863","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"9780376,10247723,9355706,9354523,9353887","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9783745,9357402,9355147,9353346,9353743","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7911680,7911689,7935572,7692303,7692302","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8986799,8605301,8802881,8791700,8808770","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8456143,8644947,8330544,8644944,8329146","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7912856,7759425,7759706,7759549,7759069","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9482979,9483217,9482608,9756828,9972876","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8351930,8916639,9123576,9095252,8700350","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10708941,10581922,10583215,10583291,10583296","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10557205,10574613,10359051,10596303,9870169","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10489744,10655614,10274937,10480007,10277070","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10670199,10296363,9339683,9183807","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8377949,8675962,8543518,8129826,8133364","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"7755169,7929569,7925750,7925749,8120620","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10189588,9922301,9918404,9918407,9918409","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8260907,8261637,8715796,8715797,8728845","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8536794,8320216,7932712,8141235,7789192","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10108754,10264915,10472039,10472040,10697339","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"7922585,7687896,8332323,7692164,7691786","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"7884302,7646502,7658862,7881422,7879920","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8705846,9038249,9263887,8843779,9274154","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10842106,10468871,9655522,9713886,10247044","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"10175633,10174309,8782594,8782607,9605108","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10217221,9463356,9322877,9321975,9321970","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10665204,9674261,9784662,10667123,10666871","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8462079,8461802,8462037,8538326,8536641","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"10474013,10474915,10666482,10659198,10656417","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"7660406,7675361,9108891,8868954,9133333","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8811408,9648683,9226030,9226035,9223649","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9431063,9617156,9188572,9257685,8686945","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8895758,8707611,8729318,8730553,8298387","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"8309794,8379207,8541626,8182451,8182453","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9460502,8912671,9670111,9676314,9457433","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8928138,8545801,8928141,8730617,8730126","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"8228127,7657851,7658562,7658504,7666449","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"8690627,9099557,8554377,8471935,8867050","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"9881069,10263460,10492727,10015353,10016175","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"7691247,7691241,7895839,7910620,7903988","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8299230,8044801,8376753,8375255,8376748","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"10848139,7994435,7767324,7501989,8054022","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"9897619,9894718,9913459,9913457,9913452","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"10458585,10458586,10458588,10458589,10458591","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"9681932,10111547,10557179,9867738,10343750","None,None,None,None,None","None,None,None,None,None"
