APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9319794,8997188,9144844,9145766,9323560","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8793915,8732790,8732625,8721480,8247968","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9059157,9292356,8822523,8927672,10687079","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9276547,9145617,9282384,9697743,9698245","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"8138172,8138267,8321903,8321540,8330276","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10592780,10709636,10491953,10665746,10378786","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10570305,10130852,10322155,10360627,10441141","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8668782,8289334,8490199,8150970,8069727","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9730426,9531630,9730431,9730432,9730458","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9838753,9617252,9390795,9441650,9418046","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8605381,9065464,9291406,8847623,8849693","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8473860,8458593,8133612,8068319,8458584","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"10599746,8600900,8734505,8281153,8280039","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"8900880,8510528,8891308,8889175,8895823","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10124290,10460470,9959331,9959330,9959329","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7612084,8004945,7806393,7884581,7809464","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8327018,8524700,8696864,8151106,8252773","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9923517,10101619,10086379,10078842,10329935","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8128675,8698894,8152529,8306346,8145524","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8605657,8988580,8802882,8791700,8808770","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8330544,8456143,8644947,8486383,8644944","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9483323,9928298,9689555,9690087,9690122","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9553704,9382154,9755387,9518781,9755386","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,8539592,8443710,8446031","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9868111,9186361,9353768,9354482,9353764","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10320983,10732857,10847801,10271147,8676643","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9291399,9293206,8769659,8768884,8768418","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10414816,10645187,10247521,10675681,10248544","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10459581,10459584,10684010,10684021,10288582","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9515968,9982445,9468430,9692798,9625166","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9695977,9199110,9390795,9441650,9418046","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9987622,9562053,9189072,9188204,9321184","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8141235,7789192,8320216,8536794,7932712","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9927973,9753104,9597601,10413034,10165449","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10675713,10285797,10470302,7845561,7668578","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"7664374,7908066,7895795,9753104,10413034","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8103842,8478035,8464625,8492023,8467673","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10610011,10755053,10754425,10754481,10754742","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"10458119,9609262,9748426,10423663,9975693","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"8307505,8699693,8014602,8149926,8532854","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10665204,10666025,10667123,10666871,9738277","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8730485,8462079,8461393,8461449,8452332","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9309081,9193112,10747205,7595226,7800417","None,None,None,None,None","None,None,None,None,None"
