APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9843530,10083763,9657194,10335171,9172674","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8531341,8793915,9123843,9338933,8247968","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9955301,10178077,9736785,9564694,9454132","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9421907,9695908,9565384,9928385,8572720","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10746147,10363505,10488757,10645854,10361741","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10759735,10759550,10760002,10491953,10665746","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10322155,10360627,10544320,10570305,10130683","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9126064,7919769,7920494,7920498,7920499","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10647838,10458402,10647834,10647827,10647823","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10228022,9377240,10690636,10874947,10172905","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8847623,9291406,9065464,8605381,8462809","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9899079,9898962,9789262,9696564,9970219","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9146140,9146147,9691055,9260054,9260052","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10526645,10526642,10526252,10526253,10526254","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8380609,8532647,8532644,8475561,8479319","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9891074,9251863,9240651,9234569,9240652","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"9136688,9349381,8609325,8609254,8609758","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10468080,10624283,10553643,10551296,10543729","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7617895,7673736,7672271,7683038,8311059","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8433122,8433150,8433134,8433149,8432962","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10744678,10744578,10743669,8604913,8733202","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8128715,8142015,7683010,7683834,7667163","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10525593,10729386,10704593,10704599,10704609","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,10436179,9512284,9684606","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8436395,8545842,9136088,8734406,8926397","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9099726,9493275,9727906,9513314,9471342","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9737815,9976428,10198685,10198684,10198683","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10296363,10670199,9143094,8916687","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"7938906,8380613,7917472,7917473,7917474","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9150311,9321023,9776405,9734507,9038685","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9552843,10463110,9985131,9995496,10163188","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9188204,9987622,9768431,9769005,9562053","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"10749781,8145814,7861753,7853344,7855669","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10413034,9597601,9753104,10165449,9927973","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"7922586,7805474,7692164,8065479,7691786","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"10413034,9927973,10165449,9753104,9597601","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9117672,9674383,9462040,9459829,9683777","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10479136,10320714,10479039,10479040,10479093","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8874104,8768731,8885651,8882257,8766909","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"8322169,7798357,7797774,7798364,7795475","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10491974,10374361,9674675,10404609,10405083","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8536640,8452332,8538326,8462037,8461738","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8113038,8324499,8238398,8536361,8514724","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8693975,8413975,8868954,8517895,8544456","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9312738,9959307,9506679,9476774,9729515","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"8011721,7680432,8010643,7994819,8066384","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8722355,8460212,8460204,8458449,8459070","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"8699693,8307505,8149926,8014602,8707400","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"7551999,7994756,7847078,7551990,7551992","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"9547136,9770557,10001342,10001348,10237145","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10343347,10347760,10348223,10557171,10569619","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9052093,9462723,9462724,9473017,9475171","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"10587283,10590120,10590236,10590442,10590364","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"9743834,9225145,9925574,9225112,9019498","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8532645,8725468,8894408,8894409,8326736","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"7845179,8109216,7842432,7839761,7841512","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"9662784,9897624,9679467,9679466,9679465","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8664917,8450929,8469083,8306428,8305921","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8825531,8604915,9022512,9245732,9879494","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8848098,9283606,8729082,8728687,9057601","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8173904,8101318,8365151,8101299,8365135","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"10048553,10442630,10652507,10652506,10049129","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"7681554,7932428,7928795,7658706,8138246","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"8291165,8097114,8529834,8282632,7940147","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"9963133,10180829,9654633,9934086,9654389","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"7900589,7640777,7670344,7676699,7612039","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"8645749,8270550,8005774,8005627,8004892","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9861241,9169960,9412461,9530641,9407187","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"8229227,8335406,8514609,8514610,8229848","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"10451801,9684363,9683076,9683772,10200658","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"7687483,7902079,7687496,7687445,7688130","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"9245568,9275869,8773743,8773551,8773897","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"8295049,8294095,8484469,8551302,8551306","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"7931242,8138246,7673312,7663289,7683856","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"8189006,8336846,8332244,7618024,7908083","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9559642,9560704,9337096,9347270,9336090","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"8046269,8044994,8045260,8045197,8045301","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"8865708,8526591,9293376,9293391,9288227","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"7677949,8114133,7900055,7886881,7878517","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8710093,8734338,8711353,8710052,8710065","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"8335408,8514609,8514610,8229227,8229848","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"9139742,8738707,9346753,9552433,9749887","None,None,None,None,None","None,None,None,None,None"
