APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8959886,8961416,9121688,9103741,9174325","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8890180,9338933,9123843,8536036,8536037","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"7879920,7884302,7646502,7658862,7658838","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9565384,9695908,9928385,9421907,7898576","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10227178,9979867,9775448,9774044,10242772","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10784019,10784407,10783393,10759550,10759735","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10715026,10712292,10712295,10712296,10712297","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9668031,9246424,9252098,9252099,9096395","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9743642,9548717,8731667,8537968,8728981","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8814466,9378106,8814559,9267742,8991919","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8847623,8605381,9065464,9291406,8375443","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10114279,9857598,9741953,10392980,10427468","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9457250,9260053,9675130,9675129,9675128","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"8153648,7681099,7900507,7924597,8536992","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8376751,7668115,7668109,7680842,7680840","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7798552,7798157,8020043,8004952,8033151","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8221472,8222946,8725993,8338455,8338454","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9923517,10624283,10887735,10086379,10092088","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10308532,10126937,10308509,10130308,10129592","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8605291,9022494,8605657,8823639,9529663","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9935976,9747383,9623982,10360448,9912346","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8749196,8758248,9068923,9545258,9775236","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9744635,9382042,9382154,9380591,9379366","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,10436179,10372955,9852303","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9075943,9075985,10131462,10131357,10131351","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10208683,10656300,10008512,10449317,8486379","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8173390,8856451,8319400,8321997,8509566","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10451808,10296363,10670199,9590189,9590264","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8380616,8126358,8141262,8141263,8141264","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8127725,8301648,7929569,7925750,8120620","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10009357,10675530,9814466,9814465,10200816","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9966987,10655524,10450885,10205060,9831543","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"9787450,10008998,9689121,9690420,9689558","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9927973,10165449,9597601,10413034,9753104","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"9607047,9926402,9928212,9608524,9607756","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9597601,9753104,10165449,9927973,10413034","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8705846,9038249,9263887,8843779,8685120","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9056289,9137657,9146348,9055837,9148194","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"10750700,10750627,10750083,10756808,10224007","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10459080,10457740,10217221,9521332,9517632","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10666025,10667123,10666871,9732984,9738842","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9477156,9554610,9477238,9478417,9478418","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8812920,9108553,9328182,9340828,9108766","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"7692230,7657486,7684281,7677500,9292340","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8083292,8495891,7940614,7940474,7940773","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9928305,9733764,9697194,9697195,9697196","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8459282,9114412,9114396,9114395,9114410","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"9368956,9560705,9193833,9339637,9355575","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"10641509,10592348,10610079,10610077,10610036","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8032920,8037313,8037445,8447834,10692561","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"8477355,8412121,8658196,8477358,8412142","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"8013416,8013417,7839156,8013405,8013406","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"7676685,7687399,7678012,7847368,7687907","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"7760992,8111972,8534320,8304319,8298229","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8154082,8479319,8479320,8532645,8532646","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"9553870,9150320,9321208,9744849,9771778","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"10562309,10564073,10565802,10563243,8301968","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"10559714,10172440,10557103,10557100,10627104","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"9022512,8825531,9245732,8604915,7654129","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"9117861,9462040,9459829,9683777,9674383","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"7961477,7982174,7674822,7674514,7689400","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"7848533,8079051,7796669,7912418,8432110","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"9277052,9346576,9246760,10070100,10129530","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"8433688,8551400,8434963,8433290,8434398","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"8707932,8853239,8580451,8580477,8580280","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"9624628,10596201,10334562,10320260,10358642","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"10057011,9925035,10449997,10056759,10197769","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"8663259,8469046,8290332,8290333,8290330","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"9250137,9041614,9308319,9045627,9039599","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"10168415,9971426,9978552,9983551,10174671","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"9114642,8951512,9533890,9747330,9324029","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"8934137,9061438,9247728,9275265,9262763","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"7848683,7996282,7911439,7869504,10530701","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"7658743,7880319,7683733,7658836,7658832","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"8737000,8891391,8912438,8848052,9115080","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9347270,9336089,9337386,9336634,9336635","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"9897226,9223692,9223695,9223684,9225185","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"10252840,10261451,9788528,9788531,9628229","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"8121133,8111780,7898854,7898851,7673366","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8735862,8545739,8545717,8540376,8545561","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9706229,9930892,10000586,10000585,10000526","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"8904698,9118282,8924233,8680594,8576656","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"8150382,8036571,8044246,8144787,8043433","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8149991,8149989,8021062,8020738,8266494","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"8690747,9303517,8712344,8111477,8134127","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"7924910,7629810,7936516,7901642,7651392","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"7681785,7924518,7886896,8094480,8137313","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"10723352,10727993,10727942,10727597,10727587","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"7683038,7672271,7673736,7617895,10208683","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"8459827,8459770,8601748,8601749,8782643","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"8768731,8768636,8766909,8882257,8885651","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"8857464,9036982,8854085,8829218,8691778","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"9440573,9455720,9980397,9024533,9655324","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"10750627,10756808,10750700,10750083,8617223","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"8464820,8829321,8660719,8651530,9041666","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"8222946,8221472,8545885,8338455,8338454","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"9323489,9105753,9757795,9563295,8990689","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"8509724,8507791,8509732,8505514,8507789","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"10747107,10649829,10632635,10632313,10630731","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"8527852,8870398,8849773,8706933,8662805","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"10556830,10556976,10707340,10707159,10707157","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"8913590,8433150,8433122,8433149,8432962","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"10744578,10744678,10743669,8825477,8655532","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"8874104,8885651,8882257,8766909,8768636","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"10316230,10064608,10297846,10308053,10336440","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"10219354,10514944,9959042,10683293,8969452","None,None,None,None,None","None,None,None,None,None"
