MODEL,ORIGINAL_PERF,TUNED_PERF,THRES,F1_THRES
electra_p_wi,0.0267027949351287,0.15142578914663615,0.4646464646464647,0.54
albert_r_w,0.07316329806778261,0.7916649064163902,0.43434343434343436,0.90
bert-xxxxx_r_wi,0.11908443162135098,0.5669570622901513,0.4545454545454546,0.75
albert_r_wi,0.08157411176142246,0.8019664007866814,0.4141414141414142,0.91
albert_p_wi,0.10280691140622196,0.7931232547059927,0.43434343434343436,0.90
albert_p_w,0.061062884104407945,0.7825312120724017,0.48484848484848486,0.89
bert-xxxxx_r_w,0.11015319857444573,0.5434835716727272,0.4747474747474748,0.73
electra_o_w,0.0214217600626325,0.8481005778623194,0.5757575757575758,0.96
bert-base(para)_r_w,0.12071019962002986,0.8150484689823475,0.42424242424242425,0.92
distilbert_o_w,0.1564592211445208,0.8524511678537533,0.5252525252525253,0.97
bert-s_r_wi,0.12824839787444062,0.8163635972137727,0.5050505050505051,0.91
roberta_p_w,0.08875789360086773,0.8022270625680296,0.4444444444444445,0.91
electra_r_w,0.046761002304939965,0.5745804522599779,0.5050505050505051,0.77
biobert_o_w,0.1049656978657618,0.8540107984855775,0.595959595959596,0.98
bluebert_o_w,0.11429954423315902,0.8517487285274921,0.5050505050505051,0.97
bert-xx_o_wi,0.12990551809155174,0.8458539564747665,0.5050505050505051,0.96
deberta_p_wi,0.09685036961225184,0.8091690933569977,0.37373737373737376,0.91
bert-multi_p_wi,0.19035234339965448,0.8063499982184591,0.48484848484848486,0.91
bert-multi_r_wi,0.2082543771844562,0.8166280131999839,0.3434343434343435,0.91
bert-xxxx_o_w,0.1341775887980409,0.8277927834802736,0.5050505050505051,0.93
bert-s_r_w,0.11445238562060644,0.8153520562116369,0.4040404040404041,0.92
bert-s_p_wi,0.12269401137314448,0.8116353259146106,0.42424242424242425,0.91
xlm-roberta_p_w,0.08750748551507631,0.7836397057701514,0.4444444444444445,0.89
bluebert_o_wi,0.12158304992458273,0.8511965747882138,0.5353535353535354,0.97
bluebert_p_w,0.11225866558472791,0.7796775214397262,0.494949494949495,0.90
bert-xxx_o_w,0.12247897720665318,0.8363764451370977,0.48484848484848486,0.94
bert-xx_p_wi,0.1415301828650171,0.7862212610998788,0.4141414141414142,0.89
biobert_r_w,0.10876379731908195,0.8246481911503118,0.4747474747474748,0.93
bert-base_p_w,0.10584936413458422,0.8036117171601911,0.5050505050505051,0.91
bert-xxxx_r_wi,0.13312662463353253,0.7432599722201837,0.4646464646464647,0.86
bert-xxxxx_o_w,0.1233222874061245,0.8098022729007163,0.5151515151515152,0.91
scibert_r_w,0.14238118645811507,0.8289449295746583,0.4444444444444445,0.94
biomedbert_o_w,0.173428172105241,0.8551613663695738,0.5454545454545455,0.98
xlm-roberta_p_wi,0.15277205205047872,0.7828076595160123,0.494949494949495,0.89
deberta_o_wi,0.09760599412172083,0.8530480881174423,0.494949494949495,0.98
scibert_p_wi,0.13955106160869327,0.8242848267459097,0.4040404040404041,0.93
bert-xxx_p_w,0.06806478688421591,0.7310765288156864,0.3535353535353536,0.84
biobert_p_wi,0.10950754067694048,0.8111098615500442,0.42424242424242425,0.92
bert-s_o_wi,0.12236621768372422,0.8525489751513046,0.5454545454545455,0.97
biobert_o_wi,0.10455058224355314,0.8546984243472853,0.48484848484848486,0.98
roberta_o_wi,0.1196204465647859,0.8529834702267866,0.5454545454545455,0.98
