model,disco_gender,disco_asian,disco_black,disco_hispanic,lpbs_mean,lpbs_std,SEAT_gender,SEAT_EAvsAA,SEAT_ABW,tan_SEAT_gender,tan_SEAT_EAvsAA,tan_SEAT_ABW,lau_SEAT_gender,lau_SEAT_EAvsAA,lau_SEAT_ABW,o_wi_bias_a_mean_desc,o_w_bias_a_mean_desc,r_wi_bias_a_mean_desc,r_w_bias_a_mean_desc,p_wi_bias_a_mean_desc,p_w_bias_a_mean_desc,o_wi_bias_a_median_desc,o_w_bias_a_median_desc,r_wi_bias_a_median_desc,r_w_bias_a_median_desc,p_wi_bias_a_median_desc,p_w_bias_a_median_desc,o_wi_bias_b_mean_desc,o_w_bias_b_mean_desc,r_wi_bias_b_mean_desc,r_w_bias_b_mean_desc,p_wi_bias_b_mean_desc,p_w_bias_b_mean_desc,o_wi_bias_b_median_desc,o_w_bias_b_median_desc,r_wi_bias_b_median_desc,r_w_bias_b_median_desc,p_wi_bias_b_median_desc,p_w_bias_b_median_desc,o_wi_bias_h_mean_desc,o_w_bias_h_mean_desc,r_wi_bias_h_mean_desc,r_w_bias_h_mean_desc,p_wi_bias_h_mean_desc,p_w_bias_h_mean_desc,o_wi_bias_h_median_desc,o_w_bias_h_median_desc,r_wi_bias_h_median_desc,r_w_bias_h_median_desc,p_wi_bias_h_median_desc,p_w_bias_h_median_desc,o_wi_bias_f_mean_desc,o_w_bias_f_mean_desc,r_wi_bias_f_mean_desc,r_w_bias_f_mean_desc,p_wi_bias_f_mean_desc,p_w_bias_f_mean_desc,o_wi_bias_f_median_desc,o_w_bias_f_median_desc,r_wi_bias_f_median_desc,r_w_bias_f_median_desc,p_wi_bias_f_median_desc,p_w_bias_f_median_desc,o_wi_bias_fb_mean_desc,o_w_bias_fb_mean_desc,r_wi_bias_fb_mean_desc,r_w_bias_fb_mean_desc,p_wi_bias_fb_mean_desc,p_w_bias_fb_mean_desc,o_wi_bias_fb_median_desc,o_w_bias_fb_median_desc,r_wi_bias_fb_median_desc,r_w_bias_fb_median_desc,p_wi_bias_fb_median_desc,p_w_bias_fb_median_desc,o_wi_bias_a_mean_norm,o_w_bias_a_mean_norm,r_wi_bias_a_mean_norm,r_w_bias_a_mean_norm,p_wi_bias_a_mean_norm,p_w_bias_a_mean_norm,o_wi_bias_a_median_norm,o_w_bias_a_median_norm,r_wi_bias_a_median_norm,r_w_bias_a_median_norm,p_wi_bias_a_median_norm,p_w_bias_a_median_norm,o_wi_bias_b_mean_norm,o_w_bias_b_mean_norm,r_wi_bias_b_mean_norm,r_w_bias_b_mean_norm,p_wi_bias_b_mean_norm,p_w_bias_b_mean_norm,o_wi_bias_b_median_norm,o_w_bias_b_median_norm,r_wi_bias_b_median_norm,r_w_bias_b_median_norm,p_wi_bias_b_median_norm,p_w_bias_b_median_norm,o_wi_bias_h_mean_norm,o_w_bias_h_mean_norm,r_wi_bias_h_mean_norm,r_w_bias_h_mean_norm,p_wi_bias_h_mean_norm,p_w_bias_h_mean_norm,o_wi_bias_h_median_norm,o_w_bias_h_median_norm,r_wi_bias_h_median_norm,r_w_bias_h_median_norm,p_wi_bias_h_median_norm,p_w_bias_h_median_norm,o_wi_bias_f_mean_norm,o_w_bias_f_mean_norm,r_wi_bias_f_mean_norm,r_w_bias_f_mean_norm,p_wi_bias_f_mean_norm,p_w_bias_f_mean_norm,o_wi_bias_f_median_norm,o_w_bias_f_median_norm,r_wi_bias_f_median_norm,r_w_bias_f_median_norm,p_wi_bias_f_median_norm,p_w_bias_f_median_norm,o_wi_bias_fb_mean_norm,o_w_bias_fb_mean_norm,r_wi_bias_fb_mean_norm,r_w_bias_fb_mean_norm,p_wi_bias_fb_mean_norm,p_w_bias_fb_mean_norm,o_wi_bias_fb_median_norm,o_w_bias_fb_median_norm,r_wi_bias_fb_median_norm,r_w_bias_fb_median_norm,p_wi_bias_fb_median_norm,p_w_bias_fb_median_norm
BERT-base,0.726708075,0.669254658,0.75310559,0.677795031,1.155729863,0.718078007,1.169634236,0.060134432,0.120838262,0.857315308,0.136748408,0.1911830661893853,1.027618129,0.023940925,0.083441608,0.0524371054617094,0.0563269477455585,0.1958762206593794,0.1570731628025929,0.1662450230764995,0.05046488591291387,0.0450815604963273,0.0489714027801765,0.2032317656247615,0.164428707767975,0.1736005680418816,0.057820430878295914,0.2497946686885457,0.0178071782139843,0.1759177117438949,0.2639340265971832,0.3424459997430177,0.36098851689699807,0.2983929572276409,0.0307911103251108,0.2245160002829901,0.3125323151362784,0.3910442882821129,0.40958680543609327,0.0154068256761829,0.0405248689702242,0.0031236841904758,0.1724843278294373,0.2847486093275295,0.25810567841398036,0.026346386200879,0.029585308445528,0.0140632447151719,0.1615447673047412,0.2738090488028334,0.24716611788928422,0.1302926768374301,0.0438862187102517,0.0691601103520482,0.1432125311672686,0.100926514742203,0.11175962450808108,0.1815450807086203,0.0951386225814419,0.1204125142232384,0.1944649350384587,0.1521789186133931,0.1630120283792712,0.4518939515423055,0.0290019203384186,0.1965388771551808,0.3849492668330185,0.6885520250200079,0.6368694371191417,0.6856563079188356,0.2627642767149487,0.4303012335317109,0.6187116232095486,0.922314381396538,0.8706317934956718,0.7109054945198539,0.7070156522360047,0.9592188206409428,0.9204157627841564,0.9295876230580628,0.8138074858944772,0.7109054945198539,0.7070156522360047,0.9592188206409428,0.9204157627841564,0.9295876230580628,0.8138074858944772,0.9650596238943075,0.6974577769917775,0.8911826669496568,0.9791989818029452,1.0577109549487795,1.07625347210276,0.9650596238943075,0.6974577769917775,0.8911826669496568,0.9791989818029452,1.0577109549487795,1.07625347210276,0.7658866235078589,0.821818318154266,0.7781697649935659,0.9537777770134792,1.0660420585115713,1.039399127598022,0.7658866235078589,0.821818318154266,0.7781697649935659,0.9537777770134792,1.0660420585115713,1.039399127598022,0.9872170110985656,0.9008105529713872,0.9260844446131836,1.000136865428404,0.9578508490033384,0.9686839587692164,0.9872170110985656,0.9008105529713872,0.9260844446131836,1.000136865428404,0.9578508490033384,0.9686839587692164,1.37588187182861,0.9529898406247233,1.1205267974414854,1.3089371871193232,1.6125399453063125,1.5608573574054463,1.37588187182861,0.9529898406247233,1.1205267974414854,1.3089371871193232,1.6125399453063125,1.5608573574054463
RoBERTa,0.841614907,0.830745342,0.832298137,0.8051242236024845,-2.379648619,0.761387173,1.170105502,0.028639739,-0.168062816,0.946248108,-0.01157222,-0.125884245,0.952789483,0.05953606,0.1759116,0.0645331815622463,0.0206932471971681,0.160689199683212,0.0682003822500942,0.2659997423583304,0.11128401322959103,0.0718887265276283,0.0280487921625501,0.1680447446485941,0.0755559272154763,0.2733552873237125,0.11863955819497307,0.1579660168451114,0.0215046296584309,0.0704875326902571,0.3917441965541536,0.6747916650973084,0.3857655884411805,0.2065643053842066,0.0701029181975261,0.1190858212293523,0.4403424850932488,0.7233899536364036,0.4343638769802757,0.0736500320739151,0.0094886030767866,0.1397026740592662,0.0129693520493936,0.4193941893760207,0.12098402015968479,0.0845895925986113,0.0014509574479094,0.1287631135345701,0.0020297915246975,0.4084546288513245,0.11004445963498866,0.1783964911043128,0.0379282374541455,0.0331732819289641,0.2172156124913148,0.0322981195108158,0.18909172092124538,0.229648894975503,0.0891806413253356,0.0180791219422259,0.2684680163625049,0.0835505233820059,0.2403441247924355,0.1660919648406362,0.169413715369057,0.2153238450425894,0.5869314000390358,1.3945680826613145,0.2028709025680253,0.3998543212171663,0.064348641007473,0.4490862014191195,0.8206937564155659,1.6283304390378446,0.4366332589445554,0.8278757815438096,0.7840358471787314,0.9240317996647752,0.8315429822316576,1.0293423423398935,0.8746266132111543,0.8278757815438096,0.7840358471787314,0.9240317996647752,0.8315429822316576,1.0293423423398935,0.8746266132111543,0.8732309720508733,0.7367695848641928,0.7857524878960189,1.1070091517599154,1.3900566203030702,1.1010305436469423,0.8732309720508733,0.7367695848641928,0.7857524878960189,1.1070091517599154,1.3900566203030702,1.1010305436469423,0.7076434171101266,0.7907820522608284,0.920996123243308,0.7942628012334354,1.2006876385600624,0.9022774693437265,0.7076434171101266,0.7907820522608284,0.920996123243308,0.7942628012334354,1.2006876385600624,0.9022774693437265,1.0353208253654482,0.8948525717152809,0.8237510523321712,1.0741399467524502,0.8892224537719512,1.0460160551823807,1.0353208253654482,0.8948525717152809,0.8237510523321712,1.0741399467524502,0.8892224537719512,1.0460160551823807,1.0900798851269409,0.7545742049172476,1.139311765328894,1.5109193203253404,2.318556002947619,1.12685882285433,1.0900798851269409,0.7545742049172476,1.139311765328894,1.5109193203253404,2.318556002947619,1.12685882285433
XLM-RoBERTa,0.828416149,0.810559006,0.833850932,0.784161491,-0.076315781,0.574333494,-0.090153145,-0.184426487,-0.250940214,0.278425768,-0.03831195,0.095367667,0.037302445,0.041921932,0.25189247,0.0033474330643719,0.040820640450746,0.1965175019944002,0.0999454420004013,0.2316447668426662,0.11128401322959103,0.0040081119010101,0.0481761854161281,0.2038730469597822,0.1073009869657833,0.2390003118080482,0.11863955819497307,0.1055178612825759,0.3602836276382125,0.1698619845805293,0.0274282155753264,0.0823035000844735,0.3857655884411805,0.1541161498216711,0.4088819161773077,0.2184602731196245,0.0760265041144216,0.1309017886235687,0.4343638769802757,0.0398110970828442,0.0003214033082309,0.0864909044286136,0.0352636659060457,0.1058947272641644,0.12098402015968479,0.0507506576075403,0.011260963832927,0.0755513439039174,0.0243241053813496,0.0949551667394683,0.11004445963498866,0.1073372688511019,0.227062212787854,0.0830685616955705,0.0022368629691386,0.0253367014603239,0.18909172092124538,0.158589672722292,0.2783146166590441,0.1343209655667606,0.0490155409020515,0.076589105331514,0.2403441247924355,0.2100533498395385,0.482024963411888,0.0270536045153754,0.025618318515716,0.00339698925787,0.2028709025680253,0.4438157062160686,0.7157873197884181,0.2067087518611546,0.208144037860814,0.2371593456344001,0.4366332589445554,0.7599951669171914,0.8041632404323094,0.9598601019759636,0.8632880419819646,0.9949873668242296,0.8746266132111543,0.7599951669171914,0.8041632404323094,0.9598601019759636,0.8632880419819646,0.9949873668242296,0.8746266132111543,0.8207828164883377,1.0755485828439744,0.8851269397862912,0.7426931707810883,0.7975684552902353,1.1010305436469423,0.8207828164883377,1.0755485828439744,0.8851269397862912,0.7426931707810883,0.7975684552902353,1.1010305436469423,0.7414823521011975,0.7809720458758108,0.8677843536126554,0.8165571150900875,0.8871881764482062,0.9022774693437265,0.7414823521011975,0.7809720458758108,0.8677843536126554,0.8165571150900875,0.8871881764482062,0.9022774693437265,0.9642616031122372,1.0839865470489891,0.939992895956706,0.8546874712919967,0.8822610357214593,1.0460160551823807,0.9642616031122372,1.0839865470489891,0.939992895956706,0.8546874712919967,0.8822610357214593,1.0460160551823807,1.134041270125843,1.4060128836981929,0.8969343157709292,0.8983696017705886,0.9273849095441746,1.12685882285433,1.134041270125843,1.4060128836981929,0.8969343157709292,0.8983696017705886,0.9273849095441746,1.12685882285433
DistilBERT,0.732142857,0.733695652,0.778726708,0.695652174,-0.27357092,0.458611332,0.767081249,0.057059712,0.048726087,0.750018512,0.163377412,0.17791655,0.811487419,0.05318399,0.013479697,0.0420692587062817,0.0819072001458723,0.0556013711734849,0.0273687700238937,0.1630506368013735,0.11912192688717915,0.0347137137408997,0.0745516551804903,0.062956916138867,0.0200132250585116,0.1704061817667556,0.1264774718525612,0.2102981500827339,0.1591871458366226,0.4680348521602281,0.3782627679545286,0.033043536135594,0.42973448691789906,0.2588964386218291,0.2077854343757178,0.5166331406993233,0.4268610564936238,0.0816418246746892,0.47833277545699426,0.0412642899359739,0.0975150461777082,0.0218588060347999,0.0235529319147801,0.0983142513759719,0.19706272539552505,0.0303247294112778,0.0865754856530121,0.0109192455101038,0.012613371390084,0.0873746908512758,0.18612316487082892,0.0337294557121298,0.1549607525505657,0.0036744715055454,0.0835484815005334,0.0314461570167167,0.12256202656258863,0.0849818595833199,0.2062131564217558,0.0549268753767355,0.1348008853717235,0.0826985608879068,0.17381443043377875,0.3769764073304282,0.2525326077411149,1.068992928543394,0.6688078988845669,0.0682016269116232,0.7085827896461463,0.6107387637069583,0.486294964117645,1.3027552849199242,0.902570255261097,0.1655607294649068,0.9423451460226764,0.7212733412752815,0.6814353998356909,0.8189439711550482,0.7359738299576696,0.9263932367829368,0.8824645268687424,0.7212733412752815,0.6814353998356909,0.8189439711550482,0.7359738299576696,0.9263932367829368,0.8824645268687424,0.9255631052884956,0.8744521010423845,1.18329980736599,1.0935277231602905,0.7483084913413559,1.144999442123661,0.9255631052884956,0.8744521010423845,1.18329980736599,1.0935277231602905,0.7483084913413559,1.144999442123661,0.8225577391200157,0.87880849536175,0.8031522552188417,0.8048463810988219,0.8796077005600137,0.9783561745795668,0.8225577391200157,0.87880849536175,0.8031522552188417,0.8048463810988219,0.8796077005600137,0.9783561745795668,0.8906537899732652,1.011885086811701,0.8605988057666808,0.9404728157616687,0.8883704912778521,0.979486360823724,0.8906537899732652,1.011885086811701,0.8605988057666808,0.9404728157616687,0.8883704912778521,0.979486360823724,1.3009643276167329,1.1765205280274196,1.9929808488296987,1.5927958191708715,0.8557862933746814,1.632570709932451,1.3009643276167329,1.1765205280274196,1.9929808488296987,1.5927958191708715,0.8557862933746814,1.632570709932451
ALBERT,0.720496894,0.677795031,0.761645963,0.672360248,-7.282704046,0.670350183,0.51287529,-0.005271987,-0.004319464,1.017140837,0.011600533,0.000733197,0.928471707,-0.005436404,-0.002249057,0.0672382421808615,0.0570895281951028,0.0928898242538694,0.2514552768987288,0.2595572265081427,0.10670999174671358,0.0745937871462435,0.0644450731604848,0.1002453692192515,0.2588108218641108,0.2669127714735247,0.11406553671209563,0.0160560771576496,0.4061259500476765,0.1800330361129377,0.2803348836075021,0.1804362120193968,0.28038296709123856,0.0646543656967448,0.4547242385867717,0.2286313246520329,0.3289331721465973,0.229034500558492,0.32898125563033376,0.0043032634776771,0.0095018438188031,0.1040027939663172,0.3492538683594703,0.1209628315756504,0.349998430789491,0.0066362970470189,0.0204414043434992,0.0930632334416211,0.3383143078347742,0.1100232710509543,0.33905887026479486,0.0580167693211249,0.057558692018004,0.1161551442389956,0.0463622609850099,0.203457738449074,0.0951103471687268,0.1092691731923151,0.1088110958891941,0.1674075481101857,0.0048901428861801,0.2547101423202641,0.14636275103991692,0.1036484594326394,0.3752204321997978,0.184774365949766,0.314763200919419,0.1651709996449648,0.38047130057838285,0.1301138969438906,0.6089827885763279,0.4185367223262961,0.5485255572959491,0.3989333560214949,0.6142336569549129,0.8305808421624248,0.8204321281766661,0.8562324242354328,1.014797876880292,1.022899826489706,0.8700525917282769,0.8305808421624248,0.8204321281766661,0.8562324242354328,1.014797876880292,1.022899826489706,0.8700525917282769,0.7313210323634115,1.1213909052534383,0.8952979913186996,0.995599838813264,0.8957011672251587,0.9956479222970004,0.7313210323634115,1.1213909052534383,0.8952979913186996,0.995599838813264,0.8957011672251587,0.9956479222970004,0.7855967126617189,0.7717916053652386,0.885296243150359,1.130547317543512,0.9022562807596922,1.1312918799735328,0.7855967126617189,0.7717916053652386,0.885296243150359,1.130547317543512,0.9022562807596922,1.1312918799735328,0.9149411035822604,0.9144830262791394,0.973079478500131,0.8105620732761254,1.0603820727102091,0.9520346814298621,0.9149411035822604,0.9144830262791394,0.973079478500131,0.8105620732761254,1.0603820727102091,0.9520346814298621,0.8203394608536652,1.2992083524861024,1.1087622862360706,1.2387511212057236,1.0891589199312697,1.3044592208646875,0.8203394608536652,1.2992083524861024,1.1087622862360706,1.2387511212057236,1.0891589199312697,1.3044592208646875
SpanBERT,0.707298137,0.588509317,0.541149068,0.548136646,-0.311344608,0.291658363,0.732148515,0.053913946,0.016367773,0.491721876,0.062342562,0.007492536,0.929422816,0.027022601,0.030994777,0.1320355835805068,0.0339633537341971,0.2384708565376438,0.1459646539396506,0.157924019505468,0.2410834617255937,0.1393911285458888,0.026607808768815,0.2458264015030259,0.1533201989050326,0.1652795644708501,0.24843900669097574,0.3306075446827833,0.1855055259858224,0.053335621574906,0.2770569703424433,0.1909287103904677,0.35925790976481353,0.3792058332218785,0.2341038145249176,0.1019339101140012,0.3256552588815385,0.2395269989295629,0.40785619830390873,0.0131570699140466,0.0627144335312613,0.088611732878453,0.1534839542985199,0.1213580177704009,0.1573893503971776,0.0240966304387427,0.0517748730065652,0.0776721723537569,0.1425443937738237,0.1104184572457047,0.14644978987248147,0.124850927033033,0.0902569440035088,0.0881531955485135,0.1359631298271957,0.0419607218632008,0.040727845563708676,0.1761033309042231,0.1415093478746989,0.1394055994197036,0.1872155336983858,0.093213125734391,0.0919802494348988,0.7033409374399378,0.3535397057921876,0.1213574259103229,0.4250482032692029,0.1298521280385609,0.6795610999981601,0.9371032938164678,0.5873020621687177,0.355119782286853,0.658810559645733,0.363614484415091,0.9133234563746901,0.8953781835620701,0.7293792462473662,1.0018134565192072,0.909307253921214,0.9212666194870314,1.004426061707157,0.8953781835620701,0.7293792462473662,1.0018134565192072,0.909307253921214,0.9212666194870314,1.004426061707157,1.0458724998885451,0.9007704811915844,0.7686005767806678,0.9923219255482052,0.9061936655962296,1.0745228649705754,1.0458724998885451,0.9007704811915844,0.7686005767806678,0.9923219255482052,0.9061936655962296,1.0745228649705754,0.7681363792699951,0.8440078827153031,0.8699051820624948,0.9347774034825616,0.9026514669544426,0.9386827995812194,0.7681363792699951,0.8440078827153031,0.8699051820624948,0.9347774034825616,0.9026514669544426,0.9386827995812194,0.9817752612941684,0.9471812782646442,0.9450775298096488,0.9928874640883312,0.8988850561243362,0.897652179824844,0.9817752612941684,0.9471812782646442,0.9450775298096488,0.9928874640883312,0.8988850561243362,0.897652179824844,1.6273288577262424,1.2775276260784922,1.0453453461966276,1.3490361235555075,1.0538400483248656,1.6035490202844647,1.6273288577262424,1.2775276260784922,1.0453453461966276,1.3490361235555075,1.0538400483248656,1.6035490202844647
DeBERTa,0.786490683,0.860248447,0.696428571,0.760093168,3.107247289,0.496304572,0.247295451,0.044199242,-0.061515917,0.010683903,-0.016716435,0.017025974,0.128420278,-0.010196359,0.072220575,0.011879722997122,0.0576508623462661,0.1271863020101517,0.1181734262128259,0.1572021902227925,0.005989254351066786,0.0045241780317399,0.0502953173808841,0.1345418469755337,0.1255289711782079,0.1645577351881746,0.01334479931644883,0.3964807881756435,0.2605858150988751,0.0927785718244671,0.139045652262676,0.1042408888094476,0.1730842506160507,0.4450790767147387,0.3091841036379703,0.1413768603635623,0.1876439408017712,0.1528391773485428,0.2216825391551459,0.0042338955171361,0.0070780917331244,0.0404403462811835,0.0947277690388145,0.0219279489591859,0.2742063280875351,0.0067056650075599,0.0180176522578205,0.0295007857564874,0.0837882085141183,0.0109883884344897,0.26326676756283895,0.1191113968005974,0.1423464929025296,0.0798457102205549,0.0461259660966391,0.0636869306238678,0.12856193296502783,0.1703638006717875,0.1935988967737197,0.1310981140917451,0.0973783699678292,0.114939334495058,0.17981433683621795,0.8054938699687804,0.5423189027993172,0.0598787820050839,0.2347546238628806,0.2107603865861267,0.2945091856975104,1.0392562263453105,0.7760812591758472,0.1738835743714462,0.4685169802394107,0.4445227429626568,0.5282715420740405,0.7514628769844413,0.7056917376352971,0.890528901991715,0.8815160261943892,0.920544790204356,0.7693318543326301,0.7514628769844413,0.7056917376352971,0.890528901991715,0.8815160261943892,0.920544790204356,0.7693318543326301,1.1117457433814053,0.975850770304637,0.808043527030229,0.8543106074684379,0.8195058440152094,0.8883492058218125,1.1117457433814053,0.975850770304637,0.808043527030229,0.8543106074684379,0.8195058440152094,0.8883492058218125,0.7855273447011779,0.7742153574509173,0.8217337954652253,0.8760212182228563,0.8032213981432277,1.0554997772715768,0.7855273447011779,0.7742153574509173,0.8217337954652253,0.8760212182228563,0.8032213981432277,1.0554997772715768,0.9760357310617328,0.999270827163665,0.9367700444816904,0.9030503003577744,0.9206112648850032,0.9854862672261632,0.9760357310617328,0.999270827163665,0.9367700444816904,0.9030503003577744,0.9206112648850032,0.9854862672261632,1.729481790255085,1.4663068230856218,0.8641091382812207,1.1587425441491852,1.1347483068724311,1.218497105983815,1.729481790255085,1.4663068230856218,0.8641091382812207,1.1587425441491852,1.1347483068724311,1.218497105983815
ELECTRA,0.583850932,0.746118012,0.535714286,0.683229814,0.191102247,0.472958428,0.12670879,0.003098332,-0.049710624,0.35632263,-0.122175877,-0.159686003,0.931747394,0.035246142,0.096136258,0.0151658188368002,0.0438899237038786,0.184911592847485,0.1674649160252951,0.2413600829671183,0.3609691356893274,0.0225213638021822,0.0365343787384966,0.192267137812867,0.1748204609906771,0.2487156279325003,0.36832468065470947,0.1943642787407598,0.1114310320751109,1.1871824680036234,0.1196057924129477,0.4844810010104593,0.16628938599619358,0.242962567279855,0.0628327435360157,1.2357807565427188,0.1682040809520429,0.5330792895495545,0.2148876745352888,0.0137433682822906,0.0409276925170144,0.1287532800663164,0.1522631159411085,0.1495216982663069,0.24986830714749142,0.0246829288069867,0.0518672530417105,0.1178137195416203,0.1413235554164124,0.1385821377416107,0.23892874662279528,0.0495305276213369,0.1901392764572874,0.1819394676793874,0.0230713659352812,0.2147963769105166,0.17447483809223796,0.100782931492527,0.2413916803284775,0.2331918715505775,0.0743237698064713,0.2660487807817068,0.22572724196342808,0.1553411047941979,0.3799779325031581,0.0272372277477757,0.0638903371434858,0.2033251410146763,0.05069978765280958,0.389103461170728,0.146215576126628,0.2609995841243058,0.1698720192330443,0.4370874973912064,0.1830625687237205,0.7785084188183635,0.7194526762776846,0.9482541928290484,0.9308075160068584,1.0047026829486816,1.1243117356708907,0.7785084188183635,0.7194526762776846,0.9482541928290484,0.9308075160068584,1.0047026829486816,1.1243117356708907,0.9096292339465216,0.6038339231306509,1.902447423209385,0.8348707476187096,1.1997459562162212,0.8815543412019554,0.9096292339465216,0.6038339231306509,1.902447423209385,0.8348707476187096,1.1997459562162212,0.8815543412019554,0.7675500809017511,0.7403657566670273,0.9100467292503582,0.9335565651251504,0.9308151474503488,1.0311617563315332,0.7675500809017511,0.7403657566670273,0.9100467292503582,0.9335565651251504,0.9308151474503488,1.0311617563315332,0.9064548618824724,1.0470636107184228,1.0388638019405227,0.8799957001964166,1.071720711171652,1.0313991723533733,0.9064548618824724,1.0470636107184228,1.0388638019405227,0.8799957001964166,1.071720711171652,1.0313991723533733,1.0793290250805023,0.5440099877831465,0.9512251480340804,0.8600975831428188,1.127313061300981,0.873288132633495,1.0793290250805023,0.5440099877831465,0.9512251480340804,0.8600975831428188,1.127313061300981,0.873288132633495
BioBERT,0.819875776,0.805900621,0.811335404,0.788819876,1.754479244,0.498955967,-0.107476204,0.036437389,-0.13451759,0.718823472,0.050306318,-0.004910553,0.783676331,0.05834484,0.150586152,0.0166449832286434,0.0077257578284859,0.1792224940848915,0.1336179174024763,0.1235489496459144,0.1237492596018619,0.0240005281940255,0.0150813027938679,0.1865780390502736,0.1409734623678583,0.1309044946112965,0.13110480456724394,0.3946016579441586,0.0156462446775546,0.455347080605423,0.2711371239102977,0.0935146716296978,0.49025357720424345,0.4431999464832538,0.0329520438615406,0.5039453691445183,0.3197354124493929,0.142112960168793,0.5388518657433387,0.0125109898774244,0.0159389509968752,0.0162265710259474,0.0695517868392875,0.0402304249934231,0.07789417245202479,0.0234505504021206,0.0049993904721791,0.0052870105012513,0.0586122263145914,0.0292908644687269,0.06695461192732866,0.1342231006548289,0.1298977253118322,0.1733164905047753,0.0866684653608741,0.0360480459491775,0.11896548153650721,0.185475504526019,0.1811501291830223,0.2245688943759655,0.1379208692320642,0.0873004498203676,0.17021788540769733,0.7258731516481276,0.1641572402744533,0.8689918484977119,0.4409404613291465,0.1170852395270469,0.6851214317940937,0.9596355080246576,0.0696051161020767,1.102754204874242,0.6747028177056766,0.350847595903577,0.9188837881706238,0.7799875832102068,0.7710683578100492,0.9425650940664548,0.8969605173840396,0.8868915496274777,0.8870918595834252,0.7799875832102068,0.7710683578100492,0.9425650940664548,0.8969605173840396,0.8868915496274777,0.8870918595834252,1.1098666131499204,0.6996187105282072,1.170612035811185,0.9864020791160596,0.8087796268354597,1.2055185324100053,1.1098666131499204,0.6996187105282072,1.170612035811185,0.9864020791160596,0.8087796268354597,1.2055185324100053,0.7687824593066173,0.797232400180917,0.7975200202099892,0.8508452360233293,0.8215238741774649,0.8591876216360665,0.7687824593066173,0.797232400180917,0.7975200202099892,0.8508452360233293,0.8215238741774649,0.8591876216360665,0.9911474349159642,0.9868220595729676,1.0302408247659107,0.9435927996220096,0.8929723802103129,0.9758898157976426,0.9911474349159642,0.9868220595729676,1.0302408247659107,0.9435927996220096,0.8929723802103129,0.9758898157976426,1.6498610719344322,0.7598306800118513,1.7929797687840163,1.3649283816154512,1.0410731598133516,1.6091093520803983,1.6498610719344322,0.7598306800118513,1.7929797687840163,1.3649283816154512,1.0410731598133516,1.6091093520803983
SciBERT,0.663043478,0.651397516,0.663043478,0.635869565,-1.180932425,0.605824917,0.628203103,0.079603416,0.036044117,0.534148396,0.052933861,0.213494116,0.727769745,0.044118914,0.17661534,0.0130960428266061,0.0522261747274863,0.0513176035840301,0.0051211615440008,0.139362220102203,0.1200107531208221,0.0057404978612241,0.0448706297621043,0.0586731485494121,0.0022343834213811,0.146717765067585,0.12736629808620414,0.3309431982989904,0.0014233496568318,0.4633701658238106,0.0176949607670514,0.5745172170195069,0.19315538196016202,0.3795414868380856,0.050021638195927,0.5119684543629058,0.0662932493061466,0.6231155055586021,0.24175367049925722,0.0775946727444348,0.0085153639526948,0.1168033718895781,0.2567147711249853,0.5012325154751331,0.02343965853505159,0.088534233269131,0.0024241965720013,0.1058638113648819,0.2457752106002891,0.490292954950437,0.012500098010355454,0.0577707006942986,0.0595990766993984,0.097118375612175,0.0947167186297791,0.2313279510763651,0.06694172163091894,0.1090231045654888,0.1108514805705885,0.1483707794833652,0.1459691225009692,0.2825803549475553,0.11819412550210906,0.788986519563857,0.0160716566498723,0.7668106968667969,0.0032191617015795,0.9332179984824448,0.1656296079830586,1.022748875940387,0.2176906997266577,1.000573053243327,0.2305431946749505,1.166980354858975,0.3993919643595887,0.7502465571549571,0.7111164252540769,0.8146602035655934,0.7582214384375624,0.9027048200837664,0.8833533531023854,0.7502465571549571,0.7111164252540769,0.8146602035655934,0.7582214384375624,0.9027048200837664,0.8833533531023854,1.0462081535047525,0.7166883048625937,1.1786351210295725,0.7329599159728133,1.2897821722252687,0.9084203371659239,1.0462081535047525,0.7166883048625937,1.1786351210295725,0.7329599159728133,1.2897821722252687,0.9084203371659239,0.7036987764396069,0.7898088131367366,0.8980968210736199,1.038008220309027,1.282525964659175,0.8047331077190933,0.7036987764396069,0.7898088131367366,0.8980968210736199,1.038008220309027,1.282525964659175,0.8047331077190933,0.914695034955434,0.9165234109605338,0.9540427098733104,0.9516410528909144,1.0882522853375003,0.9238660558920543,0.914695034955434,0.9165234109605338,0.9540427098733104,0.9516410528909144,1.0882522853375003,0.9238660558920543,1.7129744398501616,0.9079162636364324,1.6907986171531015,0.9207687585847252,1.8572059187687493,1.0896175282693632,1.7129744398501616,0.9079162636364324,1.6907986171531015,0.9207687585847252,1.8572059187687493,1.0896175282693632
