APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"10728925,10644738,10713291,10727192,10044028","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8541847,8336923,8732625,9123843,8890180","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8499174,8153835,8331617,8513990,8876689","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10641819,10430544,10650877,10430514,9928385","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10746147,10216255,9907503,10555519,10017961","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10537743,10536567,9325589,9188181,9483792","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8100298,8467802,8690240,7664619,7919183","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9828646,8975583,9186941,9604763,9391174","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9353470,8919982,9343073,9335251,9335250","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8839145,9040178,9040164,9040174,9063988","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10003930,9205191,10003928,10003929,10006150","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10694213,9961761,9960291,9960292,9960293","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9146143,9896669,9921224,9921226,9921227","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9302630,9282372,9123502,9123488,9123498","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8380612,8475567,8306120,8314023,8380066","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7798062,8011175,7613471,7608714,7612084","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7666892,7839492,7664511,7666932,7667260","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10551296,9923517,10704736,10624283,10574601","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"9774232,10244881,10240469,10240632,10241363","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8605301,8988580,8605628,8605657,8603715","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8431983,8551682,9010966,8607976,9211357","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7677822,8118274,7911174,7919963,7845606","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10704599,10704609,10705800,10705796,10705788","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10372955,10130485,9684606,9660552,9512284","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9782897,9354433,9353790,9354450,9353793","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9767005,9524800,10238906,10238907,10238908","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8566312,8565991,8724343,8725571,8565628","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9929918,10020393,8335387,8335417,8233772","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9067244,9320708,9320709,9320707,9320704","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9491912,9961457,9565687,10177830,9320071","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9318534,9537514,9526492,9526491,9518900","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9477549,9064136,9064758,9268729,9268733","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8713327,8711698,9117803,8360283,8360681","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10413034,9927973,10165449,9753104,9597601","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10217030,10091323,10250532,10213689,10684692","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9152898,9154487,9334045,9320966,9344529","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8410439,8518235,8870288,8856127,8868913","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10731789,10731905,10399721,10515459,10598626","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9672532,9468348,9468343,9462624,9468349","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10374018,9748978,9748976,9748974,9748973","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"8758050,9932272,9001630,9001462,9001756","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9931948,9932631,9929063,9929365,9930378","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9309081,9193112,9406628,9742996,9985616","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"7691833,7691405,7940507,7893813,7691838","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9268705,9268704,9226030,9226035,9223649","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9615701,10132459,9930470,9930471,9930472","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8459703,8460323,8897162,8897165,9107982","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10630593,10631646,10707213,10740364,9054673","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"10133807,10256062,10049619,10372177,10470342","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10692561,10692559,10319778,10319759,10318464","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10586094,10569619,10557171,10348223,10347760","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9514738,8848723,9514730,9514737,9514746","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8432009,8244145,8828159,8828160,8792844","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"9385159,9533194,7624178,7615583,7555939","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8915479,8314023,8475561,8532644,8380612","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8360683,8360479,7656621,7959775,7959774","None,None,None,None,None","None,None,None,None,None"
