APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8959886,9103741,9172674,9174325,8962105","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"7626014,7626008,7595042,7617099,7576119","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8309054,7757961,7921522,7936307,7928912","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10697357,10275726,10663385,10662502,10655614","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9533194,9385159,9536455,9916559,9011718","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"7880152,7886517,8090372,7880151,7880150","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7940064,7638021,8264290,8504815,8311650","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8015895,8015851,8015897,8013680,8015841","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10251208,10018652,10023212,10023214,10023958","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8197900,8197869,8197867,8204945,7741639","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9293207,8848983,8850273,8849255,8849039","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9002035,8725128,8988556,9066634,9012085","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9696245,9733765,9913388,9889819,9889817","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9841344,9201285,9404935,9404929,9404934","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10388082,10183172,10642789,10642790,10124290","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7876956,8033151,8018052,8004945,8011175","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8856283,8702454,9265490,8867550,9124887","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"8232157,8429436,7643632,7846711,7905270","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8599512,8318269,8152529,8145524,8147921","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"10490425,10680567,10490327,10326762,10326565","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8853813,8896067,8729755,8728432,8729765","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"10492604,10326762,10326565,10324121,10324086","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9902839,9902838,9902788,9627725,10441646","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,9529618,9376394,10266378","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10290746,10661785,10661792,10661799,10683191","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9767652,9767650,9767011,9767010,9767009","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8565628,8566312,8565991,8724343,8725571","None,None,None,None,None","None,None,None,None,None"
