APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8123355,8139175,8309054,8322632,7757961","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8732625,9123843,8721480,8793915,8247968","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8532796,9206374,8336903,8333365,8210781","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10650877,10641819,10430544,10430514,10207226","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10598623,10555519,10017961,10059105,10059131","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"8090371,8090372,7897035,7880935,7880936","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7691929,8085944,7784269,7785354,8137238","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"7676020,7680208,7674024,7670340,7678587","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10675511,10020808,10020812,10020813,10020815","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7929526,8145360,7929527,8112468,8112469","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9782700,9782699,10003928,9205193,9781464","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8545778,9244789,9233086,9262210,9189721","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9751660,9482280,9484402,9482284,9484496","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10174614,10633321,10613969,10613980,10613984","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8695291,8479319,8532644,8380612,8380605","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8004982,7806452,7622082,7612084,7608714","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7708527,7941940,7941950,7944033,7923947","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"8307330,7637487,8212117,8232157,8501832","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8921226,9306882,8919422,8703980,8703891","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9925838,9774253,9551002,9551003,9552222","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8729741,8843569,8452135,8656090,8840205","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9637861,10242772,10469691,9978061,9979867","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9627727,9627276,10441646,9627418,9627577","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10018841,9856802,8722121,8876643,10738667","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8215156,8728213,8727536,8728211,8715790","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10595523,10134213,10158386,10158385,10134240","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8725037,8530140,8721302,8368503,8368174","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10703455,10493566,9593334,9750268,9750270","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10712148,10712153,10712152,10712151,10712150","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8975055,9126612,8629791,8442587,8812012","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10307278,10543752,10542354,10542346,10542343","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9831543,10205060,10655524,9966987,10450885","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8360507,8360260,8359770,8359772,8359773","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8956917,8958950,9118828,9132665,9122274","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"8050443,8050352,8754868,9549134,9095920","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8309030,8323227,8182859,8183361,8183844","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"9323177,10057935,9989770,9989771,9989773","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"8935925,9116944,8932846,8929133,8927066","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8302429,8500162,8466279,8493984,8465819","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"9605464,9605465,9908145,9908143,9605468","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10037760,10031380,10037854,10037968,10491974","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8538326,8539738,9129488,9129529,8540364","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8116009,8114159,7681307,7924168,7924167","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8564799,8851226,8448744,8565015,8565019","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9968924,10633173,10403593,10427219,10427336","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"10800499,10800565,10800506,10800507,10800560","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8525115,8528514,8520172,8531128,8520175","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"8402948,7943139,7847869,7938487,7938520","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9044624,9338254,9149286,9117248,9709325","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8330246,7616961,8150047,7938718,8144938","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10557171,10343347,10347760,10348223,10569619","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9751710,9753823,9753821,9753815,9753813","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"10467072,10466686,8087592,8087578,8104246","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"8114029,8321526,8114132,7910620,7903988","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9984287,9080334,9729520,9729519,9323320","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"7649278,8168054,8168049,8168048,8168046","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"8501135,8716654,8512639,8501130,8515274","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8532836,8045719,8045893,8045892,8045891","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8725226,8885883,9320021,8489410,9128040","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8478035,7986447,8917622,7986397,7985330","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"7892537,8365071,8060566,8071638,8065523","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"10712148,10712149,10712150,10712151,10712152","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"7930612,8380900,7868750,8131018,8144398","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"10728439,10064192,10245275,9537273,8991370","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"8367889,8369767,9970999,10263907,10433227","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"7670344,7640777,7901503,7805577,7918923","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"10625154,10450631,10490613,10492816,9837677","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9763351,9754828,9750770,9750771,9751857","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"10136016,10137793,10137796,10137799,10137800","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9754720,9753822,9753815,9753813,9753097","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"9737951,9737952,9737948,9730500,9357648","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"8530046,8933610,8933600,8723687,8308878","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"8758050,8797263,8794123,8796585,8798404","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"7837305,7760586,7666974,7591711,7569019","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"8664235,8737541,9117955,9098656,8903770","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9193746,9560705,9337097,9339637,9355575","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10290849,10693151,10683209,10683211,10683213","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"10169583,9537710,9506823,9537708,9506826","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"7936299,7763625,7763765,7763817,7763984","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"9870157,9870338,10695955,10695960,10695963","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"8840243,8548343,8723402,8723400,8723393","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"10666233,9552433,8737743,9749887,9084924","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"10427408,10242787,10427410,10427413,10019093","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8523445,8291433,8118202,7931855,8118229","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"8067069,7890932,8138802,7895699,7906698","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"9124628,9544766,8793021,8793020,8793023","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"10075866,9917267,10310689,10310690,10310692","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"8723735,8554582,8723733,8556788,8556760","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"7688822,8061597,7809508,8078072,7827965","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"9329508,8882620,9130282,9130290,9130285","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"9022397,8892604,9433601,9673609,9223662","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"8121761,8144563,7921792,7882118,7884735","None,None,None,None,None","None,None,None,None,None"
