APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9767857,10208941,9936066,9962481,9576667","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8925858,8336923,8732625,8721480,8793915","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8079186,7759365,8374608,8319440,8139122","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9565384,9695908,9928385,9421907,10652347","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10643941,10653995,10434857,10435518,10453756","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10709636,10592780,8703019,8703020,8381100","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10544320,10130683,10322155,10360627,10441141","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9658412,9361621,9900737,9900738,9658416","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9894579,10168185,10016836,10018101,10018872","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9962092,10578704,10210397,10171851,10598566","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9205080,9205191,10003928,10003929,10003930","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8897349,8441342,9066636,8988564,9102061","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8587445,8516886,8707250,8073856,8074191","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"7681099,8153648,7677333,7666251,7939058","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10197344,9658441,9526088,9524992,8318916","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7798062,7612689,7608737,7638665,7637363","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"9607557,9821172,10077518,10077521,9607558","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9654409,10101619,9858268,9838705,10468080","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8304914,8114182,8094448,8122386,7738830","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"7906825,7634439,7882728,8270225,8266799","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9751349,9959983,9119619,8991395,8991043","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7780406,7917389,7628423,7677822,7911174","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9483217,9482979,9482608,10190844,9995435","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,8539587,8911793,8883420","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10604394,10436133,9354477,9355168,9352830","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9753672,9753662,9753619,9752938,9929586","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8919827,9134823,8384740,8918703,8385088","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10296363,10670199,10451808,9590264,9995019","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10459581,10459584,10684010,10684021,10288582","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8208003,8232163,7805185,7804336,7805150","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9060558,8462330,7645742,8462331,8462328","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"10015256,9535290,9769005,9768431,9321236","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7797933,7798326,7798339,7939689,7794230","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8368840,8532795,8367812,8370230,8518215","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10054384,10056083,10056107,10056153,9821365","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8146167,8319431,8653603,8016853,7654129","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8705846,9038249,9263887,8843779,8518235","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"7643794,7682983,7931241,10842106,10183351","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"7936261,7914339,7929510,7930512,7940837","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"8507238,8055035,7903621,7902956,8507260","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10624351,10617370,10437135,10436554,10667123","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9546414,9336162,9546410,9103568,9098341","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8033503,8033599,8031017,8033543,8032676","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8711423,8413975,8693975,8868954,9108891","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8898936,8496713,8490301,8521077,8391318","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9274846,8968764,9174040,8976788,8974745","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8528514,8460350,8459895,8460204,8458449","None,None,None,None,None","None,None,None,None,None"
