APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8962105,9103741,9174325,9172674,9121688","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9338933,8732790,8732625,8721480,8793915","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8912671,9670111,9457433,9669066,9669041","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9566831,9422153,9566832,9856244,9565385","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10746147,7898858,8111778,7898852,7898851","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"8754186,8912367,9519544,9293252,9101967","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10322155,10360627,10441141,10544320,10570305","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"10447530,10447463,10544753,10447429,10548751","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10559603,10724896,10727503,10711291,10721954","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9377237,9564110,9376998,9700651,9720882","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10006152,9562023,9548545,9548544,9562025","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9637673,9989832,9939013,10242772,9637861","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9451946,9356867,9356869,9356872,9457245","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10350586,10056070,10350585,10544315,10544317","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9526088,9524992,9658441,10197344,10617940","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9452090,9901565,9229560,9072287,9078754","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7683010,7667960,7683834,7667163,7683827","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9844531,9878744,10543729,10186853,9970386","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7741453,7738830,8136058,8322023,8298230","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8802882,9197309,8990861,8986799,8990494","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9747383,9623982,9935976,7885322,7880871","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7919259,7914219,8128696,7672396,8142026","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9627377,9627278,9627419,10441646,9627727","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,10519082,10518914,10707097","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8326083,8546369,8536275,8546370,8546375","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9091431,9718083,9320784,9283227,9283317","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8556760,8725040,8552312,8554953,8555728","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9339683,9183807,10205034,9750263,10252035","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9705809,9306216,9144252,9306213,9306215","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9487321,9319995,9869047,9320128,9559620","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9960555,9730475,10450248,9097289,9517894","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"10015256,9535290,9562053,9769005,9768431","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7959907,8360276,8360477,8360476,8360475","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10413034,9927973,10165449,9753104,9597601","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10375377,10533805,10312015,10334476,10358484","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9597601,10413034,9927973,10165449,9753104","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8681332,9306758,8330361,8385808,8385852","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"7931241,7643794,7682983,10828978,10754481","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"9058988,9254599,9257291,9262296,9257292","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"9358335,9194247,10200875,10148796,10051557","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9738570,10145316,9738177,9737274,9737247","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"8726766,9114408,9114407,9114398,9313016","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9193112,9309081,10630593,10631646,10707213","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"9521380,9521378,9534091,9520067,9428444","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9823381,9975697,9948568,9939445,9936155","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"8047404,8147759,8048469,8048318,8049777","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8520175,8520161,9114402,9114409,9114408","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"8033991,8538772,8027518,8027520,8034131","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"7849065,7858265,7631137,7630537,7629122","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8734648,7938718,8545225,8330246,8379002","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10347760,10586094,10569619,10557171,10348223","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"8092612,7903870,7925614,8100405,8100406","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"10376790,10202544,10045652,8104246,8106367","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"10366763,10054488,10557164,10234201,10722847","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"10451723,10451722,10626809,10626807,10612117","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"7959911,8360480,8168032,8167975,8167974","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"9673658,9511733,9286399,9287852,9287824","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"10697307,10696256,10435509,10409825,10409793","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8368195,8874272,8724107,8550814,9319349","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"9117861,9462040,9459829,9683777,9674383","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8262002,8365258,8365248,8365249,8365250","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"7848533,7912418,8136500,7640704,7582243","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"9969511,9548712,9970598,9732558,9391514","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"9755115,9923712,10315914,10313728,10810993","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10383697,9575577,10406885,10425373,9902280","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"8277428,8075528,8637907,8636392,8663177","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"8063543,7759467,7759483,8063540,7937006","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9686209,9794018,9772547,9786823,9787418","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"9926422,9926972,9921560,9921561,9921562","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9770738,9770759,10231026,10231025,10231024","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"9533890,8951512,9324029,9114642,9747330","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"9313018,10166939,9313064,9929040,9929041","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"8851500,9269130,8711845,8712256,8712022","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"9140557,8531312,7846264,7846059,7846716","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"8136616,8118432,8122371,8118973,8118053","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9194192,9347270,9337386,9347271,9336634","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"9443253,9645067,9657043,9657039,9657038","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"10598209,10208490,10206275,10171919,10160907","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"9167130,8755266,9160664,9166797,9169521","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8380728,7982609,7982961,7982962,7975890","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"8514610,8335406,8335408,8514609,8229227","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"8919722,8391950,8530163,9119535,8784175","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"10707894,10339955,10391534,10228524,10649421","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"7933501,7932540,8523444,8118229,8118220","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"10677598,10429878,7715124,7921619,7934564","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"7919509,7694378,7881980,8127697,7651392","None,None,None,None,None","None,None,None,None,None"
