APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8300031,8511846,8074774,8152223,8262208","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8925858,9338933,8890180,9123843,8721480","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8110379,7762619,7921800,7689895,7689901","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9154487,9152898,9153169,9344529,9320966","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9907503,10017961,10059105,10059131,10598623","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9697872,9329493,9329495,9333444,9333443","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8926581,8255151,8255149,8541795,8538760","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9269172,8879032,8868937,8848351,8919863","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10442418,10020813,10019407,10019408,10019460","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7992460,8197875,7555392,7558266,7551996","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10475126,10692632,10692636,10692639,10250428","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8902120,8310511,9049480,9069805,9069797","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9745323,9572427,9570703,9570686,9572407","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9393240,10075859,10078810,10078811,10078812","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8475566,8154082,8380609,8381420,8381418","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8251938,8081955,8081370,8081289,8081465","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7924977,8034796,7694283,7694357,7694286","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"8758050,7903194,7916426,7727520,7727339","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"9293133,9087048,8862198,8867051,8743831","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9773111,10228025,10229453,10229469,10231192","None,None,None,None,None","None,None,None,None,None"
