APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"10461105,10250563,9786826,9612814,8877436","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8105515,7908879,8301579,8307332,8487420","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"7923473,8034144,8035614,7938209,7780278","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9001684,9276547,9282384,9697743,9698245","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10059131,10598623,10693345,10216255,9907503","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9187752,9698416,9333444,9333443,9333442","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8534049,8154990,8339429,8333396,8145493","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8519011,8519816,8999126,9050849,9233920","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10260443,10242079,10242883,10242882,10242881","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7992460,7551991,7551990,7551992,7555392","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9267077,9267075,9750569,9706083,9706082","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9002034,9244791,9189723,9233081,9213367","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9568382,9450428,9570669,9568426,9967851","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9393659,9831034,10067499,10067500,10075850","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8150114,8380066,8380612,8380605,8380609","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8638041,8838835,8838837,8838838,8903982","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10456128,10127119,10704049,10264960,8755887","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"7674704,7683013,7678962,7668382,7685277","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7680230,7920814,7680243,7920822,9938407","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9137977,9698375,9700686,9700153,9699507","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8644947,8330544,8456143,8729741,8657324","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8867004,8867550,9124887,9102130,9265490","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10433111,10609902,9662783,9285910,9284234","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10630286,10405044,10089077,10256750,8876643","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"7835673,7917509,7837704,7837705,7837707","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8892715,9093028,9266288,10457675,10454558","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9122272,9130073,8959104,8958971,8958982","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10731577,10731559,10731527,10730513,10729243","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9067244,8846543,9067247,9067248,9320708","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8274637,8277886,8303232,8179494,8179569","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10534779,10307474,10307482,10532202,10532212","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8527771,8535751,8261637,8261836,8911299","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8135465,8360682,8168034,8168035,8168036","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8966139,9856256,8965758,9293665,9145390","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10469898,7623169,7812258,8115664,8116354","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8183722,8323227,8311636,8307316,8309062","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8910627,9088362,9088361,9095163,9114007","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"7682983,7643794,7931241,9568053,9450090","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8881327,8736035,10534936,10652615,7935208","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"9717898,10205102,10656235,10000122,10439732","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"8758050,8712256,8851500,9471780,9433593","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9477918,9476533,9554643,9554601,9554639","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9309081,9193112,10747205,9985616,10202669","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"10599207,10435037,10435039,10435042,10435212","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8037186,8442374,8442358,8447088,8465808","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"10215246,9482280,10215250,10215248,10215247","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8722354,8722869,8722870,8722867,9114399","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"7943932,7853435,7855443,7855234,7855084","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9385249,9383531,9698354,9766828,9768496","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"8150047,8379002,8144938,8144939,7616961","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10569619,10586094,10557171,10348223,10347760","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9054067,9266785,9267084,9266784,9267075","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"10089669,10682478,10844668,10461977,10482408","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"7921522,8128683,8309144,8309052,8309054","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8380066,8150114,8725468,8725471,8725470","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8167986,8360282,8168034,8168035,8168036","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"8819920,9220717,8819856,9444338,9413975","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8377492,8738200,8509011,8509012,8501010","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"7654129,7901634,7896848,7631353,9015857","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8291408,8089308,8465819,8468988,8089346","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"7961849,8173780,7933570,7940994,7917351","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"8664185,8079051,8136500,7917330,7869255","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"10512719,10692678,8382518,8121504,8130687","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"10049092,10048321,10127682,10135131,10145058","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10491974,10374361,10636910,10624857,10434342","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"8043572,8376769,8377682,8375155,8377683","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"8321033,7891276,8068841,8067079,8067154","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"9353500,9771487,9340220,9562351,9769738","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"9542622,10145684,10144455,10144456,10145677","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9325407,9753824,9753822,9753821,9753815","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"8501646,8127848,8432355,8698446,8712537","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"10644944,10710201,10631693,9571053,9889818","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"9561817,9562410,9554177,9560629,9561826","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"9567193,9382734,9382932,9381286,9382096","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"10263265,10200508,10473543,10407935,10598105","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9567509,9567936,9337096,9368956,9337097","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"8377571,8378801,7925430,7925427,7925426","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"7925705,7925709,7925707,7925706,7925703","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"8549277,8543766,8545670,8543644,9115714","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8381542,8545712,8540379,8545109,8545553","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"9257892,10137978,10139040,10139042,10139043","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"8738707,9552433,8911854,9145291,9143830","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"10339955,10707894,9352233,9522144,9177967","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"9142795,9142940,9142825,9140446,9141067","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"8523175,8111477,8380345,9087856,9130493","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"10659119,10022080,10441315,10221502,9865577","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"10075864,9917266,10075852,10534685,10534684","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"9753104,10413034,10165449,9597601,9927973","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"9576147,10251962,10251240,10251239,10019351","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"9402327,9402324,9402323,9402325,9402326","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"9316525,9088360,9114013,9088365,9313779","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"8450232,8828198,8829844,8838133,8829847","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"10006880,10413850,10194494,9812381,10626760","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"8617223,9000120,8509163,9213339,8794412","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"8318381,8466375,9055778,9042419,9041666","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"8355484,8355616,8358286,8727801,8355227","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"9828646,8554494,8782592,9391174,9604763","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"8134787,8121583,7942231,7942233,7942234","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"8021044,8090494,8081095,8081094,8081093","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"8605707,8605359,8605429,8793095,8813526","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"7688676,7665413,7673938,10649829,8402722","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"10330584,10376779,9930311,10186749,10144440","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"9623982,9935976,9747383,10235566,10227320","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"10459662,10599358,10599360,10599365,10459661","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"9220717,9634846,8816766,9040080,8819763","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"10479165,10700877,10314540,8701389,8704199","None,None,None,None,None","None,None,None,None,None"
9222148,f,w,"9222148,9432540,7780278,10233981,9789289","None,None,None,None,None","None,None,None,None,None"
9674467,m,w,"9520140,9537569,10179387,10451849,9517421","None,None,None,None,None","None,None,None,None,None"
9273611,m,w,"10815392,10815147,10292992,10064152,9924195","None,None,None,None,None","None,None,None,None,None"
10480740,m,w,"8055044,8247181,8509740,8507252,8508276","None,None,None,None,None","None,None,None,None,None"
10361543,f,h,"9197989,9319723,9319722,9337429,9337432","None,None,None,None,None","None,None,None,None,None"
