APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9781767,9789929,9807677,9808185,9809019","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"7664378,7672283,7664365,7867439,7684826","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8701389,8704199,9081240,8441279,8862525","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10641819,10430544,10430514,10650877,10544770","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10059105,9907503,10555519,10017961,10059131","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9697871,9187750,9329493,9940786,9940787","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8333396,8339429,8534049,8154990,8145493","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"10468020,10009332,10229378,9753568,9496938","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"10019398,10442413,10248354,10242886,10242885","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7742612,7558266,7551992,7551990,7847078","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9750580,9514737,9514739,9514748,9514726","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10694213,10454984,10427466,10427468,10454978","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9982105,9570692,9570686,9570703,9572427","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10064075,9393236,9393833,9393653,9393652","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10460469,10136445,9718540,9718539,10215389","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"7884581,8018052,7612658,7612689,7613471","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10465187,10117747,10684730,10267723,10456277","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9882207,9645893,9654838,9654886,9655000","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7883672,7921642,7530830,7674585,7686900","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9533062,9212582,9353889,9355706,9354523","None,None,None,None,None","None,None,None,None,None"
