APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9657194,10083763,9843530,10335171,9319794","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8536036,8541847,8721480,9123843,8925858","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8319863,8508283,8139121,7935200,7938880","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"7881468,7669343,7628465,7660380,7672236","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10518967,10519808,10706514,10708816,10643941","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10760002,10759550,10759735,10709636,10592780","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7919183,8467802,8690240,7664619,8100298","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9743795,9411341,10241239,9965878,9544151","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9938657,9929450,9712695,9712696,9403610","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10171852,10578704,10355531,10355532,9948263","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8847623,9291406,8605381,9065464,10475865","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"10114279,9741953,9857598,7798339,7798326","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8074269,8706704,8717236,8306593,8310798","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"8977237,8977972,9236495,8978023,8977971","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"8381420,8725468,8725470,8681153,8681149","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8251938,8442909,8461367,8281686,8838833","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"7713471,7713208,7941943,7941948,7941949","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"7727339,7727133,7903214,7907773,7907774","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8487419,7739524,8304914,8305556,8322023","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"7662563,7906819,7915498,7903305,7634439","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8551682,8607976,9010966,8431983,9211357","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7882889,8325772,8099577,7692977,7900974","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9995435,9750650,10227768,10204929,10228567","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,10372955,9512284,9684606","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10708941,10581922,8402798,8534116,8402797","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10208683,10656300,10008512,10449317,9308668","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10515879,10700142,10655614,10275726,10480007","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"9339683,9183807,10451808,10670199,10296363","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8381357,8133364,8032689,8032688,8032683","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8127725,7929569,8301648,8301643,7755621","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8391026,7840740,7838126,7935432,7932180","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8535751,8728845,8532895,8911299,8911300","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7900974,8099577,8325772,7692977,7893014","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9753104,10165449,9927973,10413034,9597601","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"9116620,8995282,8883478,9505854,9301512","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"10165449,9753104,9597601,10413034,9927973","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8891700,9011505,8892766,9222699,9214310","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10468871,10842106,10168669,10421288,9944689","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8874104,8766909,8768731,8768636,8885651","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10459080,10457740,8128700,7991894,8322105","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9480665,9697255,9692616,9692618,9692619","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9551345,9137622,9137625,9137627,9336710","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"9193112,9309081,8147755,8147759,8048318","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8118229,8118220,8118225,8330383,7933501","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"9257273,9024440,9212086,9268704,9257275","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9469342,8640066,9392190,9390406,9387324","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8901734,8899344,8460350,8460212,8459282","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"9627120,9627115,9627121,9627116,9627670","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9277472,9098205,9567637,9697816,9481714","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"9137745,8932855,8934182,8930199,8929214","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"10347760,10348223,10557171,10569619,10586094","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"8501215,8293683,8174017,8293753,8293757","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"7688638,7690912,8106367,8087592,8087578","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"7682550,7916504,7682549,7682546,7682547","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"8380065,8479320,8532646,8532647,8475566","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8114979,7727118,8053299,8097394,7727188","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"9662786,10149231,10131128,10131129,10132968","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"9086417,8260608,8634912,8484873,8497718","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"9022512,8604915,8825531,9245732,10426961","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"9437652,9214310,9020204,8891700,8892766","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8365004,8173764,8261143,8305191,8250052","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"10465187,10117747,10684730,10267723,10119123","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"9969511,9391514,9732558,9970598,9548712","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"10459554,10315914,10313728,10810993,10472632","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"8367889,8369767,10514064,10701771,9414391","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"10196932,10393529,9918850,9922858,10630048","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"7692271,7555583,7862326,7647162,9114794","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"8376368,8213829,8240158,8376366,8378965","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"8897374,8711465,8711466,8711467,8624922","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9569726,9429358,9430880,9568823,10767102","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"9114642,9324029,9747330,9533890,8951512","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"8073856,8149883,8074191,8780399,8717236","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"9569721,9751999,9428318,10263328,9977807","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"9970598,9732558,9969511,9548712,9391514","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"8539587,8911793,8545750,8700350,8689977","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9567511,9194191,9336635,9337385,9335327","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"10016250,9562055,9782894,9782896,9782897","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"8532870,8532869,7688279,7689564,7689513","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"7675391,7684828,7684826,7861203,7991555","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8722461,8144365,7984290,7984294,7976489","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"8913590,8433149,8433150,8433134,8432962","None,None,None,None,None","None,None,None,None,None"
