APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8227762,8331859,8221511,8331304,8333868","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8055615,8055215,8067537,8055202,7922872","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9145187,8934089,8786631,9787466,9569595","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"8333868,8331859,8331304,8227762,8221511","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"8786631,9787466,8934089,9569595,9145187","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"8144907,8144441,8317293,8144466,8144435","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8071012,8055615,8067537,8055202,8055215","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8055615,8055202,8067537,8055215,8048626","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"8786631,8934089,9569595,9787466,9145187","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8055215,8055202,8055615,8067537,7586542","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10657489,10221262,9722497,9722468,10224320","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8067537,8055615,8055215,8055202,7586542","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8144466,8496493,8289272,8289290,8289274","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"8055615,8055215,8067537,8055202,8082436","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10594761,10443775,9948979,10224320,10199016","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8055615,8055202,8067537,8055215,8082436","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8055615,8067537,8055215,8055202,7586542","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"8333868,8331859,8331304,8227762,8221511","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8067537,8055215,8055615,8055202,7922872","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8934089,9569595,9787466,9145187,8786631","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10678876,10221262,10443775,10485193,9920772","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8743391,9294936,8880130,9148269,9484232","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"8055615,8055202,8067537,8055215,7922872","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8786631,9145187,9787466,9569595,8934089","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8055615,8055215,8067537,8055202,7922872","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9569595,9787466,8934089,8786631,9145187","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8055615,8055202,8067537,8055215,8082436","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10657489,9722468,10224320,10199016,10678876","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"8227762,8221511,8331304,8331859,8333868","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9569595,8934089,9787466,9145187,8786631","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9569595,8934089,9787466,9145187,8786631","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8055615,8055202,8067537,8055215,7586542","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8055615,8055202,8067537,8055215,7586542","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8067537,8055215,8055202,8055615,7922872","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10594761,9920772,9962493,10221262,10657489","None,None,None,None,None","None,None,None,None,None"
