APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8010757,7890856,7901249,7932676,7859818","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8055202,8067537,8055215,8055615,7922872","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10206329,10701721,10204417,10198144,10687114","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"8289643,8110298,8083260,8091953,8083173","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"7890856,7901249,8010757,7890855,7932676","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10266378,10393600,9933610,10164866,10649426","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7932676,7870089,7890856,7901249,7859818","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9145739,9145709,8936340,8936260,10831117","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9356597,9356598,9551139,9273238,9275097","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8150033,7948399,8865396,8289472,8904897","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"8442911,8251938,8081491,8081515,8451571","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"7884259,7871516,7640611,7658863,7626004","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"10663347,10454679,10684290,10684282,10684274","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"8279210,8653242,7618407,8063858,8262528","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"7674494,7882568,9564255,9281823,9904629","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"9273238,9275097,9356597,9356598,9551139","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8476301,7989182,8516980,8105104,8074033","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"7890856,8010757,7901249,7932676,7859818","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7626749,8114133,7658237,7624252,7643343","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8055202,8067537,8055215,8055615,7901249","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10512948,10703453,9743795,9544151,9965878","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"7932676,7870089,8010757,7890856,7901249","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"8279210,8653242,7618407,8063858,8262528","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8055615,8055202,8067537,8055215,8082436","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"7799109,7798180,7799668,7799669,7799670","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"8262528,7802276,8063858,7618407,8653242","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"7870089,7859818,7932676,7901249,7890856","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"8265042,8265038,8265048,8265056,8265066","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"7871508,7871516,7658887,7626009,7643451","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"8010757,7870089,7890856,7901249,7932676","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"9044565,8482121,9044560,9044563,9052190","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"7588757,8055876,7792256,7570013,7792261","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"7904293,7878438,7877933,7882597,7939165","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"8368498,8625433,8535121,8048626,8082436","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"10847801,10320983,10271147,10732857,9569595","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"8625433,8368498,8535121,7586542,7922872","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"7989090,8320892,8476301,8520167,8516980","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10672805,9912481,9912493,9912525,9912562","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"7989090,8520167,7989182,7989006,8285021","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"7754922,7906022,8072575,8072576,7758622","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"10672642,10672784,10006319,9914054,8010757","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9561895,9539149,9759658,10225288,9672297","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"8136253,7684598,7923099,7798181,7800366","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8279210,8653242,7618407,8063858,8262528","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8476301,8520167,8725573,7989182,7989006","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"10731695,8065762,8065765,8068504,8068507","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"10375776,10612403,10631838,10401904,8711466","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"8535121,8368498,8625433,10474109,10553878","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"8535121,8625433,8368498,10701920,10425505","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10693360,10518318,8251947,8898859,8642662","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"7989182,8320892,8476301,7989006,7989090","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"7802276,8262528,8279210,8653242,7618407","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8625433,8368498,8535121,8912367,9293252","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"7859818,7932676,7901249,7890856,8010757","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"7802276,8063858,7618407,8653242,8279210","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"7640611,7871508,7871516,7882695,7884257","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"7935567,7692305,8105104,8320892,8516980","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"9069581,8174290,8678973,8678979,8678978","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8016179,8015828,8020258,8015657,8015722","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"7692305,7935567,7848533,8825560,8823180","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"7640611,7871516,7626004,7658887,7626009","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"8074033,7989182,7989006,8476301,8105104","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"8332953,8901366,8326068,8537711,8537710","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"9787466,9145187,8786631,9569595,8934089","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"7890855,7859818,7932676,7901249,7890856","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"7692230,7677500,7657486,7684281,7848533","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"8055202,8055615,8055215,8067537,8048626","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"10879992,8804327,8803992,8932017,9143137","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"8150776,7666801,7665527,7659603,7672523","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"10672797,10673358,10672706,10672794,10672795","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"7626749,7668001,7938406,7938366,8216662","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"9539149,9759658,9561895,8015552,8013680","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"7890856,7901249,7932676,7859818,7890855","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"10692678,10512719,10625686,10625689,10625574","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"10128522,9987210,9985371,10249327,7870089","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"8447838,7903252,7880573,7887570,8089297","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"8251935,8082211,8838835,8898859,8838837","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"8787145,8787005,8600721,8588993,8588992","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"8488401,8083260,8281561,8289643,8306288","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"7640611,7871508,7871516,7882695,7884257","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"8535121,8368498,8625433,10204417,10198144","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"8090371,8097425,7880151,7880150,7658915","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"7626749,7938366,7989838,8068435,7900055","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"8285021,8520167,8725573,8320892,7989182","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"8476301,8516980,7989006,8074033,8320892","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"7844821,7878734,7901544,7856111,7649262","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"10731695,9142285,8932703,9143137,8804327","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"8625433,8368498,8535121,10443775,9920772","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"8216662,7677949,7989838,7658237,7626749","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"7658887,7643451,7626009,7626004,7658863","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"7882568,7674494,8838788,9044564,9052190","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"8013680,8013756,8015814,8015851,8015897","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"7882568,7674494,8650829,8451534,8451549","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"9838824,9745070,10532469,10460764,9387180","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"8625433,8368498,8535121,10006319,9914054","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"10625692,10625578,10625691,10625690,10625689","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"7887570,7880573,7880574,8084193,7871400","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"8279210,8653242,7618407,8063858,8262528","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"8818109,8698805,8137463,8138083,8138080","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"8368498,8625433,8535121,10474109,10425505","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"7682869,8150776,7674024,7670340,7678587","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"8010757,7870089,7901249,7932676,7859818","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"9759658,9539149,9561895,9673275,9981719","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"8055615,8055202,8067537,8055215,7859818","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"7657486,7692230,7677500,7684281,7667476","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"8055215,8067537,8055202,8055615,8083495","None,None,None,None,None","None,None,None,None,None"
9222148,f,w,"9561895,9539149,9759658,9778806,9672297","None,None,None,None,None","None,None,None,None,None"
9674467,m,w,"10512948,10703453,9965878,10241239,9411341","None,None,None,None,None","None,None,None,None,None"
9273611,m,w,"8535121,8625433,8368498,10204417,10206329","None,None,None,None,None","None,None,None,None,None"
10480740,m,w,"8015657,8020258,8016128,8016129,8015803","None,None,None,None,None","None,None,None,None,None"
10361543,f,h,"10673353,10672795,10672797,10672798,10672794","None,None,None,None,None","None,None,None,None,None"
10241405,m,w,"8055939,8054346,7799346,7623065,7798518","None,None,None,None,None","None,None,None,None,None"
