APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8119711,7691775,7842150,7691781,8109213","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8336923,8793915,8732625,8247968,9338933","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9831503,10219251,10017222,10744469,10744468","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"10263239,10045725,10441514,9264682,9264670","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"8974925,8971447,9637861,10159887,9774044","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10759550,10759735,10760002,10784407,10783393","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10263230,10054621,10473714,10264893,10473758","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"10241239,9965878,9411341,9743795,9544151","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"8293065,8514674,8093732,8706937,8889285","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"10355532,10210397,10355531,10381734,9948263","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9928383,10458120,10458123,10037798,10037796","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8872952,9772443,9509436,9509443,9509438","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9665268,9457246,9457249,9356868,9260051","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10526257,10526645,10526252,10526254,10526255","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10612117,10626809,10642789,10124290,10124292","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8281686,8251932,8251942,8251931,8251935","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10108026,10105688,10111982,10111866,10111759","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"7905270,7637487,7919317,7782686,7787067","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8865783,9736639,9736634,9736635,9736637","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"8913590,8433150,8433122,8433149,8433134","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8813609,9211357,8431983,9010966,8607976","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8536291,8390349,8388796,8391285,8387978","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9976486,9766840,9752996,9752997,9766829","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"9342714,9551751,10253260,9145163,9149175","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8734406,9136088,8545842,8436395,8926397","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9279045,9283227,9718083,9707724,9707719","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"10028023,10263974,10027781,10028208,10028243","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10296363,10451808,10670199,9183807,9339683","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10288582,10288585,10459584,10684010,10459581","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9145742,9038007,9310056,10245139,10221776","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10552007,9818791,10513818,9815611,10540342","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9562053,9769005,9535290,9987622,10015256","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8758248,8749196,9236973,9352457,10669189","None,None,None,None,None","None,None,None,None,None"
