APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9069944,9069941,9294122,8575263,9322282","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"9123843,8531341,8732625,8721480,8793915","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8336903,8530216,8722014,8731270,8712452","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9724320,9422153,9856244,9566832,9565385","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"9607233,9739170,10148760,9944510,10460913","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10378786,10491953,10665746,9519544,9293252","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7919183,8467802,8690240,7664619,8100298","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8999126,9038278,9050849,9233920,8662246","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"8144938,8144939,7938718,8150047,7943167","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8482239,8670747,8664382,8664390,8670744","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10006152,9390020,9562023,9548539,9548545","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8928156,8379091,8336868,8382414,8380023","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"8281190,8449601,8791543,8790907,8795111","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9619030,9273320,8978023,8977971,8978019","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10626813,9718540,10460470,10451721,9959330","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8251931,8251935,8251942,8251938,8251932","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8134362,8190642,7842432,7839761,7841512","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"8129711,7919317,8526319,7905270,7846711","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8688286,7740575,7932151,8136058,8304914","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"10676306,10712025,10708553,10708551,10708438","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10425426,10614581,10301833,10250532,10092384","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"10174942,9665757,9672555,9672506,9672503","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"8730571,8918517,8568029,8534735,8728763","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,10470179,10479994,10086915","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"8734406,9136088,8545842,8436395,8926397","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"7684270,7683307,8131789,8143344,7932292","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"9327857,9162029,9162248,9161987,9156042","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10670199,10451808,10296363,9339683,9183807","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10712151,10712149,10712148,10712150,10712153","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9625166,9287534,9515968,9468430,9692798","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"8462328,7900929,8462330,8462331,8462329","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"9831543,10450885,9966987,10655524,10205060","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8360500,8167598,8168310,8168307,8168306","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9597601,9753104,10165449,9927973,10413034","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"7871063,7805473,8134453,8132605,8045357","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"9927973,9597601,10165449,9753104,10413034","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8843779,9263887,9038249,8705846,8408897","None,None,None,None,None","None,None,None,None,None"
