APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9144844,9145766,9323560,9565173,9319794","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"7684826,7861203,7991555,7685279,7686755","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"8340858,8340889,8525420,8551670,8534816","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"7907198,7628465,7898576,7906847,7914129","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10361741,10363505,10488757,10645854,10746147","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9686784,9188331,9931275,9931288,9931291","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"7638021,7940064,8264290,10393060,10250764","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9407285,9174603,9252387,9637288,7691757","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"9325428,9342656,9308697,9342657,8919977","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"8197870,7555392,7551990,7847078,7847079","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9088203,9514733,9514726,9514736,9514752","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9961916,9960806,9961913,9961911,9961909","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9570704,10153467,10215263,10215250,10215248","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10308184,10067500,10064093,10067495,10067496","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9959330,10626809,10612118,10612117,10612116","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8854119,8081510,8251942,8251931,8251935","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10267723,10684730,10117747,10465187,10127119","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"8147770,7786663,7939696,7939728,7939698","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"8145078,8306346,8318269,8599512,7647008","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9141785,9141938,9142948,9142822,9142584","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"8729741,8607976,8431983,8813609,9211357","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"8868954,8550801,8913107,8414034,8413975","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"9627278,9627377,10441646,9627727,9627418","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8876643,8722121,10738080,10352461,10211467","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10476584,10704644,10289786,10289785,10289784","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"9927977,9897492,10579863,10579861,10142922","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8725571,8724343,8565991,8566312,8565628","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10206115,10471824,10460957,10460959,10460960","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"9320704,9067248,8846544,8846541,8846546","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"10177830,9320174,10134972,9869047,9905327","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10307430,10540307,10534776,10533771,10533765","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8911300,8535751,8728845,8715797,8715796","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8167474,8360268,7891994,8360273,8360272","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"10518992,10516667,10518585,10518677,10518756","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"8929335,9133937,9559435,9559441,9559429","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"7664374,7908066,7895795,10433951,10380776","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"10724223,10725051,10731666,10731663,10731282","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"9352877,9352876,9969202,9971574,9974595","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8641735,8209570,8448656,8307769,8822937","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"8062133,8119174,7876949,7876948,7876947","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9022388,8711845,9471780,9433593,9269130","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9129494,8730480,8730486,8730499,8730494","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"7674702,7917216,8101110,7917219,8090447","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"10381666,10559714,10578769,10578773,10629793","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"7675861,8036025,8036022,8036021,8036020","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9570704,9693081,9484896,9484495,9484500","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"8454855,8528518,8531129,8520161,8525115","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"7909664,8020053,8056652,8046419,8045521","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9044149,9035943,9313495,9696381,9482420","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"10682535,10700978,9804361,9804362,9804380","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"9897616,9247816,9870863,9890987,9108584","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9706080,9514739,9514726,9514736,9514752","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"8087578,8104246,8087592,8288263,7688638","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"10337297,10147155,10641791,10657325,10657623","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9720189,9959329,10626807,10612118,10612117","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8359665,8360170,8168489,8102872,7797481","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"8708484,8264667,8304443,8304508,8304429","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8381699,8501017,8509018,8509016,8509017","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8653603,8016853,8146167,8319431,8526221","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8089346,8288353,8302429,8089323,8101889","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8365006,8838985,7878903,7878912,7878944","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"9306213,9736800,9736798,9736797,9736795","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"7906684,8130682,8121482,8121483,8121484","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"7874550,7874612,7647458,7650379,7647457","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10153610,9904310,9360740,9360820,9360837","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"7701551,8376123,8377858,8377863,8377864","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"8339476,8465277,7744586,8065940,7904165","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"10059964,10641808,10220974,10220973,10220972","None,None,None,None,None","None,None,None,None,None"
