APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"8121658,7664318,7664326,7903390,7903386","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8536037,8721480,8247968,9338933,8541847","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"10744467,10744468,10744469,10488765,9774333","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9565384,9928385,9695908,9421907,9075536","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10159887,10457348,10242772,10227178,9979867","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"10759550,10759735,10760002,10537743,10536567","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"10517809,10515455,10515454,10515453,10515452","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"9454227,9252101,9251760,9252096,9361622","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"7942848,7743153,7742945,7742455,7942856","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"9616530,9181407,8814559,8814466,8812516","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"10247592,10038020,10037796,10037795,10035018","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"9857598,10114279,9741953,10633112,10618220","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9665269,9356872,9451957,9451953,9665266","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"9050369,9045128,9050243,7849341,7681099","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"10388082,10215389,10642790,10124290,10124292","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8004982,7794928,7612658,7612689,7613471","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"10668665,10669493,10668770,10668769,10668768","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"9928385,9421907,9695908,9565384,8100949","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"10317124,10312824,10130323,10130308,10129592","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"7839492,7664511,7666892,7666932,7667260","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"10360448,10087002,9912346,8657325,8657324","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"10569629,10186749,10376779,9930311,9930703","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"8721367,8432745,8544454,8725607,8819875","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"8722121,8876643,9902788,9902838,9902839","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"9768431,9987622,10015256,9189072,9188204","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10449317,10008512,10656300,10208683,8292223","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8856451,8702064,8321997,8509566,8526339","None,None,None,None,None","None,None,None,None,None"
