APPLICATION_ID,PI_GENDER,PI_RACE,APPLICATION_IDs,REC_GRANT_VALUES,REC_FOA_NUMBERS
8962105,m,b,"9936066,10178079,10208941,9962481,10435711","None,None,None,None,None","None,None,None,None,None"
7885660,m,w,"8487420,7742856,7902093,7935280,7934585","None,None,None,None,None","None,None,None,None,None"
8722014,f,w,"9362933,9363201,10350839,10246312,10245162","None,None,None,None,None","None,None,None,None,None"
9421907,f,w,"9950952,9789077,10424439,9906152,9952304","None,None,None,None,None","None,None,None,None,None"
10017961,m,w,"10216255,9907503,10555519,10017961,10059105","None,None,None,None,None","None,None,None,None,None"
9682510,f,w,"9931275,9321305,9931288,9475566,9475565","None,None,None,None,None","None,None,None,None,None"
8932663,m,w,"8545485,8819875,8831618,8842948,8432959","None,None,None,None,None","None,None,None,None,None"
8810682,m,w,"8737523,7782399,8446628,8327084,8540019","None,None,None,None,None","None,None,None,None,None"
10686340,m,w,"7938718,8144938,8379002,8330246,8545225","None,None,None,None,None","None,None,None,None,None"
7551990,f,h,"7994756,7847078,7551992,7555392,7558266","None,None,None,None,None","None,None,None,None,None"
9781466,m,w,"9697264,9292227,9246409,9280764,9246416","None,None,None,None,None","None,None,None,None,None"
8060626,m,w,"8639535,8133612,8458584,8473855,8473860","None,None,None,None,None","None,None,None,None,None"
9896674,f,a,"9571037,9484589,9739105,9733766,9733765","None,None,None,None,None","None,None,None,None,None"
10424380,m,a,"10174613,9882799,9882795,9882794,9882702","None,None,None,None,None","None,None,None,None,None"
10676778,m,w,"9959329,9920683,9718541,9718542,9718900","None,None,None,None,None","None,None,None,None,None"
7637363,m,w,"8442899,8447534,8638037,8638049,8638048","None,None,None,None,None","None,None,None,None,None"
9269218,m,w,"8868082,8735122,8858611,8642438,8642319","None,None,None,None,None","None,None,None,None,None"
9960850,m,w,"10186853,10887735,10101619,10092088,10078842","None,None,None,None,None","None,None,None,None,None"
8119772,m,w,"7680230,7920822,7920814,7680243,7708096","None,None,None,None,None","None,None,None,None,None"
9998967,m,w,"9774239,9749197,9751321,9751316,9751087","None,None,None,None,None","None,None,None,None,None"
9935976,f,w,"9623982,9747383,9935976,9873346,9876629","None,None,None,None,None","None,None,None,None,None"
9539516,m,w,"9211977,9210845,9354522,9353888,9354527","None,None,None,None,None","None,None,None,None,None"
10518914,m,w,"10691915,10246975,10251179,10251178,10251177","None,None,None,None,None","None,None,None,None,None"
10770832,f,w,"10770832,10770711,10087243,10087167,10479994","None,None,None,None,None","None,None,None,None,None"
8380026,m,w,"10690008,10661790,10480940,10480947,10480949","None,None,None,None,None","None,None,None,None,None"
10592409,f,w,"10599210,10599216,10435212,10435042,10435039","None,None,None,None,None","None,None,None,None,None"
8339880,m,w,"8311636,8183844,8183361,8182859,8182580","None,None,None,None,None","None,None,None,None,None"
9592088,m,a,"10252036,9593330,10460934,10460955,10460956","None,None,None,None,None","None,None,None,None,None"
10008967,m,w,"10048551,10652507,10652516,10652520,10652527","None,None,None,None,None","None,None,None,None,None"
10134972,f,w,"9429510,9423472,9421467,9616204,9608805","None,None,None,None,None","None,None,None,None,None"
8988958,f,b,"10540307,10307482,10532202,10532212,10533765","None,None,None,None,None","None,None,None,None,None"
8535751,m,w,"8333419,8926974,8715797,8715796,8260907","None,None,None,None,None","None,None,None,None,None"
7959773,f,w,"8168197,7959844,7959604,7959603,7959602","None,None,None,None,None","None,None,None,None,None"
8769602,m,a,"9271144,8913880,8768884,8768418,9060809","None,None,None,None,None","None,None,None,None,None"
10406304,f,w,"9924195,10064152,10831117,10292992,10167671","None,None,None,None,None","None,None,None,None,None"
9987453,f,w,"10727597,10726180,10726880,10726230,10726195","None,None,None,None,None","None,None,None,None,None"
9525273,m,w,"8508870,9627879,8330361,8385808,8385852","None,None,None,None,None","None,None,None,None,None"
10541697,m,h,"10489500,10669291,10487879,10488817,10488875","None,None,None,None,None","None,None,None,None,None"
8856535,m,w,"8101889,8468988,8075457,8291408,8089308","None,None,None,None,None","None,None,None,None,None"
7886873,m,w,"10005508,10234034,9386846,9770707,9555076","None,None,None,None,None","None,None,None,None,None"
10488630,f,a,"9414391,9558600,9413012,9558641,10404992","None,None,None,None,None","None,None,None,None,None"
9137625,f,w,"9103568,9748855,9102722,9137622,9137623","None,None,None,None,None","None,None,None,None,None"
8085924,m,w,"7905826,7667998,7921646,8135542,8135543","None,None,None,None,None","None,None,None,None,None"
9485284,m,w,"8391974,9061776,9061792,9061787,9061790","None,None,None,None,None","None,None,None,None,None"
8070326,m,w,"8069263,7671884,7671943,7671942,7671941","None,None,None,None,None","None,None,None,None,None"
8068031,f,w,"9900599,9146146,9146206,9146203,9146140","None,None,None,None,None","None,None,None,None,None"
9961343,m,w,"9476681,9479644,9476552,9476554,9476618","None,None,None,None,None","None,None,None,None,None"
8870884,m,h,"10631646,10707213,10740364,10630593,10424447","None,None,None,None,None","None,None,None,None,None"
9150566,m,w,"9383531,9384963,9546693,9564114,9554954","None,None,None,None,None","None,None,None,None,None"
10478136,m,w,"7943167,7938718,8379002,8330246,8545225","None,None,None,None,None","None,None,None,None,None"
10343347,m,w,"8658196,8477358,8412121,8477355,8417244","None,None,None,None,None","None,None,None,None,None"
8309064,f,w,"9756268,9337327,9318442,9325406,9352728","None,None,None,None,None","None,None,None,None,None"
10744343,f,a,"9473039,9915869,9915873,9163177,9169996","None,None,None,None,None","None,None,None,None,None"
10116708,f,w,"10572541,10572136,10567868,10571337,10572620","None,None,None,None,None","None,None,None,None,None"
9080334,m,w,"9720734,9920683,10612118,10612116,10612115","None,None,None,None,None","None,None,None,None,None"
7959811,f,h,"8167897,7959844,7959604,7959603,7959602","None,None,None,None,None","None,None,None,None,None"
9114017,m,h,"8376787,8440787,8301089,8037186,8069281","None,None,None,None,None","None,None,None,None,None"
8380038,m,w,"8533630,8045682,8381667,8381656,8381664","None,None,None,None,None","None,None,None,None,None"
8468754,f,w,"8146167,8016853,8319431,8653603,10492007","None,None,None,None,None","None,None,None,None,None"
7737637,m,w,"8580932,8462591,8197146,8668765,8127613","None,None,None,None,None","None,None,None,None,None"
8664703,m,w,"8060582,7878910,8365075,8365076,8365077","None,None,None,None,None","None,None,None,None,None"
8377171,m,w,"10288582,10288585,10459581,10684010,10684021","None,None,None,None,None","None,None,None,None,None"
8130689,m,w,"8121498,8121495,8121503,8121502,8121501","None,None,None,None,None","None,None,None,None,None"
10495240,m,w,"9540069,9313440,9142348,9315172,9757832","None,None,None,None,None","None,None,None,None,None"
9787108,m,w,"10374361,10491974,10044094,10670998,10454751","None,None,None,None,None","None,None,None,None,None"
8036022,m,w,"7640777,7901503,7805577,7918923,7900589","None,None,None,None,None","None,None,None,None,None"
10359813,m,w,"9150311,9321023,9776405,9734507,9038685","None,None,None,None,None","None,None,None,None,None"
9753241,m,w,"8004551,8015695,7994396,8012007,8519436","None,None,None,None,None","None,None,None,None,None"
8659443,m,w,"9903336,9676278,9676274,9675295,9675294","None,None,None,None,None","None,None,None,None,None"
9706081,f,a,"9480678,9246409,9246416,9318380,9265748","None,None,None,None,None","None,None,None,None,None"
8698446,m,w,"9114642,9324029,9747330,9533890,8951512","None,None,None,None,None","None,None,None,None,None"
9571058,m,h,"7858166,7886551,7893847,7893848,7893849","None,None,None,None,None","None,None,None,None,None"
9527838,m,w,"10696706,10702050,10702117,10702214,10702222","None,None,None,None,None","None,None,None,None,None"
9994751,m,w,"9810824,10214461,9973203,10438803,9316662","None,None,None,None,None","None,None,None,None,None"
10216205,m,w,"10496239,10651879,10650136,10076809,10228875","None,None,None,None,None","None,None,None,None,None"
9355575,m,w,"9193746,9335327,9337097,9368956,9337096","None,None,None,None,None","None,None,None,None,None"
8874375,m,w,"8473861,8473860,8458587,8458586,8473858","None,None,None,None,None","None,None,None,None,None"
8132845,m,w,"9198064,9292386,8990164,9116310,8989926","None,None,None,None,None","None,None,None,None,None"
9561922,m,w,"8689016,8152547,8153835,8499174,8513990","None,None,None,None,None","None,None,None,None,None"
8710052,m,w,"8710050,8540394,8547023,8545739,8547014","None,None,None,None,None","None,None,None,None,None"
10116392,f,w,"10137973,9674473,9674469,9674468,9674467","None,None,None,None,None","None,None,None,None,None"
9552433,m,b,"9557534,9386094,9734121,9969453,10207716","None,None,None,None,None","None,None,None,None,None"
8907762,m,h,"8443689,8150959,8150964,8528887,8050225","None,None,None,None,None","None,None,None,None,None"
7691839,f,w,"7914248,8112678,7696442,8533716,7931855","None,None,None,None,None","None,None,None,None,None"
7914250,m,w,"9087856,8523175,8712342,8712344,8690747","None,None,None,None,None","None,None,None,None,None"
8903741,f,w,"8919189,9124627,8919188,8919191,8919187","None,None,None,None,None","None,None,None,None,None"
10207339,m,a,"10310692,10310690,10441633,10075866,10075865","None,None,None,None,None","None,None,None,None,None"
10302868,f,w,"10641819,10430514,10650877,10430544,10027781","None,None,None,None,None","None,None,None,None,None"
8070452,m,w,"8468108,8071059,8466196,8466197,8454524","None,None,None,None,None","None,None,None,None,None"
9551105,m,w,"8881525,8882844,9329505,9350395,9350398","None,None,None,None,None","None,None,None,None,None"
10223141,f,w,"10469111,10599358,10469112,10469110,10469109","None,None,None,None,None","None,None,None,None,None"
10573185,m,w,"10596279,9841180,9841174,9841175,9841176","None,None,None,None,None","None,None,None,None,None"
9257399,f,w,"10414020,10178021,10173777,10173776,10173772","None,None,None,None,None","None,None,None,None,None"
8518235,f,w,"7586207,8270301,7932516,7766247,8056812","None,None,None,None,None","None,None,None,None,None"
8318381,m,w,"8843054,8660719,9041666,9042419,9055778","None,None,None,None,None","None,None,None,None,None"
9071539,m,w,"9135008,9968285,9330918,9313906,9339716","None,None,None,None,None","None,None,None,None,None"
8120588,m,w,"8990661,9540069,9757832,9315172,9142348","None,None,None,None,None","None,None,None,None,None"
9548127,m,w,"8257657,8380415,8381883,8381876,8381880","None,None,None,None,None","None,None,None,None,None"
7858033,m,w,"10676157,10213067,9978873,9979944,9985189","None,None,None,None,None","None,None,None,None,None"
7691735,f,w,"8294796,8316405,8655990,8463821,7691735","None,None,None,None,None","None,None,None,None,None"
8789173,m,h,"8876120,8875343,8876086,10631693,10644944","None,None,None,None,None","None,None,None,None,None"
9527152,m,a,"9019375,9016112,9016471,8618274,8620435","None,None,None,None,None","None,None,None,None,None"
10217030,f,w,"10227320,10584495,10472519,10375585,10235566","None,None,None,None,None","None,None,None,None,None"
10104482,m,a,"10469447,10469441,10624449,10313365,9241700","None,None,None,None,None","None,None,None,None,None"
8787984,m,w,"7901277,8116524,8144297,8051576,8046460","None,None,None,None,None","None,None,None,None,None"
7921782,f,b,"8215467,8080124,8472524,8528703,8442354","None,None,None,None,None","None,None,None,None,None"
9222148,f,w,"9222148,9432540,9626529,10479177,10240520","None,None,None,None,None","None,None,None,None,None"
9674467,m,w,"9554901,10000549,10179383,10179385,10179387","None,None,None,None,None","None,None,None,None,None"
9273611,m,w,"7680858,7893201,7682044,7901551,7893231","None,None,None,None,None","None,None,None,None,None"
10480740,m,w,"8322105,8323512,7797147,7797774,7798364","None,None,None,None,None","None,None,None,None,None"
10361543,f,h,"8450722,8295307,8341156,8334773,8334772","None,None,None,None,None","None,None,None,None,None"
10241405,m,w,"10709865,9918028,9918030,10475828,10475829","None,None,None,None,None","None,None,None,None,None"
8300031,f,w,"8264843,8662311,8264828,8464231,8464230","None,None,None,None,None","None,None,None,None,None"
9339325,f,h,"9274534,9344536,9303776,9236031,9237850","None,None,None,None,None","None,None,None,None,None"
8814164,m,w,"7989006,8725573,7989090,8285021,8074033","None,None,None,None,None","None,None,None,None,None"
7924122,f,w,"8377685,7675505,7675169,7675170,7675177","None,None,None,None,None","None,None,None,None,None"
9672444,f,h,"8838787,8426399,9044563,9052190,9052183","None,None,None,None,None","None,None,None,None,None"
8672569,m,w,"9320968,9337323,9352740,9321101,9318438","None,None,None,None,None","None,None,None,None,None"
9688831,f,w,"7687610,7928986,8136293,7798364,7797147","None,None,None,None,None","None,None,None,None,None"
10374944,m,w,"10554361,10689691,10540802,10540815,10541228","None,None,None,None,None","None,None,None,None,None"
10208856,m,h,"10738667,9674453,9152601,9152384,9302388","None,None,None,None,None","None,None,None,None,None"
10197904,m,a,"9535288,9312949,9313000,9312948,9312951","None,None,None,None,None","None,None,None,None,None"
8520046,m,w,"8387984,8368573,8974734,8973250,8976073","None,None,None,None,None","None,None,None,None,None"
9332366,f,w,"10215159,10694316,10002145,9828435,10463994","None,None,None,None,None","None,None,None,None,None"
8920545,m,w,"7928725,8132865,8132958,8132964,8132960","None,None,None,None,None","None,None,None,None,None"
10013563,m,w,"10533805,10375377,10088472,10075982,10066310","None,None,None,None,None","None,None,None,None,None"
7778742,m,w,"9589556,10197919,9977178,9977181,9977183","None,None,None,None,None","None,None,None,None,None"
8849042,m,w,"9171453,9973049,9976438,9976434,9976432","None,None,None,None,None","None,None,None,None,None"
8879187,f,b,"8890868,8708952,8708953,8713424,8890866","None,None,None,None,None","None,None,None,None,None"
9612492,m,w,"8989447,9747175,8989456,9747164,9747163","None,None,None,None,None","None,None,None,None,None"
7903428,f,w,"9351551,9351544,9351547,9351548,9351542","None,None,None,None,None","None,None,None,None,None"
8920695,m,h,"8381605,8918520,8730575,8730572,8918266","None,None,None,None,None","None,None,None,None,None"
10245896,m,a,"9490405,9323467,9335929,9337477,9323466","None,None,None,None,None","None,None,None,None,None"
7573426,m,w,"7939130,7938557,7937311,7937158,7936480","None,None,None,None,None","None,None,None,None,None"
7656696,m,h,"7667936,7667711,7669223,7669224,7668501","None,None,None,None,None","None,None,None,None,None"
8376563,m,w,"8526379,8158601,8499258,8526376,8526378","None,None,None,None,None","None,None,None,None,None"
9100656,m,h,"8377852,7701567,7696420,7696421,7664027","None,None,None,None,None","None,None,None,None,None"
9067860,m,w,"9443011,9644520,9948594,9570485,9759884","None,None,None,None,None","None,None,None,None,None"
10439933,f,w,"10497497,10356495,10357266,10413630,10488391","None,None,None,None,None","None,None,None,None,None"
9893850,f,w,"10213480,10437469,10437534,10076809,10650136","None,None,None,None,None","None,None,None,None,None"
9852507,f,w,"10401852,9852507,10163917,10610403,9986038","None,None,None,None,None","None,None,None,None,None"
7750586,m,w,"7586207,8665891,8006864,8775130,8197146","None,None,None,None,None","None,None,None,None,None"
9752514,m,w,"8733670,8733668,8733666,8899515,9115847","None,None,None,None,None","None,None,None,None,None"
9547256,m,w,"10622054,10622123,10622211,10622210,10622209","None,None,None,None,None","None,None,None,None,None"
10691911,m,w,"8878185,8501983,8475813,8472895,8472894","None,None,None,None,None","None,None,None,None,None"
9989552,m,w,"10442552,10299853,10300360,10296642,10682420","None,None,None,None,None","None,None,None,None,None"
8365163,m,w,"8531414,8173769,8173788,8173787,7961530","None,None,None,None,None","None,None,None,None,None"
7905197,m,w,"7935684,7935559,7935990,7935811,7935585","None,None,None,None,None","None,None,None,None,None"
9533996,f,w,"10469111,10599358,10469112,10469110,10469109","None,None,None,None,None","None,None,None,None,None"
8056801,f,w,"10592413,10425268,9884712,9884701,10371233","None,None,None,None,None","None,None,None,None,None"
9475082,f,w,"9902788,9902838,9902839,10729425,10729278","None,None,None,None,None","None,None,None,None,None"
