APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_albert_p_w,APPVAL_RECS_albert_p_w,FOA_RECS_albert_p_w
8962105,m,b,"8316181,8102994,7900897,7900938,7903201","1918000.0,1960000.0,2016000.0,2016000.0,2016000.0","RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007"
7885660,m,w,"9519327,9521332,9519481,9521236,9518090","1250000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-HD-18-028,RFA-HD-18-028,RFA-HD-18-028,RFA-HD-18-028,RFA-HD-18-028"
8722014,f,w,"10359841,10669134,10359121,10378135,10401934","53500.0,51500.0,53500.0,53500.0,53500.0","RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010,RFA-ES-19-010"
9421907,f,w,"10087180,10442624,10424563,10264139,10264030","307500.0,267500.0,267500.0,290000.0,290000.0","RFA-AG-20-044,RFA-AG-20-044,RFA-AG-20-044,RFA-AG-20-044,RFA-AG-20-044"
10017961,m,w,"8035006,8306300,8279452,8478083,8685247","1080000.0,1027500.0,1027500.0,1012500.0,997500.0","RFA-DK-09-009,RFA-DK-09-009,RFA-DK-09-009,RFA-DK-09-009,RFA-DK-09-009"
9682510,f,w,"8754186,9101967,9293252,9519544,8912367","465500.0,458500.0,437500.0,437500.0,465500.0","RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005,RFA-AT-14-005"
8932663,m,w,"10130852,10130746,10322155,10360627,10441141","578840.0,578840.0,533930.0,533930.0,533930.0","RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"9411341,10241239,9965878,9544151,9743795","462500.0,429200.0,455100.0,462500.0,455100.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"10207822,10234012,9649268,9401783,9401936","869999.9999999999,869999.9999999999,922500.0,937500.0,937500.0","RFA-TR-16-017,RFA-TR-16-017,RFA-TR-16-017,RFA-TR-16-017,RFA-TR-16-017"
7551990,f,h,"8137255,7681140,7922626,8549881,8549871","812000.0,846800.0,835200.0,67500.0,67500.0","RFA-ES-06-005,RFA-ES-06-005,RFA-ES-06-005,RFA-TW-12-001,RFA-TW-12-001"
9781466,m,w,"9674675,9925791,9675060,9789168,9788245","437500.0,430500.0,437500.0,430500.0,430500.0","RFA-AG-18-026,RFA-AG-18-026,RFA-AG-18-026,RFA-AG-18-026,RFA-AG-18-026"
8060626,m,w,"9857598,10114279,9741953,7807595,7808560","430500.0,406000.0,430500.0,1460000.0,1460000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-09-001,RFA-DK-09-001"
9896674,f,a,"9482282,9733763,9696246,9697194,9697195","1187500.0,1168500.0,1168500.0,1168500.0,1168500.0","RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005,RFA-MD-17-005"
10424380,m,a,"10310684,9609406,9828758,9828759,9828760","1337500.0,1537500.0,1537500.0,1537500.0,1537500.0","RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002,RFA-AA-17-002"
10676778,m,w,"10017652,10242213,9906987,9906360,9901099","307500.0,290000.0,307500.0,307500.0,307500.0","RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013,RFA-AR-19-013"
7637363,m,w,"8854119,8081510,8081413,8081955,8081491","266000.0,280000.0,280000.0,280000.0,280000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"10474459,10627971,10297562,10297060,10294338","588500.0,566500.0,638000.0,638000.0,638000.0","RFA-HG-20-047,RFA-HG-20-047,RFA-HG-20-047,RFA-HG-20-047,RFA-HG-20-047"
9960850,m,w,"10694159,10491933,10355559,10694161,10491914","309000.0,321000.0,348000.0,309000.0,321000.0","RFA-CA-20-040,RFA-CA-20-040,RFA-CA-20-040,RFA-CA-20-040,RFA-CA-20-040"
8119772,m,w,"7692303,7692302,7935572,7911689,7911680","365000.0,365000.0,365000.0,360000.0,360000.0","RFA-RM-07-015,RFA-RM-07-015,RFA-RM-07-015,RFA-RM-07-015,RFA-RM-07-015"
9998967,m,w,"7845961,7845958,7845758,7845954,8274641","360000.0,360000.0,360000.0,360000.0,342500.0","RFA-RM-09-005,RFA-RM-09-005,RFA-RM-09-005,RFA-RM-09-005,RFA-RM-09-005"
9935976,f,w,"8644947,8456143,8330544,8720831,8722779","299250.0,303750.0,308250.0,66500.0,66500.0","RFA-MH-12-061,RFA-MH-12-061,RFA-MH-12-061,RFA-MH-14-200,RFA-MH-14-200"
9539516,m,w,"7893014,8143989,8884733,8325772,8098925","432000.0,432000.0,399000.0,420000.0,420000.0","RFA-RM-07-013,RFA-RM-07-013,RFA-RM-07-013,RFA-RM-07-013,RFA-RM-07-013"
10518914,m,w,"8154990,8145493,8339429,8333396,8534049","420000.0,420000.0,411000.00000000006,411000.00000000006,405000.0","RFA-CA-10-004,RFA-CA-10-004,RFA-CA-10-004,RFA-CA-10-004,RFA-CA-10-004"
