APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_o_w,APPVAL_RECS_bert-base(para)_o_w,FOA_RECS_bert-base(para)_o_w
8962105,m,b,"8849499,8606587,8550203,8606999,9095454","332500.0,337500.0,337500.0,337500.0,327500.0","RFA-HL-13-003,RFA-HL-13-003,RFA-HL-13-003,RFA-HL-13-003,RFA-HL-13-003"
7885660,m,w,"7664378,7672283,7664365,7867439,8732790","511000.0,511000.0,511000.0,511000.0,675000.0","RFA-HL-06-003,RFA-HL-06-003,RFA-HL-06-003,RFA-HL-06-003,RFA-DK-10-014"
8722014,f,w,"8484318,8805745,8693014,9017816,10749018","337500.0,332500.0,332500.0,327500.0,515000.0","RFA-MD-12-004,RFA-MD-12-004,RFA-MD-12-004,RFA-MD-12-004,RFA-NR-22-001"
9421907,f,w,"10094457,10095406,10677565,10253131,10634523","307500.0,307500.0,257500.0,307500.0,257500.0","RFA-AG-20-039,RFA-AG-20-039,RFA-AG-20-039,RFA-AG-20-039,RFA-AG-20-039"
10017961,m,w,"10555519,9907503,10216255,10693345,10598623","53500.0,61500.0,57999.99999999999,51500.0,51500.0","RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
9682510,f,w,"9924655,9321307,9924653,9475566,9475565","307500.0,312500.0,307500.0,312500.0,312500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"7638021,8264290,7940064,7586521,7906005","146000.0,146000.0,146000.0,292000.0,288000.0","RFA-CA-06-006,RFA-CA-06-006,RFA-CA-06-006,RFA-CA-08-009,RFA-CA-08-009"
8810682,m,w,"8053213,8053133,8053186,8053206,8053227","2399040.0,2399040.0,2399040.0,2399040.0,2399040.0","RFA-HS-10-014,RFA-HS-10-014,RFA-HS-10-014,RFA-HS-10-014,RFA-HS-10-014"
10686340,m,w,"10478165,9804346,9804344,9804343,9804290","1070000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"7845330,7991378,7847078,7847079,7743108","80300.0,77000.0,80300.0,80300.0,79200.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"9066553,9692612,9692533,9692534,9692535","1310000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002,RFA-AG-15-002"
