APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_r_w,APPVAL_RECS_bert-base(para)_r_w,FOA_RECS_bert-base(para)_r_w
8962105,m,b,"10728925,10644738,10713291,10727192,10044028","77250.0,77250.0,77250.0,77250.0,92250.0","RFA-HL-23-018,RFA-HL-23-018,RFA-HL-23-018,RFA-HL-23-018,RFA-HL-17-022"
7885660,m,w,"8541847,8336923,8732625,9123843,8890180","675000.0,685000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"8499174,8153835,8331617,8513990,8876689","1080000.0,1120000.0,1096000.0,1080000.0,1064000.0","RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002"
9421907,f,w,"10641819,10430544,10650877,10430514,9928385","309000.0,321000.0,309000.0,321000.0,430500.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-17-002"
10017961,m,w,"10746147,10216255,9907503,10555519,10017961","58413.36,57999.99999999999,61500.0,53500.0,61500.0","RFA-DK-21-033,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
9682510,f,w,"10537743,10536567,9325589,9188181,9483792","1070000.0,1070000.0,437500.0,458500.0,437500.0","RFA-NS-22-002,RFA-NS-22-002,RFA-NR-16-002,RFA-NR-16-002,RFA-NR-16-002"
8932663,m,w,"8100298,8467802,8690240,7664619,7919183","2450000.0,2397500.0,2362500.0,2555000.0,2555000.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"9828646,8975583,9186941,9604763,9391174","22755000.0,24235000.0,23125000.0,22755000.0,23125000.0","RFA-AI-12-011,RFA-AI-12-011,RFA-AI-12-011,RFA-AI-12-011,RFA-AI-12-011"
10686340,m,w,"9353470,8919982,9343073,9335251,9335250","1562500.0,1662500.0,1562500.0,1562500.0,1562500.0","RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002,RFA-TR-13-002"
7551990,f,h,"8839145,9040178,9040164,9040174,9063988","1463000.0,1441000.0,1441000.0,1441000.0,1441000.0","RFA-ES-11-001,RFA-ES-11-001,RFA-ES-11-001,RFA-ES-11-001,RFA-ES-11-001"
9781466,m,w,"10003930,9205191,10003928,10003929,10006150","4305000.0,4375000.0,4305000.0,4305000.0,4305000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"10694213,9961761,9960291,9960292,9960293","1030000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020,RFA-DK-18-020"
9896674,f,a,"9146143,9896669,9921224,9921226,9921227","1965000.0,1845000.0,1845000.0,1845000.0,1845000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"9302630,9282372,9123502,9123488,9123498","2250000.0,2250000.0,2358000.0,2358000.0,2358000.0","RFA-AA-13-001,RFA-AA-13-001,RFA-AA-13-001,RFA-AA-13-001,RFA-AA-13-001"
10676778,m,w,"8380612,8475567,8306120,8314023,8380066","548000.0,540000.0,548000.0,548000.0,548000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"7798062,8011175,7613471,7608714,7612084","259200.0,252000.0,262800.0,262800.0,262800.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
