APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base(para)_r_wi,APPVAL_RECS_bert-base(para)_r_wi,FOA_RECS_bert-base(para)_r_wi
8962105,m,b,"8102984,7756325,7900897,7900940,7900938","1960000.0,2044000.0,2016000.0,2016000.0,2016000.0","RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007"
7885660,m,w,"8793915,8336923,8732625,8721480,8247968","665000.0,685000.0,665000.0,665000.0,700000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"10744469,10744468,10744467,9481714,9697816","14420000.0,14420000.0,14420000.0,500000.0,492000.0","RFA-OD-22-021,RFA-OD-22-021,RFA-OD-22-021,RFA-ES-15-001,RFA-ES-15-001"
9421907,f,w,"9264682,9264661,9264681,9264670,9928385","458500.0,458500.0,458500.0,458500.0,430500.0","RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-17-002"
10017961,m,w,"10630731,10631295,10632313,10632358,10632608","103000.0,103000.0,103000.0,103000.0,103000.0","RFA-DK-21-030,RFA-DK-21-030,RFA-DK-21-030,RFA-DK-21-030,RFA-DK-21-030"
9682510,f,w,"10536567,10537743,10759550,10759735,10760002","1070000.0,1070000.0,284038.98,284038.98,284038.98","RFA-NS-22-002,RFA-NS-22-002,RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006"
8932663,m,w,"8100298,7919183,8467802,8690240,7884497","2450000.0,2555000.0,2397500.0,2362500.0,2520000.0","RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503,RFA-CA-07-503"
8810682,m,w,"10174309,8782594,9828042,9829067,8975603","6070666.279999999,6960332.890000001,6436999.59,6436999.59,6855666.23","RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008,RFA-AI-12-008"
10686340,m,w,"10559603,9251865,8882499,9084602,8686403","309000.0,2250000.0,2394000.0,2358000.0,2394000.0","RFA-TR-21-008,RFA-RM-13-004,RFA-RM-13-004,RFA-RM-13-004,RFA-RM-13-004"
7551990,f,h,"7555392,7547058,7991865,7991380,7992459","80300.0,80300.0,77000.0,77000.0,77000.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"9205190,9205191,10003930,10006150,10006152","4375000.0,4375000.0,4305000.0,4305000.0,4305000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"8872955,9702796,9702794,9702793,9702792","1662500.0,1537500.0,1537500.0,1537500.0,1537500.0","RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004,RFA-DK-13-004"
9896674,f,a,"8729008,8719172,8725230,8472305,8472725","266000.0,266000.0,266000.0,270000.0,270000.0","RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001,RFA-LM-12-001"
10424380,m,a,"9404932,9614842,9614845,9614841,9404934","9250000.0,9102000.0,9102000.0,9102000.0,9250000.0","RFA-AA-15-002,RFA-AA-15-002,RFA-AA-15-002,RFA-AA-15-002,RFA-AA-15-002"
10676778,m,w,"9080337,9513400,9281685,9323319,9313207","655000.0,625000.0,625000.0,625000.0,625000.0","RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004"
7637363,m,w,"8018052,7798157,7884581,7638663,7612658","252000.0,259200.0,259200.0,262800.0,262800.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"8549924,8545128,8551657,8413560,8414142","270000.0,270000.0,270000.0,274000.0,274000.0","RFA-RM-11-014,RFA-RM-11-014,RFA-RM-11-014,RFA-RM-11-014,RFA-RM-11-014"
9960850,m,w,"9844531,10092088,10704736,10624283,10574601","3936000.0,3712000.0,3296000.0,3296000.0,3296000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"9089977,8959631,9501685,8957139,9697250","393000.0,399000.0,375000.0,399000.0,369000.0","RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015,RFA-AI-14-015"
9998967,m,w,"8713327,8711698,9117803,8926197,8926038","299250.0,299250.0,294750.0,299250.0,299250.0","RFA-AT-14-001,RFA-AT-14-001,RFA-AT-16-003,RFA-AT-15-003,RFA-AT-15-003"
9935976,f,w,"8849505,8320113,8472537,8210130,8664432","665000.0,685000.0,675000.0,700000.0,665000.0","RFA-MH-11-080,RFA-MH-11-080,RFA-MH-11-080,RFA-MH-11-080,RFA-MH-11-080"
9539516,m,w,"8038123,8232880,7623049,7624605,7628423","511000.0,490000.0,511000.0,511000.0,511000.0","RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004"
10518914,m,w,"10770832,10770711,10250326,10473768,10006889","515000.0,515000.0,725000.0,668750.0,768750.0","RFA-DE-23-013,RFA-DE-23-013,RFA-CA-18-029,RFA-CA-18-029,RFA-CA-18-029"
10770832,f,w,"8876643,8722121,8680213,8899919,8547574","266000.0,266000.0,266000.0,266000.0,270000.0","RFA-DE-14-002,RFA-DE-14-002,RFA-DE-12-007,RFA-DE-12-007,RFA-DE-12-007"
8380026,m,w,"9186837,9354479,9354433,9344609,9352830","327500.0,312500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"8248016,7911174,8232880,8038123,7624297","504000.0,511000.0,490000.0,511000.0,511000.0","RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004,RFA-ES-06-004"
8339880,m,w,"9978672,9976411,9960390,9960391,9960398","1014750.0,1014750.0,1014750.0,1014750.0,1014750.0","RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007,RFA-AG-18-007"
