APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base_o_wi,APPVAL_RECS_bert-base_o_wi,FOA_RECS_bert-base_o_wi
8962105,m,b,"10178079,9576667,9576864,9768539,9767857","406000.0,437500.0,437500.0,430500.0,430500.0","RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022,RFA-HL-18-022"
7885660,m,w,"7743509,8538928,7742856,7908879,8105515","365000.0,337500.0,365000.0,350000.0,350000.0","RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023,RFA-HD-08-023"
8722014,f,w,"8897371,8554363,8898075,8705520,8707458","532000.0,540000.0,532000.0,532000.0,532000.0","RFA-ES-11-013,RFA-ES-11-013,RFA-ES-11-013,RFA-ES-11-013,RFA-ES-11-013"
9421907,f,w,"9565384,9695908,9421907,9928385,10202909","437500.0,430500.0,437500.0,430500.0,348000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-21-002"
10017961,m,w,"10746147,9907503,10216255,10555519,10017961","58413.36,61500.0,57999.99999999999,53500.0,61500.0","RFA-DK-21-033,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
9682510,f,w,"9188332,9188331,9686784,9321247,9687750","327500.0,327500.0,307500.0,312500.0,307500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"7795108,7906005,7848336,7799840,7692109","288000.0,288000.0,288000.0,288000.0,292000.0","RFA-CA-08-009,RFA-CA-08-009,RFA-CA-08-009,RFA-CA-08-009,RFA-CA-08-009"
8810682,m,w,"8101077,8098011,7992050,7991570,7991231","420000.0,420000.0,432000.0,432000.0,432000.0","RFA-HS-10-002,RFA-HS-10-002,RFA-HS-10-002,RFA-HS-10-002,RFA-HS-10-002"
10686340,m,w,"10254387,10465118,10020813,10020815,10020816","1160000.0,1030000.0,1230000.0,1230000.0,1230000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"7847078,7551983,7551992,7555392,7558266","80300.0,80300.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
9781466,m,w,"8293633,8690690,8691621,8688105,8690718","1190000.0,1130500.0,1130500.0,1130500.0,1130500.0","RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005"
8060626,m,w,"10668993,10408485,10622638,10622635,10622630","1030000.0,1070000.0,1030000.0,1030000.0,1030000.0","RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025,RFA-DK-20-025"
9896674,f,a,"9675126,9146202,9900595,9900596,9900599","1845000.0,1965000.0,1845000.0,1845000.0,1845000.0","RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013,RFA-MD-15-013"
10424380,m,a,"9940998,9228311,9617184,9617185,9617186","2214000.0,2250000.0,2214000.0,2214000.0,2214000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"8695291,8381418,8380609,8380605,8380612","532000.0,548000.0,548000.0,548000.0,548000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"8654352,8442389,8081465,8081510,8081493","266000.0,270000.0,280000.0,280000.0,280000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"7852597,7847776,7852250,7852410,7852275","438000.0,438000.0,438000.0,438000.0,438000.0","RFA-RM-09-003,RFA-RM-09-003,RFA-RM-09-003,RFA-RM-09-003,RFA-RM-09-003"
9960850,m,w,"9844531,9882207,9970386,10186853,9960850","3936000.0,3936000.0,3936000.0,3936000.0,3936000.0","RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037,RFA-AI-17-037"
8119772,m,w,"7920822,7920814,7680243,7680230,7860425","432000.0,432000.0,438000.0,438000.0,288000.0","RFA-AT-06-004,RFA-AT-06-004,RFA-AT-06-004,RFA-AT-06-004,RFA-AI-08-020"
9998967,m,w,"9563293,10229453,10231192,10234007,10234085","312500.0,290000.0,290000.0,290000.0,290000.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
9935976,f,w,"8729741,9728051,9410593,9408154,9405193","299250.0,276750.0,281250.0,281250.0,281250.0","RFA-MH-14-182,RFA-MH-17-361,RFA-MH-17-361,RFA-MH-17-361,RFA-MH-17-361"
9539516,m,w,"9774232,10229452,10229469,10231192,10234007","307500.0,290000.0,290000.0,290000.0,290000.0","RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004,RFA-GM-17-004"
10518914,m,w,"10729277,10704617,10704611,10704609,10704599","1545000.0,1545000.0,1545000.0,1545000.0,1545000.0","RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048,RFA-CA-21-048"
10770832,f,w,"9449587,10242454,10242457,10250566,10251377","437500.0,430500.0,430500.0,406000.0,406000.0","RFA-CA-17-015,RFA-CA-17-015,RFA-CA-17-015,RFA-CA-17-015,RFA-CA-17-015"
8380026,m,w,"9354446,9186361,9353768,9354482,9353764","312500.0,327500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"10592414,10158386,10134213,10134214,10134217","154500.0,174000.0,174000.0,174000.0,174000.0","RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040,RFA-AI-17-040"
