APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base_p_w,APPVAL_RECS_bert-base_p_w,FOA_RECS_bert-base_p_w
8962105,m,b,"9089463,9313927,9335971,9509503,9477768","589500.0,562500.0,562500.0,562500.0,562500.0","RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001"
7885660,m,w,"8732790,8732625,9338933,8541847,8531341","675000.0,665000.0,655000.0,675000.0,675000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"10835398,10835464,10835399,10835435,10835460","875500.0,875500.0,875500.0,875500.0,875500.0","RFA-ES-23-007,RFA-ES-23-007,RFA-ES-23-007,RFA-ES-23-007,RFA-ES-23-007"
9421907,f,w,"9565384,9695908,9421907,9928385,7914129","437500.0,430500.0,437500.0,430500.0,432000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-06-003"
10017961,m,w,"10706514,10708816,10519808,10518967,7930530","515000.0,515000.0,535000.0,535000.0,1440000.0","RFA-DK-21-016,RFA-DK-21-016,RFA-DK-21-016,RFA-DK-21-016,RFA-DK-09-001"
9682510,f,w,"10596875,10597790,10598312,10598724,10598873","214000.0,214000.0,214000.0,214000.0,214000.0","RFA-DE-22-011,RFA-DE-22-011,RFA-DE-22-011,RFA-DE-22-011,RFA-DE-22-011"
8932663,m,w,"8065747,7695547,7692251,10360627,10570305","1080000.0,1095000.0,1095000.0,533930.0,513970.0","RFA-CA-08-003,RFA-CA-08-003,RFA-CA-08-003,RFA-CA-20-032,RFA-CA-20-032"
8810682,m,w,"9361623,9252101,9454233,9435084,9246424","625000.0,625000.0,625000.0,625000.0,625000.0","RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025,RFA-AI-15-025"
10686340,m,w,"8097981,8018400,7631461,7887285,8125114","1050000.0,1080000.0,1095000.0,1095000.0,1050000.0","RFA-DK-06-011,RFA-DK-06-011,RFA-DK-06-011,RFA-DK-06-011,RFA-DK-06-011"
7551990,f,h,"10153794,9986806,10151666,10624212,10623308","869999.9999999999,922500.0,869999.9999999999,772500.0,772500.0","RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004"
9781466,m,w,"10006150,10003930,10006152,10006153,9205081","4305000.0,4305000.0,4305000.0,4305000.0,4585000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9857598,10114279,9741953,8241180,8241583","430500.0,406000.0,430500.0,1027500.0,1050000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-10-012,RFA-DK-10-012"
9896674,f,a,"9761577,9564209,9564185,9751965,9403450","246000.0,250000.0,250000.0,246000.0,250000.0","RFA-LM-17-002,RFA-LM-17-002,RFA-LM-17-002,RFA-LM-17-002,RFA-LM-17-002"
10424380,m,a,"9493327,9617182,9273311,9262132,9277329","2250000.0,2214000.0,2250000.0,2250000.0,2250000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"8915479,8150114,8532647,8475566,8475563","532000.0,560000.0,540000.0,540000.0,540000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"7809464,7794928,8020043,8005491,8004952","259200.0,259200.0,252000.0,252000.0,252000.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"8927031,8679822,8679838,8668393,8915721","332500.0,332500.0,332500.0,332500.0,332500.0","RFA-RM-13-003,RFA-RM-13-003,RFA-RM-13-003,RFA-RM-13-003,RFA-RM-13-003"
9960850,m,w,"7639127,8526319,7640196,7640454,8212117","365000.0,337500.0,365000.0,365000.0,342500.0","RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012"
8119772,m,w,"10491848,10670680,10372447,7842498,7798144","267500.0,257500.0,290000.0,1440000.0,1440000.0","RFA-FD-21-018,RFA-FD-21-018,RFA-FD-21-018,RFA-GM-08-010,RFA-GM-08-010"
9998967,m,w,"8324443,8069923,7626724,7673833,7673814","420000.0,420000.0,438000.0,438000.0,438000.0","RFA-ES-06-008,RFA-ES-06-008,RFA-ES-06-008,RFA-ES-06-008,RFA-ES-06-008"
9935976,f,w,"8078020,8318135,8487260,8472541,8510694","700000.0,685000.0,675000.0,675000.0,675000.0","RFA-HD-08-010,RFA-HD-08-010,RFA-HD-08-010,RFA-HD-08-010,RFA-HD-08-010"
9539516,m,w,"8928619,8928618,8921203,8923275,8925082","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-RM-14-001,RFA-RM-14-001,RFA-RM-14-001,RFA-RM-14-001,RFA-RM-14-001"
10518914,m,w,"9870155,10020355,9870339,9870338,9870157","738000.0,738000.0,738000.0,738000.0,738000.0","RFA-CA-19-005,RFA-CA-19-005,RFA-CA-19-005,RFA-CA-19-005,RFA-CA-19-005"
10770832,f,w,"10130485,10436179,9852303,9512284,9888974","406000.0,374500.0,430500.0,437500.0,430500.0","RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004,RFA-DE-18-004"
8380026,m,w,"9186884,9186929,9354450,9353793,9353763","327500.0,327500.0,312500.0,312500.0,312500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
