APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-base_r_wi,APPVAL_RECS_bert-base_r_wi,FOA_RECS_bert-base_r_wi
8962105,m,b,"9509503,9335971,9313927,9089463,9090775","562500.0,562500.0,562500.0,589500.0,589500.0","RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001,RFA-HL-16-001"
7885660,m,w,"8732625,8536037,8925858,8890180,9123843","665000.0,685000.0,665000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"9904637,10135069,10135071,9672466,10135072","1230000.0,1160000.0,1160000.0,1230000.0,1160000.0","RFA-ES-16-001,RFA-ES-16-001,RFA-ES-16-001,RFA-ES-16-001,RFA-ES-16-001"
9421907,f,w,"9695908,9928385,9421907,9565384,8996081","430500.0,430500.0,437500.0,437500.0,399000.0","RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-17-002,RFA-AG-15-004"
10017961,m,w,"10059131,9907503,10693345,10598623,10059105","61500.0,61500.0,51500.0,51500.0,61500.0","RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024,RFA-DK-18-024"
9682510,f,w,"10784019,10760002,10759735,10759550,10783393","256470.0,284038.98,284038.98,284038.98,256470.0","RFA-NS-22-025,RFA-NS-23-006,RFA-NS-23-006,RFA-NS-23-006,RFA-NS-22-022"
8932663,m,w,"9570485,9443011,9759884,9644520,9948594","375000.0,375000.0,369000.0,369000.0,369000.0","RFA-CA-17-013,RFA-CA-17-013,RFA-CA-17-013,RFA-CA-17-013,RFA-CA-17-013"
8810682,m,w,"9544151,9965878,9743795,9411341,10241239","462500.0,455100.0,455100.0,462500.0,429200.0","RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023,RFA-DA-17-023"
10686340,m,w,"9974347,9357646,9938645,9536059,9536063","1230000.0,1250000.0,1230000.0,1250000.0,1250000.0","RFA-HD-16-009,RFA-HD-16-009,RFA-HD-16-009,RFA-HD-16-009,RFA-HD-16-009"
7551990,f,h,"9728586,10400036,9729176,9929600,9939529","922500.0,802500.0,922500.0,922500.0,922500.0","RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004"
9781466,m,w,"8688106,8730918,8494481,8501183,8502590","1130500.0,1147500.0,1147500.0,1147500.0,1147500.0","RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005,RFA-AG-11-005"
8060626,m,w,"9857598,10114279,9741953,10609100,10694208","430500.0,406000.0,430500.0,1030000.0,1030000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-18-020,RFA-DK-18-020"
9896674,f,a,"10631693,10710201,10644944,9564209,9564185","1070000.0,1030000.0,1070000.0,250000.0,250000.0","RFA-MD-22-006,RFA-MD-22-006,RFA-MD-22-006,RFA-LM-17-002,RFA-LM-17-002"
10424380,m,a,"9619031,8977972,9236495,8978023,8977971","2214000.0,2358000.0,2358000.0,2358000.0,2358000.0","RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001,RFA-AA-15-001"
10676778,m,w,"9761834,9087467,9281685,9323319,9313207","615000.0,655000.0,625000.0,625000.0,625000.0","RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004,RFA-AR-16-004"
7637363,m,w,"7612658,7806452,8004952,8033151,8011168","262800.0,259200.0,252000.0,252000.0,252000.0","RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023,RFA-HD-04-023"
9269218,m,w,"9064144,8858611,8868082,9334847,9275954","425750.0,432250.0,432250.0,406250.0,406250.0","RFA-RM-12-026,RFA-RM-12-026,RFA-RM-12-026,RFA-RM-12-026,RFA-RM-12-026"
9960850,m,w,"7620971,7983774,7918111,7894564,7620978","292000.0,292000.0,288000.0,288000.0,292000.0","RFA-AG-06-005,RFA-AG-06-005,RFA-AG-06-005,RFA-AG-06-005,RFA-AG-06-005"
