APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-s_o_wi,APPVAL_RECS_bert-s_o_wi,FOA_RECS_bert-s_o_wi
8962105,m,b,"9955301,10178077,9454132,9736785,9564694","615000.0,580000.0,625000.0,615000.0,625000.0","RFA-HL-17-020,RFA-HL-17-020,RFA-HL-17-020,RFA-HL-17-020,RFA-HL-17-020"
7885660,m,w,"10308198,10693795,10480792,10580910,8651506","579998.84,514998.97,534998.93,515000.0,1330000.0","RFA-HD-21-006,RFA-HD-21-006,RFA-HD-21-006,RFA-DK-21-025,RFA-HD-10-019"
8722014,f,w,"9567637,9481714,9277472,9697816,9098205","500000.0,500000.0,500000.0,492000.0,524000.0","RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001,RFA-ES-15-001"
9421907,f,w,"10650877,10430514,10430544,10641819,9697743","309000.0,321000.0,321000.0,309000.0,307500.0","RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-22-002,RFA-AG-15-008"
10017961,m,w,"9949706,9993519,9689765,9832401,9787504","615000.0,615000.0,625000.0,615000.0,615000.0","RFA-DK-17-031,RFA-DK-17-031,RFA-DK-17-031,RFA-DK-17-031,RFA-DK-17-031"
9682510,f,w,"9475565,9686784,9321925,9321247,9188423","312500.0,307500.0,312500.0,312500.0,327500.0","RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001,RFA-NR-16-001"
8932663,m,w,"7940064,8264290,7638021,7692869,8333396","146000.0,146000.0,146000.0,1095000.0,411000.00000000006","RFA-CA-06-006,RFA-CA-06-006,RFA-CA-06-006,RFA-CA-07-041,RFA-CA-10-004"
8810682,m,w,"8327083,7782399,7944139,7944142,8128545","1370000.0,1460000.0,1440000.0,1440000.0,1400000.0","RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023,RFA-RM-08-023"
10686340,m,w,"9804606,10481863,10480835,10480840,10480842","1230000.0,1070000.0,1070000.0,1070000.0,1070000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"7742612,7741691,7551990,7551992,7555392","79200.0,79200.0,80300.0,80300.0,80300.0","RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009,RFA-ES-06-009"
