APPLICATION_ID,PI_GENDER,PI_RACE,APP_RECS_bert-s_r_wi,APPVAL_RECS_bert-s_r_wi,FOA_RECS_bert-s_r_wi
8962105,m,b,"7756236,7756325,7900938,7903201,8102973","2044000.0,2044000.0,2016000.0,2016000.0,1960000.0","RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007,RFA-HL-09-007"
7885660,m,w,"8732790,8536037,8531341,8732625,8721480","675000.0,685000.0,675000.0,665000.0,665000.0","RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014,RFA-DK-10-014"
8722014,f,w,"10488766,10488764,9766774,9766776,9774335","10058000.0,10058000.0,11750000.0,11750000.0,11562000.0","RFA-OD-16-006,RFA-OD-16-006,RFA-OD-16-006,RFA-OD-16-006,RFA-OD-16-006"
9421907,f,w,"9264661,9264681,9264670,9264682,8720662","458500.0,458500.0,458500.0,458500.0,66500.0","RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-16-005,RFA-AG-13-005"
10017961,m,w,"10264080,10264076,10483133,10458081,10421477","116000.0,116000.0,107000.0,107000.0,107000.0","RFA-DK-19-026,RFA-DK-19-026,RFA-DK-19-026,RFA-DK-19-026,RFA-DK-19-026"
9682510,f,w,"10537743,10536567,10595133,10595896,10471577","1070000.0,1070000.0,1070000.0,1070000.0,1160000.0","RFA-NS-22-002,RFA-NS-22-002,RFA-NS-22-037,RFA-NS-22-037,RFA-AT-20-004"
8932663,m,w,"8637449,7587878,8066804,7826611,7692671","1012500.0,1095000.0,1050000.0,1080000.0,1080000.0","RFA-CA-08-011,RFA-CA-08-011,RFA-CA-08-011,RFA-CA-08-011,RFA-CA-08-011"
8810682,m,w,"8787871,9087275,9320782,8916813,8070092","465500.0,458500.0,437500.0,465500.0,288000.0","RFA-HD-14-025,RFA-HD-14-025,RFA-HD-14-025,RFA-HD-14-025,RFA-NR-10-002"
10686340,m,w,"9989540,10248355,10023206,10019473,10019516","369000.0,1160000.0,1230000.0,1230000.0,1230000.0","RFA-FD-19-029,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
7551990,f,h,"9257396,8482279,9257398,9257400,9253400","1375000.0,1485000.0,1375000.0,1375000.0,1375000.0","RFA-ES-12-002,RFA-ES-12-002,RFA-ES-12-002,RFA-ES-12-002,RFA-ES-12-002"
9781466,m,w,"10003929,10402550,9390021,9205191,9782699","4305000.0,4060000.0,4375000.0,4375000.0,4305000.0","RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014,RFA-AG-16-014"
8060626,m,w,"9857598,10114279,9741953,8378801,7925268","430500.0,406000.0,430500.0,1712500.0000000002,1800000.0","RFA-DK-17-019,RFA-DK-17-019,RFA-DK-17-019,RFA-DK-08-008,RFA-DK-08-008"
9896674,f,a,"9114846,9115018,8310568,8895786,8895787","294750.0,294750.0,7000000.0,6650000.0,6650000.0","RFA-MD-15-008,RFA-MD-15-008,RFA-MD-11-006,RFA-MD-11-006,RFA-MD-11-006"
10424380,m,a,"8381388,8069347,7826882,8069345,8069346","2466000.0,2520000.0,2592000.0,2592000.0,2592000.0","RFA-AA-07-002,RFA-AA-07-002,RFA-AA-07-002,RFA-AA-07-002,RFA-AA-07-002"
10676778,m,w,"8187074,8306120,8479319,8532644,8380612","560000.0,548000.0,540000.0,540000.0,548000.0","RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011,RFA-AR-11-011"
7637363,m,w,"8251932,8251933,8903981,8838833,8281686","274000.0,274000.0,266000.0,266000.0,274000.0","RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008,RFA-HD-10-008"
9269218,m,w,"7892255,7938333,7926326,7934822,7853512","438000.0,438000.0,438000.0,438000.0,438000.0","RFA-RM-08-014,RFA-RM-08-014,RFA-RM-08-014,RFA-RM-08-014,RFA-RM-09-003"
9960850,m,w,"7640454,7643067,8013807,8049195,7640196","365000.0,365000.0,350000.0,350000.0,365000.0","RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012,RFA-AI-08-012"
8119772,m,w,"7989838,8114133,7658237,7626749,7624252","504000.0,490000.0,511000.0,511000.0,511000.0","RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010,RFA-RM-06-010"
9998967,m,w,"7691326,7689759,7921125,7913492,7932824","438000.0,438000.0,438000.0,438000.0,432000.0","RFA-AI-06-005,RFA-AI-06-005,RFA-AI-06-005,RFA-AI-06-005,RFA-AI-06-005"
9935976,f,w,"9010966,8813609,9211357,8431983,8551682","654998.6900000001,664998.67,624998.75,674998.65,664998.67","RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206,RFA-HD-12-206"
9539516,m,w,"8331617,8876689,8689016,8499174,8153835","1096000.0,1064000.0,1064000.0,1080000.0,1120000.0","RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002,RFA-ES-10-002"
10518914,m,w,"8669436,9249204,9232901,8669419,8668589","1596000.0,1572000.0,1500000.0,1596000.0,1596000.0","RFA-CA-13-007,RFA-CA-13-007,RFA-CA-13-007,RFA-CA-13-007,RFA-CA-13-007"
10770832,f,w,"8856183,8850409,8686993,8685482,8685444","266000.0,266000.0,266000.0,266000.0,266000.0","RFA-CA-12-016,RFA-CA-12-016,RFA-CA-12-016,RFA-CA-12-016,RFA-CA-12-016"
8380026,m,w,"9562054,9186640,9186886,9186195,9186361","312500.0,327500.0,327500.0,327500.0,327500.0","RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003,RFA-DK-15-003"
10592409,f,w,"10238907,10207350,10238908,10238910,10238911","232000.0,232000.0,232000.0,232000.0,232000.0","RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050,RFA-AI-16-050"
8339880,m,w,"8519205,8528447,8534015,8521043,8517546","67500.0,67500.0,67500.0,67500.0,67500.0","RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002,RFA-AG-12-002"
9592088,m,a,"9590381,9995019,9590189,9590264,9776511","406250.0,399750.0,406250.0,406250.0,399750.0","RFA-DK-17-008,RFA-DK-17-008,RFA-DK-17-008,RFA-DK-17-008,RFA-DK-17-008"
10008967,m,w,"10712153,10712152,10712151,10712150,10712149","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-AR-23-001,RFA-AR-23-001,RFA-AR-23-001,RFA-AR-23-001,RFA-AR-23-001"
10134972,f,w,"9287024,9851000,9515968,9468430,9692798","625000.0,615000.0,625000.0,625000.0,615000.0","RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300,RFA-MH-17-300"
8988958,f,b,"10307429,10306992,10307482,10307398,10307397","535000.0,535000.0,535000.0,535000.0,535000.0","RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001,RFA-ES-20-001"
8535751,m,w,"10586201,10583245,10588838,10588840,10588841","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-DK-21-029,RFA-DK-21-029,RFA-DK-21-029,RFA-DK-21-029,RFA-DK-21-029"
7959773,f,w,"8433122,8432962,8433134,8433150,8433149","685000.0,685000.0,675000.0,675000.0,685000.0","RFA-ES-12-004,RFA-ES-12-004,RFA-ES-12-004,RFA-ES-12-004,RFA-ES-12-004"
8769602,m,a,"10663385,10275726,10480007,10489744,10489769","515000.0,580000.0,535000.0,535000.0,535000.0","RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011,RFA-AG-21-011"
10406304,f,w,"8050443,8050352,7918936,7676166,7623192","533332.7999999999,533332.7999999999,3456000.0,3504000.0,219000.0","RFA-OD-10-002,RFA-OD-10-002,RFA-GM-07-005,RFA-GM-07-005,RFA-DA-06-001"
9987453,f,w,"10725252,10726880,10722669,10723352,10723510","103000.0,103000.0,103000.0,103000.0,103000.0","RFA-AG-23-031,RFA-AG-23-031,RFA-AG-23-031,RFA-AG-23-031,RFA-AG-23-031"
9525273,m,w,"8881094,8681356,8409958,8410185,8516458","199500.0,199500.0,205500.00000000003,205500.00000000003,202500.0","RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018,RFA-AI-11-018"
10541697,m,h,"10468871,10842106,10168669,10421288,9944689","5350000.0,5150000.0,5350000.0,5350000.0,6150000.0","RFA-NS-18-018,RFA-NS-18-018,RFA-NS-18-018,RFA-NS-18-018,RFA-NS-18-018"
8856535,m,w,"9116592,9117672,9117861,9274154,9266296","196500.0,196500.0,196500.0,187500.0,187500.0","RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019,RFA-AI-15-019"
7886873,m,w,"10226692,10221009,10667635,10667653,10684625","261000.0,365400.0,324450.0,324450.0,324450.0","RFA-HD-21-007,RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013,RFA-HD-20-013"
10488630,f,a,"9413012,9558641,9414391,9558600,10667123","4125000.0,4125000.0,4125000.0,4125000.0,515000.0","RFA-AG-17-057,RFA-AG-17-057,RFA-AG-17-057,RFA-AG-17-057,RFA-AG-23-010"
9137625,f,w,"9336164,9546412,9336163,9336162,9336711","187500.0,187500.0,187500.0,187500.0,187500.0","RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023,RFA-FD-15-023"
8085924,m,w,"9309081,9193112,7799854,7595237,7799856","500000.0,524000.0,200160.0,202940.0,200160.0","RFA-MD-15-011,RFA-MD-15-011,RFA-TW-05-002,RFA-TW-05-002,RFA-TW-05-002"
9485284,m,w,"7940935,7940949,7875387,7875425,8381475","10800000.0,10800000.0,10950000.0,10950000.0,2740000.0","RFA-RR-09-009,RFA-RR-09-009,RFA-RR-09-009,RFA-RR-09-009,RFA-GM-09-009"
8070326,m,w,"10614386,10614399,10642940,10642942,10642945","1030000.0,1030000.0,1030000.0,1030000.0,1030000.0","RFA-AI-20-009,RFA-AI-20-009,RFA-AI-20-009,RFA-AI-20-009,RFA-AI-20-009"
8068031,f,w,"10631646,10630593,10707213,10740364,7628360","515000.0,535000.0,515000.0,515000.0,584000.0","RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-07-003"
9961343,m,w,"9312938,8897168,8897163,8897880,9107982","393000.0,399000.0,399000.0,399000.0,399000.0","RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007,RFA-FD-12-007"
8870884,m,h,"10740364,10707213,10631646,10630593,8725480","515000.0,515000.0,515000.0,535000.0,1995000.0","RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-MD-22-008,RFA-CA-09-032"
9150566,m,w,"10641509,9738912,10624212,9955259,9986806","772500.0,922500.0,772500.0,922500.0,922500.0","RFA-ES-22-002,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004,RFA-ES-18-004"
10478136,m,w,"10242880,10019469,10020811,10020808,10019516","1160000.0,1230000.0,1230000.0,1230000.0,1230000.0","RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020,RFA-TR-18-020"
10343347,m,w,"10586094,10569619,10557171,10348223,10347760","772500.0,772500.0,772500.0,802500.0,802500.0","RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064,RFA-AI-20-064"
8309064,f,w,"8849111,9514748,9514736,9514752,9514751","1330000.0,1250000.0,1250000.0,1250000.0,1250000.0","RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001,RFA-AG-15-001"
10744343,f,a,"8703654,8431599,8904645,9110917,8515985","1330000.0,1370000.0,1330000.0,1310000.0,1350000.0","RFA-DA-12-010,RFA-DA-12-010,RFA-DA-12-010,RFA-DA-12-010,RFA-DA-12-010"
10116708,f,w,"9011926,9011718,9385159,9533194,8534320","458500.0,458500.0,1000000.0,1000000.0,342500.0","RFA-HL-15-026,RFA-HL-15-026,RFA-HL-15-027,RFA-HL-15-027,RFA-HL-08-005"
9080334,m,w,"9959329,10642789,10626809,10626807,10612117","615000.0,515000.0,515000.0,515000.0,515000.0","RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002,RFA-AR-19-002"
7959811,f,h,"7533499,7541008,8136758,7770893,7748978","182500.0,182500.0,180000.0,180000.0,180000.0","RFA-RR-06-004,RFA-RR-06-004,RFA-RR-06-004,RFA-RR-06-004,RFA-RR-06-004"
9114017,m,h,"9110801,9110208,9114020,9112829,9110808","707400.0,707400.0,707400.0,707400.0,707400.0","RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001,RFA-AI-11-001"
8380038,m,w,"8268769,8916921,8262019,8365239,8365240","685000.0,2660000.0,2800000.0,2800000.0,2800000.0","RFA-RR-11-004,RFA-RM-10-001,RFA-RM-10-001,RFA-RM-10-001,RFA-RM-10-001"
8468754,f,w,"8825531,9245732,9022512,8604915,10618316","3192000.0,3000000.0,3144000.0,3192000.0,535600.0","RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-13-013,RFA-HL-22-007"
7737637,m,w,"8892766,8891700,9437665,9437652,9222699","199500.0,199500.0,187500.0,187500.0,187500.0","RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006,RFA-AI-14-006"
